,公司代號,公司名稱,發言日期,發言時間,主旨
0,3703,欣陸,103/01/16,18:22:22,欣陸投控董事會決議召開103年股東常會事宜
1,3703,欣陸,103/01/20,18:35:27,代子公司萬國商業開發股份有限公司公告董事會決議召開103年度 第1次股東臨時會事宜
2,3703,欣陸,103/02/10,18:31:27,代子公司萬國商業開發股份有限公司公告103年第1次股東臨時會 重要決議事項。
3,3703,欣陸,103/02/11,18:05:09,代子公司萬國商業開發股份有限公司公告現金發放日
4,3703,欣陸,103/02/19,18:36:38,代子公司大陸工程(股)公司公告監察人之異動
5,3703,欣陸,103/02/19,18:37:14,代子公司欣達環工(股)公司公告董事之異動
6,3703,欣陸,103/02/19,18:37:46,代子公司CEC International Corp.公告董事之異動
7,3703,欣陸,103/03/07,17:05:20,代子公司萬國商業開發股份有限公司公告102年度盈餘分配事宜。
8,3703,欣陸,103/03/07,17:05:48,代子公司萬國商業開發股份有限公司公告發行新股事宜。
9,3703,欣陸,103/03/07,17:06:21,代子公司萬國商業開發股份有限公司公告103年召開股東常會事宜
10,3703,欣陸,103/03/07,17:07:02,代子公司北岸環保股份有限公司公告102年度盈餘分配事宜。
11,3703,欣陸,103/03/07,17:07:40,代子公司北岸環保股份有限公司公告發行新股事宜。
12,3703,欣陸,103/03/18,16:19:58,代子公司大陸工程(股)公司公告解除經理人競業禁止限制案
13,3703,欣陸,103/03/19,09:48:09,本公司薪資報酬委員會委員異動情形
14,3703,欣陸,103/04/09,18:36:12,代子公司北岸環保(股)公司公告除權基準日
15,3703,欣陸,103/04/11,13:30:37,代子公司萬國商業開發(股)公司公告103年股東常會重要決議事項
16,3703,欣陸,103/04/15,18:42:31,代子公司大陸工程(股)公司公告102年度盈餘分配事宜
17,3703,欣陸,103/04/15,18:42:52,代子公司大陸工程(股)公司公告增資發行新股事宜
18,3703,欣陸,103/04/15,18:43:09,代子公司大陸建設(股)公司公告102年度盈餘分配事宜
19,3703,欣陸,103/04/15,18:43:20,代子公司大陸建設(股)公司公告增資發行新股事宜
20,3703,欣陸,103/04/15,18:45:46,代子公司大陸建設(股)公司公告台北市松山區敦化段 新建工程委建事宜
21,3703,欣陸,103/04/15,18:47:23,代子公司大陸建設(股)公司公告處分不動產
22,3703,欣陸,103/04/21,17:47:47,本公司欣陸投資控股(股)公司公告增資發行新股事宜
23,3703,欣陸,103/04/21,17:48:29,補充公告本公司欣陸投資控股(股)公司董事會決議召開103年 股東常會事宜
24,3703,欣陸,103/04/22,10:09:05,董事會決議股利分派
25,3703,欣陸,103/06/06,16:33:57,公告本公司103年股東常會重要決議事項
26,3703,欣陸,103/06/12,16:55:05,代子公司大陸建設(股)公司公告台中市西屯區惠國段商辦大樓 新建工程委建事宜
27,3703,欣陸,103/07/08,18:24:43,本公司公告除息基準日
28,3703,欣陸,103/07/08,18:25:11,代子公司大陸工程(股)公司公告除息基準日
29,3703,欣陸,103/07/08,18:25:35,代子公司大陸建設(股)公司公告除息基準日
30,3703,欣陸,103/07/11,16:40:23,代子公司大陸建設(股)公司公告台北市信義區信義段住宅大樓新 建工程委建事宜
31,3703,欣陸,103/07/14,17:12:58,公告修正本公司102年度年報部份內容
32,3703,欣陸,103/07/28,18:07:31,本公司公告除權基準日
33,3703,欣陸,103/07/28,18:07:43,代子公司大陸工程(股)公司公告除權基準日
34,3703,欣陸,103/07/28,18:07:55,代子公司大陸建設(股)公司公告除權基準日
35,3703,欣陸,103/07/28,18:08:20,代子公司大陸建設(股)公司公告新北市新店區行政段合建大樓 委建事宜
36,3703,欣陸,103/08/12,19:32:22,代子公司大陸建設(股)公司公告與彰化商業銀行股份有限公司 簽訂都市更新合建案
37,3703,欣陸,103/08/20,18:03:35,代子公司大陸建設(股)公司補充公告與彰化商業銀行股份 有限公司簽訂都市更新合建案
38,3703,欣陸,103/08/21,11:51:18,澄清103/08/21工商時報B4版報導
39,3703,欣陸,103/09/19,17:29:25,代子公司大陸建設股份有限公司公告解除經理人競業禁止限制
40,3703,欣陸,103/10/17,17:40:35,本公司代子公司大陸建設(股)公司公告取得營建用地
41,3703,欣陸,103/10/17,17:41:03,代子公司大陸建設公司公告與厚生公司就台中市西屯區惠國段 土地簽訂合建契約
42,3703,欣陸,103/11/05,18:05:35,代子公司大陸工程(股)公司公告財務主管異動
43,3703,欣陸,103/11/05,18:06:25,代子公司大陸工程(股)公司公告會計主管異動
44,3703,欣陸,103/12/12,17:35:09,代子公司萬國商業開發股份有限公司公告董事會決議召開103年度 第2次股東臨時會事宜。
45,3703,欣陸,103/12/25,08:49:15,公告本公司獨立董事辭任
46,3703,欣陸,103/12/25,08:49:54,公告本公司薪資報酬委員會委員辭任
47,3703,欣陸,103/12/29,17:26:56,代子公司大陸建設(股)公司公告終止台北市大同區雙連段 一小段3地號等44筆土地之合建契約。
48,3703,欣陸,103/12/30,18:16:26,代子公司萬國商業開發股份有限公司公告103年第2次股東臨時會 重要決議事項
