,公司代號,公司名稱,發言日期,發言時間,主旨
0,3704,合勤控,109/01/10,17:17:00,代子公司合勤科技(股)公司公告資金貸與他人金額 符合公開發行公司資金貸與及背書保證處理準則 第22條第一項第三款之規定
1,3704,合勤控,109/01/16,15:33:47,代子公司兆勤科技(股)公司公告研發主管異動
2,3704,合勤控,109/03/02,17:20:07,代子公司盟創科技(股)公司公告研發主管異動案
3,3704,合勤控,109/03/09,17:46:38,公告本公司董事會決議不分派股利
4,3704,合勤控,109/03/09,17:48:46,對子公司盟創科技(股)公司之背書保證金額 符合公開發行公司資金貸與及背書保證處理 準則第25條第一項第二款、第三款之規定
5,3704,合勤控,109/03/09,17:50:13,公告本公司召開民國一○九年度股東常會相關事宜
6,3704,合勤控,109/03/09,17:51:06,代子公司合勤科技(股)公司公告董事會決議不分派股利
7,3704,合勤控,109/03/09,17:51:57,代子公司盟創科技(股)公司公告董事會決議不分派股利
8,3704,合勤控,109/03/09,17:52:42,代子公司兆勤科技(股)公司公告董事會決議不分派股利
9,3704,合勤控,109/03/09,17:53:27,代子公司Zyxel Communications Inc.公告 董事會決議不分派股利
10,3704,合勤控,109/03/09,17:54:15,代子公司Zyxel Communications A/S公告 董事會決議不分派股利
11,3704,合勤控,109/03/09,17:55:01,代子公司Zyxel Iletisim Teknolojileri A.S.公告 董事會決議不分派股利
12,3704,合勤控,109/03/09,17:56:02,代子公司無錫研勤信息科技有限公司公告 董事會決議不分派股利
13,3704,合勤控,109/03/09,17:56:54,代子公司無錫盟創網絡科技有限公司公告 董事會決議不分派股利
14,3704,合勤控,109/03/09,17:57:56,代子公司合冠投資有限公司公告董事會決議不分派股利
15,3704,合勤控,109/04/15,17:29:25,代子公司合勤科技(股)公司公告研發主管異動案
16,3704,合勤控,109/04/15,17:30:47,代子公司盟創科技(股)公司公告研發主管異動案
17,3704,合勤控,109/04/16,17:12:29,公告本公司減少持有被控股公司家數
18,3704,合勤控,109/04/21,14:42:59,更正本公司109年03月為他人背書保證公告資訊
19,3704,合勤控,109/04/24,17:29:18,代子公司兆勤科技(股)公司公告研發主管異動案
20,3704,合勤控,109/05/20,17:48:57,公告本公司增加持有被控股公司家數
21,3704,合勤控,109/06/12,15:15:47,公告本公司民國109年股東常會重要決議事項
22,3704,合勤控,109/07/09,14:43:33,公告本公司減少持有被控股公司家數
23,3704,合勤控,109/07/16,14:26:45,更正本公司109年06月資金貸與他人公告資訊
24,3704,合勤控,109/08/10,17:02:49,對子公司兆勤科技(股)公司之背書保證金額 符合公開發行公司資金貸與及背書保證處理 準則第25條第一項第四款之規定
25,3704,合勤控,109/08/10,17:03:48,公告本公司董事會決議發行員工認股權憑證
26,3704,合勤控,109/08/10,17:05:23,公告本公司董事會決議解除經理人競業禁止限制
27,3704,合勤控,109/08/10,17:06:10,代子公司合勤科技(股)公司公告董事會(代行股東會職權) 通過解除董事競業禁止限制
28,3704,合勤控,109/08/10,17:06:43,代子公司盟創科技(股)公司公告董事會(代行股東會職權) 通過解除董事競業禁止限制
29,3704,合勤控,109/08/10,17:07:36,代子公司兆勤科技(股)公司公告董事會通過解除經理人競業 禁止限制
30,3704,合勤控,109/08/10,17:08:02,代子公司兆勤科技(股)公司公告董事會(代行股東會職權) 通過解除董事競業禁止限制
31,3704,合勤控,109/08/10,17:08:33,公告本公司董事會決議解除董事競業禁止限制
32,3704,合勤控,109/09/01,15:55:23,代子公司盟創科技(股)公司公告研發主管異動案
33,3704,合勤控,109/09/02,14:08:04,公告本公司召開法說會相關內容
34,3704,合勤控,109/09/04,15:26:06,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
