,公司代號,公司名稱,發言日期,發言時間,主旨
0,3706,神達,105/01/08,16:37:37,新聞稿-神達投控公佈一百零四年十二月營收
1,3706,神達,105/01/26,20:59:44,為集團內組織架構調整，代子公司 Star Well Technology Limited公告 以100%持有之子公司所有權增資神達投資有限公司
2,3706,神達,105/01/26,21:02:15,代子公司佛山市順德區順達電腦廠有限公司 公告董事會決議辦理減資
3,3706,神達,105/01/26,21:03:22,代子公司神雲科技(股)公司公告設置海外執行長一職
4,3706,神達,105/01/26,21:06:29,代子公司神雲科技(股)公司公告 董事會決議解除經理人競業禁止之限制
5,3706,神達,105/02/15,15:12:13,新聞稿-神達投控公佈一百零五年一月營收
6,3706,神達,105/02/17,17:39:44,公告本公司董事會決議通過104年度董監事酬勞案
7,3706,神達,105/03/09,16:30:46,新聞稿-神達投控公佈一百零五年二月營收
8,3706,神達,105/03/25,19:19:34,公告本公司董事會決議通過104年度員工酬勞案
9,3706,神達,105/03/25,19:19:48,公告本公司董事會決議股利分派
10,3706,神達,105/03/25,19:21:29,公告董事會決議盈餘轉增資發行新股
11,3706,神達,105/03/25,19:22:09,代子公司神達電腦(股)公司公告董事會決議處分 富驊企業(股)公司(以下簡稱富驊公司)私募股票
12,3706,神達,105/03/25,19:27:50,公告本公司董事會決議新增資金貸與額度新台幣25億元
13,3706,神達,105/03/25,19:28:11,代子公司神達電腦(股)公司、神雲科技(股)公司及 資豐投資(股)公司公告董事會(代行股東會職權)重要決議事項
14,3706,神達,105/03/25,19:28:35,代子公司神達電腦(股)公司、神雲科技(股)公司及 資豐投資(股)公司公告董事會決議股利分派
15,3706,神達,105/03/25,19:28:47,代本公司之子公司神達電腦(股)公司 公告董事會決議盈餘轉增資發行新股
16,3706,神達,105/03/25,19:45:55,公告董事會決議召開105年股東常會相關事宜
17,3706,神達,105/03/25,19:49:40,新聞稿-神達投控公佈一百零四年財務報告、股利配發案 與處分富驊企業私募股票
18,3706,神達,105/03/31,15:25:07,公告本公司減少持有被控股公司家數
19,3706,神達,105/04/08,16:05:52,新聞稿-神達投控公佈一百零五年三月營收
20,3706,神達,105/05/09,17:15:15,新聞稿-神達投控公佈一百零五年四月營收
21,3706,神達,105/05/10,13:53:42,新聞稿-神達投控公佈一百零五年第一季財務報告
22,3706,神達,105/05/10,13:54:56,代子公司神達電腦(股)公司、神雲科技(股)公司及 資豐投資(股)公司公告董事會代行105年股東常會重要決議事項
23,3706,神達,105/05/10,13:56:45,代子公司神達電腦(股)公司公告董事會決議股利配發基準日
24,3706,神達,105/05/10,16:04:04,代子公司神雲科技(股)公司公告董事會決議股利配發基準日
25,3706,神達,105/05/10,16:04:23,代子公司資豐投資(股)公司公告董事會決議股利配發基準日
26,3706,神達,105/06/08,14:03:21,新聞稿-神達投控公佈一百零五年五月營收
27,3706,神達,105/06/21,18:29:20,公告本公司105年股東常會重要決議
28,3706,神達,105/06/21,18:30:45,公告本公司105年股東常會改選後董監事資料
29,3706,神達,105/06/21,18:35:12,公告本公司105年股東常會解除董事之競業禁止
30,3706,神達,105/06/21,18:35:39,公告本公司董事會推選董事長
31,3706,神達,105/06/21,18:36:56,本公司董事會通過委任薪資報酬委員會委員
32,3706,神達,105/07/05,14:20:23,代子公司璽達信息科技(昆山)有限公司公告董事會通過興 建華東區企業總部大樓案
33,3706,神達,105/07/11,14:13:08,新聞稿-神達投控公佈一百零五年六月營收
34,3706,神達,105/07/12,14:04:01,新聞稿-神達/聯強集團轉投資美國新聚思宣布併購Minacs集團  強化Concentrix企業外包流程服務領導地位
35,3706,神達,105/08/08,16:54:52,公告本公司董事會決議訂定配股、配息基準日
36,3706,神達,105/08/08,17:06:14,新聞稿-神達投控公佈一百零五年上半年財務報告
37,3706,神達,105/08/09,13:42:43,新聞稿-神達投控公佈一百零五年七月營收
38,3706,神達,105/08/17,18:18:24,調整本公司配股配息率
39,3706,神達,105/08/18,15:53:17,更正105年5月份資金貸與資訊揭露明細表公告資料
40,3706,神達,105/08/19,15:51:56,代子公司Silver Star Developments Ltd.公告董事會決議 新增資金貸與金額美金2仟1佰萬元
41,3706,神達,105/09/08,17:40:57,代子公司神達電腦(股)公司公告法人董事及監察人重新改派
42,3706,神達,105/09/08,17:41:39,代子公司神達電腦(股)公司公告董事會推選董事長
43,3706,神達,105/09/08,17:41:58,代子公司神達電腦(股)公司公告解除董事競業之限制
44,3706,神達,105/09/08,17:42:14,代子公司昆達電腦科技(昆山)有限公司 公告董事會決議辦理現金增資案
45,3706,神達,105/09/08,17:42:26,代子公司神達電腦(股)公司公告大陸投資資訊
46,3706,神達,105/09/09,15:15:18,新聞稿-神達投控公佈一百零五年八月營收
47,3706,神達,105/09/19,13:48:17,公告本公司減少持有被控股公司家數
48,3706,神達,105/09/20,16:52:01,公告本公司減少持有被控股公司家數
49,3706,神達,105/09/30,15:33:20,代子公司神達電腦股份有限公司公告董事會決議擬參與認購偉訓 科技股份有限公司私募普通股案
50,3706,神達,105/09/30,15:35:48,新聞稿-神達電腦擬參與認購偉訓科技私募
51,3706,神達,105/10/07,15:10:12,新聞稿-神達投控公佈一百零五年九月營收
