,公司代號,公司名稱,發言日期,發言時間,主旨
0,3706,神達,107/01/09,15:01:28,新聞稿-神達投控公佈一百零六年十二月營收
1,3706,神達,107/01/18,06:13:47,本公司代子公司Silver Star Developments Ltd. 公告處分 SYNNEX CORPORATION證券之相關資料
2,3706,神達,107/01/23,16:47:30,代子公司神達電腦(股)公司(以下簡稱神達電腦)公告因 分割減資辦理資本變更登記完成
3,3706,神達,107/01/25,17:59:12,公告本公司董事會決議新增資金貸與額度新台幣10億元。
4,3706,神達,107/02/09,16:02:12,新聞稿-神達投控公佈一百零七年一月營收
5,3706,神達,107/03/01,17:23:13,代子公司昆達電腦科技(昆山)有限公司公告一年內 取得結構性存款產品累計金額達新臺幣三億元以上
6,3706,神達,107/03/09,13:56:29,新聞稿-神達投控公佈一百零七年二月營收
7,3706,神達,107/03/13,17:39:21,代子公司神雲科技(股)公司公告董事會 (代行股東會職權)重要決議事項
8,3706,神達,107/03/13,17:39:37,代子公司神雲科技(股)公司公告董事會決議新增資金貸與金額 新臺幣17億元。
9,3706,神達,107/03/23,18:22:06,公告董事會決議召開107年股東常會相關事宜
10,3706,神達,107/03/23,18:24:05,董事會決議股利分派
11,3706,神達,107/03/23,18:25:18,公告本公司董事會決議盈餘轉增資發行新股
12,3706,神達,107/03/23,18:26:32,代子公司神達電腦(股)公司、神雲科技(股)公司、 神達數位(股)公司及資豐投資(股)公司公告董事會決議 股利分派情形
13,3706,神達,107/03/23,18:27:38,代子公司神達電腦(股)公司公告董事會決議盈餘轉 增資發行新股
14,3706,神達,107/03/23,18:28:31,代子公司資豐投資(股)公司公告董事會決議盈餘轉增資發行 新股
15,3706,神達,107/03/23,18:29:42,代子公司神達電腦(股)公司及神達數位(股)公司 公告董事會(代行股東會職權)重要決議事項
16,3706,神達,107/03/23,18:52:28,公告本公司董事會決議新增資金貸與額度新台幣20億元。
17,3706,神達,107/03/24,10:00:36,新聞稿-神達投控公佈一百零六年財務報告、股利配發案
18,3706,神達,107/03/30,16:43:34,代子公司Silver Star Developments Ltd.、Pacific China Corp.、MiTAC Star Service Ltd.和Start Well Technology Ltd. 補公告自然人董事辭職
19,3706,神達,107/04/02,16:01:48,代子公司Silver Star Developments Ltd.公告董事會決議 新增資金貸與金額美金2仟4佰萬元
20,3706,神達,107/04/09,14:31:28,新聞稿-神達投控公佈一百零七年三月營收
21,3706,神達,107/04/17,16:08:50,代子公司Best Profit Ltd.公告董事會決議解散
22,3706,神達,107/04/30,16:13:55,公告本公司薪資報酬委員辭任
23,3706,神達,107/05/09,14:37:38,新聞稿-神達投控公佈一百零七年四月營收
24,3706,神達,107/05/10,18:50:29,代子公司神雲科技(股)公司公告董事會代行107年股東常會 重要決議事項
25,3706,神達,107/05/10,18:53:55,代子公司神雲科技(股)公司公告董事會決議股利配發基準日
26,3706,神達,107/05/10,18:56:03,代子公司神達電腦(股)公司公告董事會代行107年股東常會 重要決議事項
27,3706,神達,107/05/10,18:58:32,代子公司神達電腦(股)公司公告董事會決議股利配發基準日
28,3706,神達,107/05/10,19:00:27,代子公司資豐投資(股)公司公告法人董事及監察人重新改派
29,3706,神達,107/05/10,19:00:54,代子公司資豐投資(股)公司公告董事會推選董事長
30,3706,神達,107/05/10,19:01:59,代子公司資豐投資(股)公司公告董事會代行107年股東常會 重要決議事項
31,3706,神達,107/05/10,19:03:51,代子公司資豐投資(股)公司公告董事會決議股利配發基準日
32,3706,神達,107/05/10,19:04:20,代子公司資豐投資(股)公司公告解除董事競業之限制
33,3706,神達,107/05/10,19:04:52,公告本公司董事會通過補行委任薪資報酬委員會成員
34,3706,神達,107/05/10,19:05:51,代子公司神達電腦(股)公司公告董事會決議新增對神雲科技(股) 公司資金貸與額度新台幣15億元，且本公司及子公司對其資金貸 與餘額達本公司最近期財務報表淨值10%以上
35,3706,神達,107/05/10,19:06:15,代子公司神達電腦(股)公司公告董事會決議新增對神達數位(股) 公司資金貸與額度新台幣10億元
36,3706,神達,107/05/10,19:08:17,新聞稿-神達投控公佈一百零七年第一季財務報告
37,3706,神達,107/05/30,17:03:31,代子公司昆達電腦科技(昆山)有限公司公告一年內 處分結構性存款產品累計金額達新臺幣三億元以上
38,3706,神達,107/06/08,16:25:10,新聞稿-神達投控公佈一百零七年五月營收
39,3706,神達,107/06/22,15:03:21,公告本公司107年股東常會重要決議
40,3706,神達,107/06/22,15:03:50,公告本公司107年股東常會解除董事競業之限制
41,3706,神達,107/06/22,17:38:48,代子公司昆達電腦科技(昆山)有限公司公告一年內取得 結構性存款產品累計金額達新臺幣三億元以上
42,3706,神達,107/06/29,14:10:11,公告本公司減少持有被控股公司家數
43,3706,神達,107/06/29,14:12:24,代子公司Silver Star Developments Ltd.公告董事會決議 辦理減資
44,3706,神達,107/06/29,15:17:41,新聞稿-神達/聯強集團轉投資美國新聚思 Concentrix服務部門宣布24.3億美元併購Convergys 合併後將成為全球第二大的客戶參與服務公司
45,3706,神達,107/07/02,11:46:55,本公司107年6月29日有關轉投資美國新聚思 宣布併購Convergys之重大訊息說明
46,3706,神達,107/07/03,14:13:23,公告本公司法人監察人重新改派
47,3706,神達,107/07/09,15:59:06,新聞稿-神達投控公佈一百零七年六月營收
48,3706,神達,107/07/25,16:56:37,代子公司Silver Star Developments Ltd. 公告董事會決議新增對神達投資控股(股)公司 資金貸與額度美金5仟萬元
49,3706,神達,107/07/25,17:00:34,代子公司Silver Star Developments Ltd. 公告董事會決議新增對神達電腦(股)公司 資金貸與額度美金共7仟萬元
50,3706,神達,107/08/09,13:44:55,新聞稿-神達投控公佈一百零七年七月營收
51,3706,神達,107/08/10,17:58:20,新聞稿-神達投控公佈一百零七年上半年財務報告
52,3706,神達,107/08/10,17:58:37,公告本公司董事會決議訂定配股、配息基準日
53,3706,神達,107/08/10,17:58:53,本公司董事會決議庫藏股註銷減資基準日
54,3706,神達,107/08/10,17:59:04,代子公司昆達電腦科技(昆山)有限公司公告大陸投資資訊
55,3706,神達,107/08/10,17:59:16,公告本公司董事會決議新增對神雲科技(股)公司資金貸與額度 新台幣30億元。
56,3706,神達,107/08/10,17:59:27,代子公司神達電腦(股)公司公告董事會決議新增對 神雲科技(股)公司資金貸與額度新台幣14億元
57,3706,神達,107/08/10,17:59:39,代子公司神達電腦(股)公司公告董事會決議新增對 神達數位(股)公司資金貸與額度新台幣10億元
58,3706,神達,107/08/17,18:45:53,調整本公司配股配息率
59,3706,神達,107/09/10,13:46:12,新聞稿-神達投控公佈一百零七年八月營收
60,3706,神達,107/09/20,16:39:10,代子公司昆達電腦科技(昆山)有限公司公告一年內處分 結構性存款產品累計金額達新臺幣三億元以上
61,3706,神達,107/09/21,15:44:17,代子公司昆達電腦科技(昆山)有限公司公告一年內 取得結構性存款產品累計金額達新臺幣三億元以上
62,3706,神達,107/10/09,13:44:49,新聞稿-神達投控公佈一百零七年九月營收
63,3706,神達,107/10/16,16:36:29,更正107年9月份資金貸與資訊揭露明細表公告資料
64,3706,神達,107/10/23,17:54:10,本公司代子公司Silver Star Developments Ltd. 公告取得SYNNEX CORPORATION證券之相關資料
65,3706,神達,107/10/26,16:15:11,代子公司Access Wisdom Holdings Ltd. 公告董事會決議 新增資金貸與金額美金3仟1佰萬元
66,3706,神達,107/10/30,17:35:52,公告本公司辦理庫藏股註銷減資變更登記完成
67,3706,神達,107/11/07,14:19:11,公告本公司減少持有被控股公司家數
68,3706,神達,107/11/09,17:08:00,新聞稿-神達投控公佈一百零七年十月營收
69,3706,神達,107/11/09,17:10:46,新聞稿-神達投控公佈一百零七年前三季財務報告
70,3706,神達,107/11/20,13:51:26,本公司受邀參加凱基證券舉辦之法人說明會
71,3706,神達,107/12/07,17:07:20,新聞稿-神達投控公佈一百零七年十一月營收
72,3706,神達,107/12/20,13:47:57,代子公司MiTAC Information Systems Corporation公告董事變動
73,3706,神達,107/12/20,16:25:04,代子公司昆達電腦科技(昆山)有限公司公告 一年內處分結構性存款產品累計金額達新臺幣三億元以上
