,公司代號,公司名稱,發言日期,發言時間,主旨
0,3712,永崴投控,108/02/13,14:03:37,更正本公司107年10-12月本年累計營業收入淨額
1,3712,永崴投控,108/03/08,18:15:39,依「公開發行公司資金貸與及背書保證處理準則」第二 十二條第一項第一款之規定辦理公告
2,3712,永崴投控,108/03/15,18:03:40,本公司為子公司富崴能源股份有限公司提供背書保證
3,3712,永崴投控,108/03/15,18:08:29,代子公司富崴能源股份有限公司公告取得營運用途之設備
4,3712,永崴投控,108/03/28,18:40:57,代子公司崴強科技(股)公司公告董事會決議股利分派
5,3712,永崴投控,108/03/28,18:42:54,代子公司光燿科技(股)公司公告董事會決議股利分派
6,3712,永崴投控,108/03/28,18:43:44,代子公司勁永國際(股)公司公告董事會決議股利分派
7,3712,永崴投控,108/03/29,19:57:57,公告董事會決議召開108年股東常會相關事宜
8,3712,永崴投控,108/03/29,20:27:40,公告董事會決議股利分派及盈虧撥補
9,3712,永崴投控,108/03/29,20:38:04,公告本公司持有被控股公司家數變動
10,3712,永崴投控,108/04/10,18:45:16,公告更正本公司107年財務報表資料.XBRL資料及 107年10-12月關係人進銷貨累計金額
11,3712,永崴投控,108/04/30,18:38:35,公告本公司內部稽核主管異動
12,3712,永崴投控,108/05/08,18:18:14,代子公司崴強科技(股)公司公告董事會代行股東會重要 決議事項
13,3712,永崴投控,108/05/08,18:18:27,代子公司光燿科技(股)公司公告董事會代行股東會重要 決議事項
14,3712,永崴投控,108/05/08,18:18:41,代子公司勁永國際(股)公司公告董事會代行股東會重要 決議事項
15,3712,永崴投控,108/05/08,18:19:07,代子公司勁永國際(股)公司公告董事及監察人異動
16,3712,永崴投控,108/05/17,20:38:46,依「公開發行公司資金貸與及背書保證處理準則」第二十二條 第一項第一款之規定辦理公告
17,3712,永崴投控,108/05/23,18:49:58,代重要子公司崴強科技股份有限公司公告總經理異動
18,3712,永崴投控,108/05/29,18:34:42,代子公司富崴能源股份有限公司公告董事會決議股利分派
19,3712,永崴投控,108/05/29,18:38:41,代子公司富崴能源股份有限公司公告董事會決議召開108年股東 常會
20,3712,永崴投控,108/06/05,19:03:09,代重要子公司崴強科技股份有限公司公告總經理異動
21,3712,永崴投控,108/06/06,16:47:42,代子公司富崴能源股份有限公司公告108年股東常會議案
22,3712,永崴投控,108/06/14,21:39:59,公告本公司持有被控股公司家數變動
23,3712,永崴投控,108/06/14,21:40:10,代子公司世豐電力股份有限公司公告董事及監察人異動
24,3712,永崴投控,108/06/14,21:40:24,代子公司世豐電力股份有限公司公告董事會選任董事長
25,3712,永崴投控,108/06/14,21:40:36,代子公司世豐電力股份有限公司公告董事會代行臨時股東會 重要決議事項
26,3712,永崴投控,108/06/14,21:40:45,代子公司世豐電力股份有限公司公告董事異動
27,3712,永崴投控,108/06/14,21:40:57,代子公司世豐電力股份有限公司公告董事會決議現金增資基準日
28,3712,永崴投控,108/06/17,18:34:32,公告本公司計劃取得子公司世豐電力股份有限公司現金增資之股權
29,3712,永崴投控,108/06/21,19:14:22,本公司股東常會重要決議事項
30,3712,永崴投控,108/06/21,19:14:36,公告本公司改選董事(含獨立董事)名單
31,3712,永崴投控,108/06/21,19:14:51,公告本公司股東常會解除新任董事及其代表人之競業禁止事宜
32,3712,永崴投控,108/06/21,19:15:05,公告本公司董事會選任董事長
33,3712,永崴投控,108/06/21,19:15:15,公告本公司設置審計委員會
34,3712,永崴投控,108/06/21,19:15:29,公告本公司薪資報酬委員會委員異動
35,3712,永崴投控,108/06/24,16:56:12,代重要子公司勁永國際股份有限公司公告總經理異動
36,3712,永崴投控,108/06/29,12:49:12,代子公司富崴能源股份有限公司公告股東常會重要決 議事項
37,3712,永崴投控,108/06/29,12:50:14,代子公司富崴能源股份有限公司公告當選董監事名單
38,3712,永崴投控,108/06/29,12:51:05,代子公司富崴能源股份有限公司公告股東常會解除新 任董事及其代表人之競業禁止事宜
39,3712,永崴投控,108/06/29,12:51:44,代子公司富崴能源股份有限公司公告董事會選任董事長
40,3712,永崴投控,108/07/01,17:36:14,代重要子公司光燿科技股份有限公司公告總經理異動
41,3712,永崴投控,108/07/15,16:09:04,公告本公司訂定資本公積配發現金基準日之相關事宜
42,3712,永崴投控,108/07/15,16:13:42,代重要子公司崴強科技股份有限公司公告訂定現金股利除息 基準日
43,3712,永崴投控,108/07/18,16:25:47,代重要子公司光燿科技股份有限公司公告財務暨會計主管異動
44,3712,永崴投控,108/08/14,18:45:53,公告本公司董事會決議委任第二屆薪資報酬委員會委員
45,3712,永崴投控,108/08/14,18:46:12,公告本公司內部稽核主管就任
46,3712,永崴投控,108/09/05,18:14:22,"代子公司GLORY OPTICS (BVI) CO.,LTD.依「公開發行公司 資金貸與及背書保證處理準則」第二十二條第一項第三款之 規定辦理公告"
47,3712,永崴投控,108/09/20,17:01:39,代子公司世豐電力股份有限公司公告更換簽證會計師
48,3712,永崴投控,108/09/20,17:05:52,代子公司世豐電力股份有限公司公告總經理異動
49,3712,永崴投控,108/09/20,17:08:38,代子公司崴強科技股份有限公司公告總經理異動
50,3712,永崴投控,108/09/20,17:10:18,代子公司光燿科技股份有限公司公告總經理異動
51,3712,永崴投控,108/10/08,19:00:38,代子公司崴強科技股份有限公司依「公開發行公司資金 貸與及背書保證處理準則」第二十二條第一項第三款之 規定辦理公告
52,3712,永崴投控,108/10/29,17:19:26,公告本公司持有被控股公司家數變動
53,3712,永崴投控,108/10/31,18:35:38,代子公司富崴能源股份有限公司依「公開發行公司資金 貸與及背書保證處理準則」第二十五條第一項第四款 之規定辦理公告
54,3712,永崴投控,108/10/31,18:39:34,代子公司光燿科技股份有限公司公告財務暨會計主管異動
55,3712,永崴投控,108/11/06,16:16:14,代子公司勁永國際(股)公司持股89.29%之富崴能源(股) 公司與星崴(股)公司進行股份轉換相關事宜
56,3712,永崴投控,108/11/06,16:17:44,代子公司富崴能源股份有限公司公告董事會決議召開民國 108年第一次股東臨時會事宜
57,3712,永崴投控,108/11/06,16:22:13,代子公司富崴能源股份有限公司公告召開重大訊息說明記者 會內容
58,3712,永崴投控,108/11/06,16:39:38,代子公司威海富康電子有限公司公告董事會決議股利分派
59,3712,永崴投控,108/11/06,16:42:28,代子公司威海富康電子有限公司公告董事會決議盈餘轉 增資發行新股
60,3712,永崴投控,108/11/06,16:47:10,代子公司威海富康電子有限公司公告股利配發基準日
61,3712,永崴投控,108/11/11,18:10:02,代子公司ACCU-IMAGE TECHNOLOGY LIMITED公告董事會決議 盈餘分配
62,3712,永崴投控,108/11/11,18:10:36,代子公司ACCU-IMAGE TECHNOLOGY LIMITED公告訂定現金 股利除息基準日
63,3712,永崴投控,108/11/25,19:57:37,代子公司富崴能源股份有限公司公告股東臨時會重要決議 事項
64,3712,永崴投控,108/11/25,19:59:05,公告本公司持有被控股公司家數變動
65,3712,永崴投控,108/11/27,17:26:09,本公司發言人及代理發言人異動
66,3712,永崴投控,108/11/27,17:27:09,代子公司光燿科技股份有限公司公告財務暨會計主管異動
67,3712,永崴投控,108/11/27,17:29:41,代子公司鹽城耀崴科技有限公司、光耀光電(蘇州)有限公司 、光耀光學(鹽城)有限公司公告董監事異動
68,3712,永崴投控,108/11/28,17:10:39,公告本公司受邀參加法人說明會相關訊息
69,3712,永崴投控,108/12/02,18:26:33,代子公司世豐電力股份有限公司公告董事會決議現金增資發 行新股案
70,3712,永崴投控,108/12/13,17:55:40,代子公司崴強科技(股)公司100%持股之AIT、GIT、GS及GOI 等4家子公司公告董事會決議進行合併
71,3712,永崴投控,108/12/16,16:52:46,公告本公司法人董事之代表人異動
72,3712,永崴投控,108/12/16,16:56:51,代子公司崴強科技股份有限公司公告法人董事之代表人異動
73,3712,永崴投控,108/12/16,16:58:04,代子公司AIT、東莞富彰精密工業有限公司、威海富康電子 有限公司公告董事長異動
74,3712,永崴投控,108/12/16,16:59:29,代子公司AIT、東莞富彰精密工業有限公司、威海富康電子 有限公司、東莞富崴電子有限公司公告董事異動
75,3712,永崴投控,108/12/16,17:00:11,代子公司崴強科技股份有限公司100%持股之AIT、GIT、GS及 GOI等4家子公司公告股東會決議合併案 事項
76,3712,永崴投控,108/12/16,17:58:16,代子公司星崴股份有限公司公告監察人辭任
77,3712,永崴投控,108/12/16,17:59:31,代子公司星崴股份有限公司公告董事會決議召開股東臨時會 事宜
78,3712,永崴投控,108/12/18,15:44:45,公告本公司持有被控股公司家數變動
79,3712,永崴投控,108/12/27,17:06:47,代子公司富崴能源股份有限公司公告依股份轉換協議書之承 諾事項辦理，原任董監事全部辭任，並由單一法人股東依法指派 之
80,3712,永崴投控,108/12/27,17:07:53,代子公司富崴能源股份有限公司公告董事會選任董事長
81,3712,永崴投控,108/12/27,17:08:50,代子公司富崴能源股份有限公司公告董事會(代行股東會)決 議許可董事及其代表人從事競業行為
82,3712,永崴投控,108/12/27,17:09:38,代子公司富崴能源股份有限公司公告董事會代行股東會重要 決議事項
83,3712,永崴投控,108/12/27,17:10:11,公告本公司持有被控股公司家數變動
84,3712,永崴投控,108/12/31,16:47:52,代子公司星崴股份有限公司公告股東臨時會重要決議事項
85,3712,永崴投控,108/12/31,16:50:25,代子公司星崴股份有限公司公告監察人異動
