,公司代號,公司名稱,發言日期,發言時間,主旨
0,4104,佳醫,106/02/22,16:57:11,代重要子公司國藥控股煜嘉投資有限公司公告 董事會決議不分配股利
1,4104,佳醫,106/03/09,16:20:14,公告本公司董事會決議召開一Ｏ六年股東常會事宜
2,4104,佳醫,106/03/09,16:21:24,公告本公司第5次有擔保轉換公司債105/10/1至106/2/28止 轉換普通股之增資基準日
3,4104,佳醫,106/03/09,16:23:41,董事會決議股利分派
4,4104,佳醫,106/03/09,16:25:41,公告本公司董事會決議與子公司詠鈊股份有限公司簡易合併案
5,4104,佳醫,106/05/08,16:24:08,代重要子公司國藥控股煜嘉投資有限公司 公告法人董事佳醫健康事業(香港)股份有限公司改派代表人
6,4104,佳醫,106/05/23,17:22:16,公告本公司變更會計師事務所及簽證會計師
7,4104,佳醫,106/06/09,11:37:37,更正本公司民國106年4月份為他人背書保證申報事項
8,4104,佳醫,106/06/16,17:04:18,公告本公司106年股東常會重要決議事項
9,4104,佳醫,106/06/16,17:05:34,公告本公司一○六年股東常會通過解除董事競業禁止之限制
10,4104,佳醫,106/07/04,16:22:26,公告本公司董事會決議106年現金股利配發基準日及 國內第五次有擔保可轉換公司債停止轉換期間
11,4104,佳醫,106/07/19,11:56:43,本公司國內第五次有擔保轉換公司債轉換價格調整
12,4104,佳醫,106/07/25,18:39:24,代重要子公司國藥控股煜嘉投資有限公司 公告法人董事國藥控股股份有限公司改派代表人
13,4104,佳醫,106/08/03,17:02:22,公告本公司第5次有擔保轉換公司債106年第2季 轉換普通股之增資基準日
14,4104,佳醫,106/09/27,09:58:28,本公司受統一證券邀請舉辦公開法人說明會
15,4104,佳醫,106/11/16,17:56:37,代重要子公司國藥控股煜嘉投資有限公司公告 董事會決議通過解除董事競業禁止之限制
