,公司代號,公司名稱,發言日期,發言時間,主旨
0,4137,麗豐-KY,107/02/07,11:54:44,澄清媒體報導
1,4137,麗豐-KY,107/03/08,20:07:19,公告本公司董事會通過重要決議
2,4137,麗豐-KY,107/03/08,20:07:49,本公司董事會決議107年股東常會召開事宜
3,4137,麗豐-KY,107/03/08,20:12:13,董事會決議股利分派
4,4137,麗豐-KY,107/03/09,17:34:32,公告本公司庫藏股轉讓員工認股基準日
5,4137,麗豐-KY,107/03/16,16:04:08,重新上傳本公司106年第四季合併財務報告書非格式化電子檔
6,4137,麗豐-KY,107/03/19,18:14:40,公告本公司獨董連續達三屆提名說明
7,4137,麗豐-KY,107/03/19,18:32:23,公告本公司受邀參加國泰證券舉辦之法人說明會
8,4137,麗豐-KY,107/03/20,09:30:09,公告本公司受邀參加臺灣證劵交易舉辦之「2018年生技醫療主題式業績發表會」。
9,4137,麗豐-KY,107/04/20,16:59:52,公告本公司董事會通過重要決議
10,4137,麗豐-KY,107/05/10,18:39:46,公告本公司董事會通過重要決議
11,4137,麗豐-KY,107/05/10,18:40:09,公告本公司發言人職稱調整及新增代理發言人
12,4137,麗豐-KY,107/05/10,19:10:40,代子公司克麗緹娜（中國）貿易有限公司公告擬取得不動產 相關事宜
13,4137,麗豐-KY,107/05/10,19:11:16,本公司受邀參「2018國票證券投資論壇」之法人說明會
14,4137,麗豐-KY,107/05/11,15:31:35,代Hong Kong Chlitina International Limited等 子公司公告決議配發現金股息之相關事宜
15,4137,麗豐-KY,107/05/21,15:49:50,公告本公司受邀參加凱基證券舉辦之法人說明會
16,4137,麗豐-KY,107/06/05,20:47:33,公告本公司107年股東常會改選董事
17,4137,麗豐-KY,107/06/05,20:48:16,公告本公司董事會選任董事長
18,4137,麗豐-KY,107/06/05,20:48:51,公告本公司第三屆審計委員會改選相關事宜
19,4137,麗豐-KY,107/06/05,20:54:18,公告本公司股東會決議通過解除董事競業禁止之限制
20,4137,麗豐-KY,107/06/05,20:56:12,公告本公司107年度股東常會重要決議事項
21,4137,麗豐-KY,107/06/05,20:57:38,公告本公司董事會決議委任第三屆薪資報酬委員等相關事宜
22,4137,麗豐-KY,107/06/14,17:12:10,公告本公司董事會通過重要決議
23,4137,麗豐-KY,107/06/14,17:12:36,公告本公司董事會決議股利配發除息基準日及本公司發行之 中華民國境內第一次無擔保轉換公司債停止轉換期間相關事宜
24,4137,麗豐-KY,107/06/14,17:12:56,公告本公司擬與銀行洽談融資額度案
25,4137,麗豐-KY,107/07/03,16:15:43,公告本公司稽核主管異動
26,4137,麗豐-KY,107/07/05,17:07:12,更正公告-本公司最後過戶日
27,4137,麗豐-KY,107/07/12,14:41:55,公告本公司發行之中華民國境內第一次無擔保轉換公司債轉換 價格調整
28,4137,麗豐-KY,107/08/01,18:16:48,公告本公司人事異動
29,4137,麗豐-KY,107/08/09,17:34:08,公告本公司董事會通過重要決議
30,4137,麗豐-KY,107/08/09,17:35:06,公告本公司內部稽核主管異動
31,4137,麗豐-KY,107/08/09,17:36:16,代子公司CHLITINA GROUP LIMITED公告擬辦理現金減資事宜。
32,4137,麗豐-KY,107/08/14,14:21:34,本公司107年度關係人交易自結申報數與會計師查核數差異說明
33,4137,麗豐-KY,107/08/15,14:18:43,代重要子公司公告：(BVI) Chlitina Intelligence Limited 通過在台灣之分支機構辦理盈餘匯回
34,4137,麗豐-KY,107/08/15,14:19:39,代子公司:(BVI) Chlitina Intelligence Limited等 子公司公告決議配發現金股息之相關事宜
35,4137,麗豐-KY,107/08/15,14:20:22,本公司受邀參加統一證券國際法人部舉辦之『2018盛夏之約投資論壇』
36,4137,麗豐-KY,107/08/16,14:39:28,本公司受邀參加臺灣證券交易所舉辦之『外國上市公司財務業務說明會』。
37,4137,麗豐-KY,107/09/14,17:44:10,本公司受邀參加元富證券法人處舉辦之『2018年美容保養生技產業研討會』
38,4137,麗豐-KY,107/10/26,13:41:35,公告本公司國內第一次無擔保轉換公司債到期還本暨 終止上櫃事宜
39,4137,麗豐-KY,107/10/26,13:46:09,本公司受邀參加臺灣證券交易所舉辦之『上市公司財務業務說明會』。
40,4137,麗豐-KY,107/11/08,17:03:32,公告本公司董事會通過重要決議
41,4137,麗豐-KY,107/11/19,17:46:03,本公司受邀參加統一證券國際法人部舉辦之『2019諸事大吉投資論壇』
42,4137,麗豐-KY,107/12/10,14:23:47,本公司受邀參加Institutional Capital Advisory (Asia) Limited舉辦之CHLITINA HK NDR
43,4137,麗豐-KY,107/12/17,15:03:03,本公司受邀參加宏遠證券舉辦之「2018 Quality Stocks論壇 」
44,4137,麗豐-KY,107/12/20,16:19:59,公告本公司新任經理人案
45,4137,麗豐-KY,107/12/20,16:22:23,公告本公司董事會通過重要決議
