,公司代號,公司名稱,發言日期,發言時間,主旨
0,4141,龍燈-KY,107/01/11,15:47:06,代子公司江蘇龍燈化學有限公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
1,4141,龍燈-KY,107/01/11,15:47:19,代子公司江蘇龍燈化學有限公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
2,4141,龍燈-KY,107/01/11,15:47:37,代子公司江蘇龍燈化學有限公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
3,4141,龍燈-KY,107/01/22,18:45:29,代重要子公司江蘇龍燈化學有限公司公告董事會決議總經理變更案
4,4141,龍燈-KY,107/02/23,14:29:08,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第3款之公告標準
5,4141,龍燈-KY,107/02/27,14:51:41,代子公司 Amaethon Environmental Limited 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
6,4141,龍燈-KY,107/03/15,16:54:13,公告本公司民國106年第四季法人說明會
7,4141,龍燈-KY,107/03/27,14:55:38,本公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
8,4141,龍燈-KY,107/03/27,15:16:15,公告本公司董事會決議召開2018年股東常會相關事宜
9,4141,龍燈-KY,107/03/27,16:11:04,董事會決議股利分派
10,4141,龍燈-KY,107/03/29,14:49:13,代子公司 Rotam LifeSciences Ltd 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
11,4141,龍燈-KY,107/04/12,15:57:38,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
12,4141,龍燈-KY,107/04/17,17:30:10,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
13,4141,龍燈-KY,107/04/18,15:55:07,代子公司 Rotam LifeSciences Ltd 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
14,4141,龍燈-KY,107/04/19,17:28:52,代子公司 Crop Solutions Limited 公告增加持有 5%海外子公司 Rotam de Argentina Agroquimica S.R.L. 股權
15,4141,龍燈-KY,107/05/07,16:38:49,代重要子公司江蘇龍燈化學有限公司公告董事會決議總經理 變更案
16,4141,龍燈-KY,107/05/08,18:29:02,公告本公司民國107年第一季法人說明會
17,4141,龍燈-KY,107/05/10,22:11:15,公告本公司首次適用國際財務報導準則第9條「金融工具」 (IFRS9)之影響數
18,4141,龍燈-KY,107/05/10,22:32:49,補充公告本公司董事會決議召開2018年股東常會相關事宜
19,4141,龍燈-KY,107/05/10,22:42:05,本公司董事會決議辦理現金增資私募普通股
20,4141,龍燈-KY,107/05/11,15:45:35,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
21,4141,龍燈-KY,107/06/04,17:09:31,本公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
22,4141,龍燈-KY,107/06/05,17:11:12,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
23,4141,龍燈-KY,107/06/06,18:11:53,代子公司 Amaethon Environmental Limited 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
24,4141,龍燈-KY,107/06/06,18:12:22,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
25,4141,龍燈-KY,107/06/08,18:09:02,代子公司Rotam Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
26,4141,龍燈-KY,107/06/11,19:05:46,代子公司江蘇龍燈化學有限公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
27,4141,龍燈-KY,107/06/11,19:05:59,代子公司江蘇龍燈化學有限公司公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
28,4141,龍燈-KY,107/06/11,19:06:11,代子公司 Rotam LifeSciences Ltd 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
29,4141,龍燈-KY,107/06/11,19:06:21,代子公司 Rotam LifeSciences Ltd 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
30,4141,龍燈-KY,107/06/19,18:34:25,公告本公司107年股東常會重要決議事項
31,4141,龍燈-KY,107/06/29,14:13:59,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第3款之公告標準
32,4141,龍燈-KY,107/07/17,18:26:12,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
33,4141,龍燈-KY,107/07/27,14:46:29,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
34,4141,龍燈-KY,107/07/27,14:47:02,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第3款之公告標準
35,4141,龍燈-KY,107/08/01,15:00:28,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
36,4141,龍燈-KY,107/08/08,17:17:47,公告本公司民國107年第二季法人說明會
37,4141,龍燈-KY,107/08/09,17:57:54,"代子公司 Amaethon Environmental Limited 公告增加持有 100%海外子公司 Rotam North America, Inc. 股權"
38,4141,龍燈-KY,107/08/10,16:03:12,更正本公司107年6月份背書保證明細表內容
39,4141,龍燈-KY,107/08/10,18:18:44,公告本公司背書保證達「公開發行公司資金貸與及背書保證處理 準則」第二十五條第一項第四款之公告標準
40,4141,龍燈-KY,107/08/17,16:25:23,更正本公司2018年第二季合併財務報告暨會計師核閱報告 第69頁附表三之「為他人背書保證」
41,4141,龍燈-KY,107/08/27,13:50:49,代子公司Rotam Agrochem International Co Ltd 公告背書 保證達「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款之公告標準
42,4141,龍燈-KY,107/08/27,13:51:24,公告本公司背書保證達「公開發行公司資金貸與及背書保證處理 準則」第二十五條第一項第四款之公告標準
43,4141,龍燈-KY,107/08/27,13:52:01,代子公司Rotam Limited 公告背書 保證達「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款之公告標準
44,4141,龍燈-KY,107/08/27,15:37:19,本公司董事會決議私募普通股定價相關事宜
45,4141,龍燈-KY,107/08/28,14:27:07,更正本公司董事會決議私募普通股定價相關事宜
46,4141,龍燈-KY,107/09/20,15:37:39,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2款之公告標準
47,4141,龍燈-KY,107/09/21,14:46:41,代子公司 Rotam LifeSciences Ltd 公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及第3款之公告標準
48,4141,龍燈-KY,107/09/28,14:07:49,代子公司Rotam Agrochemical Company Limited (BVI) 公告 資金貸與達「公開發行公司資金貸與及背書保證處理準則」 第22條第1項第2款之公告標準
49,4141,龍燈-KY,107/09/28,14:08:13,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第3款之公告標準
50,4141,龍燈-KY,107/10/09,13:50:19,本公司董事會決議2018年度第二次私募普通股定價相關事宜
51,4141,龍燈-KY,107/10/16,15:21:48,代子公司Rotam Agrochemical Company Limited公告資金貸與 達「公開發行公司資金貸與及背書保證處理準則」第22條 第1項第2及3款之公告標準
