,公司代號,公司名稱,發言日期,發言時間,主旨
0,4144,康聯-KY,107/01/05,17:22:05,代重要子公司Central Chief Limited公告負責人異動
1,4144,康聯-KY,107/02/08,17:22:01,代子公司上海國創醫藥有限公司公告背書保證事項
2,4144,康聯-KY,107/02/09,17:42:37,本公司間接取得大陸投資事業合肥市國禎醫藥銷售 有限公司40%股權
3,4144,康聯-KY,107/03/20,17:03:28,董事會決議股利分派
4,4144,康聯-KY,107/03/20,17:04:23,公告本公司董事會決議召開107年股東常會議案相關事宜
5,4144,康聯-KY,107/03/20,17:05:16,公告本公司首次適用國際財務報導準則第9號 對股東權益之影響數
6,4144,康聯-KY,107/03/23,15:56:16,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。
7,4144,康聯-KY,107/04/02,17:31:29,代重要子公司祥日集團有限公司公告負責人異動
8,4144,康聯-KY,107/04/27,17:16:42,公告本公司董事會通過辦理現金增資發行普通股參與發行 海外存託憑證或於中華民國境內辦理現金增資發行普通股案
9,4144,康聯-KY,107/04/27,17:16:58,公告本公司董事會決議召開107年股東常會議案 相關事宜(新增議案)
10,4144,康聯-KY,107/06/15,17:53:25,公告本公司107年股東常會重要決議事項
11,4144,康聯-KY,107/06/15,17:54:26,本公司董事會決議配息基準日
12,4144,康聯-KY,107/06/15,17:55:19,公告本公司董事會決議庫藏股註銷及訂定減資基準日
13,4144,康聯-KY,107/06/15,17:56:31,本公司董事會決議於中華民國境內發行第一次無擔保轉換公 司債案
14,4144,康聯-KY,107/06/15,17:57:22,本公司董事會決議現金增資發行新股
15,4144,康聯-KY,107/06/15,17:57:48,本公司公告背書保證事項
16,4144,康聯-KY,107/06/29,17:01:02,本公司受邀參加元大證券舉辦之法人說明會
17,4144,康聯-KY,107/08/10,17:48:44,本公司公告背書保證事項
18,4144,康聯-KY,107/08/10,17:49:38,公告本公司107年現金增資發行普通股之認股基準日暨 相關作業時程
19,4144,康聯-KY,107/08/20,17:47:01,公告本公司107現金增資訂定實際發行價格、 代收及存儲價款專戶機構
20,4144,康聯-KY,107/08/20,17:47:28,公告本公司中華民國境內第一次無擔保轉換公司債代收 及存儲價款專戶機構
21,4144,康聯-KY,107/09/13,21:17:10,代重要子公司上海國創醫藥有限公司公告簽訂富馬酸?硫平 緩釋片總營銷服務協議書
22,4144,康聯-KY,107/09/21,15:32:08,本公司公告背書保證事項
23,4144,康聯-KY,107/09/25,17:22:38,代子公司祥日集團有限公司公告其董事會決議發放現金股利
24,4144,康聯-KY,107/10/04,14:14:05,更正本公司公告背書保證事項
25,4144,康聯-KY,107/10/11,19:22:33,公告本公司決議申請撤銷107年度現金增資發行新股案
26,4144,康聯-KY,107/10/11,19:23:24,公告本公司決議申請撤銷發行中華民國境內第一次無擔保轉 換公司債案
27,4144,康聯-KY,107/10/17,16:37:42,代子公司上海國創醫藥有限公司公告其董事會通過取得重慶賽維 及金華康潤51%及100%之股權
28,4144,康聯-KY,107/10/17,16:38:36,代重要子公司CENTRAL CHIEF LIMITED公告其董事會決議通過 預計處分上海仁度生物科技有限公司4%股權
29,4144,康聯-KY,107/10/17,16:39:23,代重要子公司CENTRAL CHIEF LIMITED公告其董事會決議通過 100%持有之子公司香港康聯藥業有限公司增加對上海國創 醫藥有限公司之投資
30,4144,康聯-KY,107/10/17,16:39:56,代重要子公司上海國創醫藥有限公司公告其股東決議通過 增資
31,4144,康聯-KY,107/10/17,16:40:36,代子公司CENTRAL CHIEF LIMITED公告其董事會通過資金貸與 上海國創醫藥有限公司
32,4144,康聯-KY,107/10/24,18:45:24,公告本公司接獲金管會核准撤銷107年度現金增資發行新股案
