,公司代號,公司名稱,發言日期,發言時間,主旨
0,4148,全宇生技-KY,108/01/09,14:26:14,公告本公司與葡萄王生技股份有限公司及邱顯智先生 共同簽訂合資契約
1,4148,全宇生技-KY,108/01/25,16:28:29,公告本公司代理發言人異動
2,4148,全宇生技-KY,108/03/26,18:56:18,公告本公司董事會決議召開2019年股東常會相關事宜
3,4148,全宇生技-KY,108/03/26,18:56:54,公告本公司董事會通過2018年度合併財務報告
4,4148,全宇生技-KY,108/03/26,18:57:32,公告本公司董事會決議股利分派
5,4148,全宇生技-KY,108/03/28,17:15:29,公告本公司取得會計師107年度內部控制制度專案審查報告
6,4148,全宇生技-KY,108/06/19,15:39:17,公告2019年股東常會重要決議事項
7,4148,全宇生技-KY,108/06/19,15:42:49,公告本公司董事會選任董事長
8,4148,全宇生技-KY,108/06/19,15:44:05,公告本公司第四屆審計委員會委員及選任審計委員會召集人
9,4148,全宇生技-KY,108/06/19,15:45:32,公告本公司董事會決議委任薪酬委員會委員及 選任薪酬委員會召集人
10,4148,全宇生技-KY,108/06/19,15:50:30,公告本公司股東會決議解除新任董事及其代表人競業禁止 之限制案
11,4148,全宇生技-KY,108/06/19,15:51:08,公告本公司董事會決議除息基準日
12,4148,全宇生技-KY,108/06/19,16:38:43,公告本公司2019年股東常會改選董事及獨立董事名單
13,4148,全宇生技-KY,108/06/19,18:10:19,公告本公司2019年股東常會改選董事及獨立董事名單 更正董事持股數
14,4148,全宇生技-KY,108/08/30,18:58:17,代子公司Arif Efektif Sdn. Bhd.公告董事變動達三分之一
15,4148,全宇生技-KY,108/09/04,18:12:59,代子公司全宇工業有限公司公告研發主管異動
16,4148,全宇生技-KY,108/11/21,21:20:26,本公司受邀參加臺灣證劵交易所舉辦之第一上市公司財務業務說明會
17,4148,全宇生技-KY,108/11/28,16:48:42,公告本公司108年10月份自結合併財務報表中高流動資產、 短期借款、應付短期票及一年內到期之長期負債等財務資訊
18,4148,全宇生技-KY,108/12/30,17:25:53,公告本公司108年11月份自結合併財務報表中高流動資產、 短期借款、應付短期票及一年內到期之長期負債等財務資訊
