,公司代號,公司名稱,發言日期,發言時間,主旨
0,4164,承業醫,102/01/08,11:00:17,澄清媒體報導
1,4164,承業醫,102/01/09,18:17:07,本公司代東霖儀器(股)公司等兩家子公司公告合併基準日
2,4164,承業醫,102/01/10,18:11:05,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
3,4164,承業醫,102/01/30,15:27:53,澄清媒體報導
4,4164,承業醫,102/02/18,08:44:42,代子公司久和醫療儀器(股)公司公告與馬偕紀念醫院合作共 同建置最新型質子治療系統簽署合作備忘錄
5,4164,承業醫,102/02/19,13:46:18,澄清媒體報導
6,4164,承業醫,102/02/26,18:45:28,本公司代醫世紀健康管理顧問(股)公司等兩家子公司公告合 併基準日
7,4164,承業醫,102/02/27,17:50:39,公告本公司背書保證餘額達「公開發行公司資金貸與及背 書保證處理準則」第二十五條第一項第二款之公告標準
8,4164,承業醫,102/03/04,18:20:51,本公司受邀參加麥格理證券所舉辦之「2013 North Asia Biochem Corporate Day」
9,4164,承業醫,102/03/20,14:56:32,本公司受邀參加犇亞證券所舉辦之「2013 年春季生技產業論壇」
10,4164,承業醫,102/03/25,17:48:29,本公司董事會決議102年度股東常會召開事宜
11,4164,承業醫,102/03/25,17:48:46,公告本公司董事會通過民國100年度財務報告及合併財務報告
12,4164,承業醫,102/03/25,17:49:00,本公司董事會決議解除經理人競業禁止限制
13,4164,承業醫,102/03/25,18:07:51,董事會決議股利分派
14,4164,承業醫,102/03/26,16:36:45,(更正主旨)公告本公司董事會通過民國101年度財務報告及合 併財務報告
15,4164,承業醫,102/03/26,17:09:25,代子公司久和醫療儀器(股)公司公告與臺北醫學大學合作共 同建置最新型質子治療系統簽署合作備忘錄
16,4164,承業醫,102/03/27,14:41:10,公告102年3月27日地震對本公司財務業務並無影響。
17,4164,承業醫,102/03/27,18:48:51,公告本公司背書保證餘額達「公開發行公司資金貸與及背書保證處 理準則」第二十五條第一項第四款之公告標準
18,4164,承業醫,102/04/10,17:33:22,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
19,4164,承業醫,102/04/10,18:28:24,公告本公司背書保證餘額達「公開發行公司資金貸與及背書保證 處理準則」第二十五條第一項第四款之公告標準
20,4164,承業醫,102/04/23,08:28:13,代子公司久和醫療儀器(股)公司公告與國防醫學院三軍總醫 院合作共同建置最新型質子治療系統簽署合作備忘錄
21,4164,承業醫,102/04/23,10:28:01,澄清媒體報導
22,4164,承業醫,102/04/24,13:40:27,澄清媒體報導
23,4164,承業醫,102/05/14,18:46:54,公告本公司提報董事會民國102年第一季合併財務報告
24,4164,承業醫,102/05/16,13:48:38,澄清媒體報導
25,4164,承業醫,102/05/22,14:27:59,澄清媒體報導
26,4164,承業醫,102/05/22,14:41:18,澄清媒體報導補充
27,4164,承業醫,102/05/22,18:07:36,代子公司和新生物科技(股)公司公告董事會決議不分配股利
28,4164,承業醫,102/05/22,18:07:48,代子公司和新生物科技(股)公司公告董事會決議增資
29,4164,承業醫,102/05/22,18:08:06,代子公司和新生物科技(股)公司公告董事會決議董事及監察人續任
30,4164,承業醫,102/05/27,17:57:35,代子公司九和生物科技(股)公司公告董事會決議分配股利
31,4164,承業醫,102/05/27,17:58:00,代子公司九和生物科技(股)公司公告董事會決議董事及監察人續任
32,4164,承業醫,102/05/28,17:23:36,本公司僑外資機構持股異動差異說明
33,4164,承業醫,102/06/03,11:21:30,公告102年6月2日地震對本公司財務業務並無重大影響。
34,4164,承業醫,102/06/04,18:18:40,公告本公司背書保證餘額達「公開發行公司資金貸與及背書保證處 理準則」第二十五條第一項第四款之公告標準
35,4164,承業醫,102/06/14,16:06:54,公告本公司102年股東常會決議事項
36,4164,承業醫,102/06/14,16:07:41,本公司股東會通過解除本公司董事及其代表人競業禁止限制
37,4164,承業醫,102/06/14,16:08:24,公告本公司董事會通過發行國內第一次無擔保轉換公司債案
38,4164,承業醫,102/06/14,16:08:45,公告本公司董事會通過現金增資發行新股案
39,4164,承業醫,102/06/14,16:10:30,公告本公司董事會通過間接轉投資緬甸公司案
40,4164,承業醫,102/06/14,16:28:02,公告本公司董事會通過子公司合併案
41,4164,承業醫,102/06/18,16:00:01,公告本公司除息基準日
42,4164,承業醫,102/06/24,16:33:07,澄清媒體報導
43,4164,承業醫,102/06/27,17:59:07,代重要子公司久和醫療儀器(股)公司公告董事會決議分配股 利
44,4164,承業醫,102/06/27,17:59:22,代子公司多模式(股)公司公告董事會決議分配股利
45,4164,承業醫,102/06/27,17:59:34,代子公司九和科技(股)公司公告董事會決議不分配股利
46,4164,承業醫,102/06/27,17:59:47,代子公司華霖(股)公司公告董事會決議分配股利
47,4164,承業醫,102/06/27,18:00:01,代子公司新霖生物科技(股)公司公告董事會決議分配股利
48,4164,承業醫,102/06/27,18:00:18,代子公司醫世紀健康管理顧問(股)公司公告董事會決議分配 股利
49,4164,承業醫,102/06/27,18:00:35,代子公司東霖儀器(股)公司公告董事會決議分配股利
50,4164,承業醫,102/06/27,18:01:00,代子公司醫世紀健康管理顧問(股)公司公告董事會決議董事 及監察人續任
51,4164,承業醫,102/07/04,17:50:30,代子公司多模式股份有限公司公告取得儀器設備
52,4164,承業醫,102/07/09,13:53:34,澄清媒體報導
53,4164,承業醫,102/07/09,17:59:00,"公告本公司董事會通過現金增資發行新股10,000仟股之條件 及認股基準日等相關事宜"
54,4164,承業醫,102/07/10,16:32:55,公告本公司初次申請股票上市時所出具之承諾事項暨其後續 執行情形
55,4164,承業醫,102/07/11,17:37:34,本公司代重要子公司久和醫療儀器(股)公司等兩家子公司公 告合併基準日
56,4164,承業醫,102/07/15,17:12:12,公告本公司發行國內第一次無擔保可轉換公司債簽訂債款代 收及存儲專戶合約
57,4164,承業醫,102/07/16,16:31:45,本公司受邀參加高盛證券所舉辦之「Goldman Sachs 2013 Taiwan South East Asia Theme Tour」
58,4164,承業醫,102/07/23,17:13:24,公告本公司發行國內第一次無擔保轉換公司債之轉換價格及 溢價率
59,4164,承業醫,102/07/29,16:12:30,公告本公司發行國內第一次無擔保轉換公司債收足債款
60,4164,承業醫,102/07/31,17:32:03,公告本公司代理發言人異動
61,4164,承業醫,102/08/01,18:04:59,公告本公司102年現金增資股款委託代收及存儲專戶行庫
62,4164,承業醫,102/08/13,18:49:37,公告本公司提報董事會民國102年第二季合併財務報告
63,4164,承業醫,102/08/13,18:49:55,代子公司華霖(股)公司公告董事會決議現金增資及盈餘轉增 資發行新股
64,4164,承業醫,102/08/13,18:50:17,代子公司醫世紀健康管理顧問(股)公司公告董事會決議現金 增資及盈餘轉增資發行新股
65,4164,承業醫,102/08/13,18:50:33,代子公司九和生物科技(股)公司公告董事會決議現金增資及 盈餘轉增資發行新股
66,4164,承業醫,102/08/13,18:50:42,本公司董事會通過對子公司久和醫療儀器(股)公司現金增資
67,4164,承業醫,102/08/13,18:50:52,本公司董事會通過對子公司華霖(股)公司現金增資
68,4164,承業醫,102/08/13,18:51:07,本公司董事會通過對子公司醫世紀健康管理顧問(股)公司現金增資
69,4164,承業醫,102/08/19,13:05:06,澄清媒體報導
70,4164,承業醫,102/08/20,11:47:26,澄清媒體報導
71,4164,承業醫,102/08/23,11:05:29,公告本公司102年現金增資股款委託代收及存儲專戶行庫 (新增員工認股代收行庫)
72,4164,承業醫,102/08/23,11:06:10,"(補充)公告本公司現金增資發行新股10,000仟股之發行條件 及認股基準日等相關事宜"
73,4164,承業醫,102/08/28,17:05:26,代子公司東霖儀器(股)公司公告董事會決議現金增資及盈餘 轉增資發行新股
74,4164,承業醫,102/09/23,18:10:12,本公司102年現金增資股款催繳公告
75,4164,承業醫,102/09/26,15:42:01,本公司102年現金增資股款收足公告
76,4164,承業醫,102/09/26,17:03:15,代子公司久和醫療儀器(股)公司公告與奇異亞洲醫療設備股 份有限公司簽署經銷合約
77,4164,承業醫,102/10/03,17:05:56,代重要子公司久和醫療儀器(股)公司公告董事會決議現金增 資發行新股
78,4164,承業醫,102/10/18,15:56:33,公告本公司背書保證餘額達「公開發行公司資金貸與及背書保證 處理準則」第二十五條第一項第四款之公告標準
79,4164,承業醫,102/10/24,16:35:29,本公司102年現金增資股款催繳期間屆滿公告
80,4164,承業醫,102/10/30,17:56:20,公告本公司背書保證餘額達「公開發行公司資金貸與及背書保證處 理準則」第二十五條第一項第四款之公告標準
81,4164,承業醫,102/10/30,18:03:08,本公司102年現金增資股款催繳股數發放公告
82,4164,承業醫,102/11/01,18:48:49,代重要子公司久和醫療儀器(股)公司公告購入土地
83,4164,承業醫,102/11/12,18:09:02,公告本公司提報董事會民國102年第三季合併財務報告
