,公司代號,公司名稱,發言日期,發言時間,主旨
0,4438,廣越,105/01/12,11:56:03,澄清105/01/12經濟日報C1版報導
1,4438,廣越,105/01/20,16:52:41,公告本公司104年12月份自結合併稅前淨利
2,4438,廣越,105/02/22,10:48:39,澄清經濟日報105年2月22日C5版面報導
3,4438,廣越,105/03/04,17:06:04,公告本公司董事會通過104年度員工及董、監事酬勞金額 及發放方式
4,4438,廣越,105/03/04,17:06:44,公告本公司董事會決議召開105年度股東常會
5,4438,廣越,105/03/04,17:09:55,董事會決議股利分派
6,4438,廣越,105/03/07,10:49:34,澄清工商時報105年3月5日B4版面報導
7,4438,廣越,105/03/10,10:35:25,澄清105年3月10日經濟日報A18版、C7版及蘋果日報B6版面報導
8,4438,廣越,105/03/22,15:40:09,更正本公司105年1月及2月背書保證資訊
9,4438,廣越,105/03/25,17:55:47,公告本公司董事會決議召開105年度股東常會(更正)
10,4438,廣越,105/04/14,10:08:51,澄清105年4月14日工商時報A21版面報導
11,4438,廣越,105/05/09,17:32:49,公告本公司取得會計師「內部控制專案審查報告」
12,4438,廣越,105/05/30,15:49:18,更正本公司103年個體財務報告、104年個體及合併財務報告內容
13,4438,廣越,105/06/02,16:01:07,本公司受中信證券邀請參加投資前瞻論壇
14,4438,廣越,105/06/04,09:04:48,公告修正本公司105年股東常會議事手冊部分內容
15,4438,廣越,105/06/04,15:22:15,更正105年第1季及104年第1季XBRL財務報表申報資訊
16,4438,廣越,105/06/14,09:31:45,澄清105年6月14日經濟日報A17版面報導
17,4438,廣越,105/06/15,17:01:59,公告本公司105年股東常會重要決議事項
18,4438,廣越,105/06/20,15:28:07,公告本公司發言人異動
19,4438,廣越,105/06/20,16:05:02,公告本公司代理發言人異動
20,4438,廣越,105/06/28,16:02:41,公告本公司董事會決議股利配發基準日
21,4438,廣越,105/07/14,17:04:32,公告本公司修訂104年度年報部分內容
22,4438,廣越,105/07/26,10:22:58,澄清105年7月26日經濟日報C6版面報導
23,4438,廣越,105/08/10,15:23:34,公告本公司董事會決議辦理現金增資發行新股案
24,4438,廣越,105/08/15,10:23:46,澄清105年8月13日工商時報B4版面報導
25,4438,廣越,105/09/10,12:07:06,澄清105年9月10日經濟日報A16版面報導
26,4438,廣越,105/09/12,16:57:39,公告本公司股票初次上市現金增資委託代收及存儲價款機構
27,4438,廣越,105/09/12,17:04:17,本公司將於9/21召開上市前業績發表會
28,4438,廣越,105/09/13,09:30:35,澄清105年9月13日工商時報B4版面報導
29,4438,廣越,105/09/13,18:02:22,公告本公司董事會決議成立「併購特別委員會」暨通過 「併購特別委員會組織規程」
30,4438,廣越,105/09/13,18:03:28,本公司董事會通過調整105/8/10決議之現金增資發行新股 供初次上巿前公開承銷案
31,4438,廣越,105/09/20,10:42:17,澄清105年9月20日經濟日報C6版及工商時報B5版面報導
32,4438,廣越,105/09/22,15:24:40,公告本公司股務代理機構名稱、辦公處所及連絡電話
33,4438,廣越,105/09/22,16:30:31,公告本公司股票初次上巿現金增資認股繳款期間暨 調整暫定承銷價相關事宜
34,4438,廣越,105/10/03,17:18:03,公告本公司股票初次上巿前現金增資發行新股承銷價格
35,4438,廣越,105/10/11,10:11:03,澄清105年10月11日工商時報B1版面報導
36,4438,廣越,105/10/14,15:26:45,公告本公司辦理股票初次上巿過額配售內容
37,4438,廣越,105/10/14,15:27:02,公告本公司辦理股票初次上市前現金增資收足股款暨增資基準日
38,4438,廣越,105/10/17,08:32:07,公告本公司股票即將終止興櫃交易並轉至臺灣證券交易所上巿交易
39,4438,廣越,105/10/19,15:06:57,公告更正本公司104年6月及7月營收資訊
40,4438,廣越,105/10/26,16:17:08,公告本公司上巿掛牌首五個營業日穩定價格操作結果
41,4438,廣越,105/10/31,08:50:18,公告本公司受凱基證券邀請舉辦105年第三季法人說明會
42,4438,廣越,105/11/04,13:40:58,公告本公司董事會通過105年第三季合併財務報表
43,4438,廣越,105/11/22,14:41:34,公告本公司受邀參加臺灣證券交易所舉辦之「主題式業績發表會」
44,4438,廣越,105/11/29,17:45:13,廣越取得羅馬尼亞Biancospino S.R.L.公司51%股權投資案。
45,4438,廣越,105/12/13,14:26:58,本公司受邀參加國泰證券所舉辦之第四季投資論壇
