,公司代號,公司名稱,發言日期,發言時間,主旨
0,4526,東台,108/01/10,17:16:16,本公司代重要子公司(蘇州東昱精機有限公司)公告董事變更
1,4526,東台,108/03/18,18:54:54,本公司108年3月18日董事會重大決議事項
2,4526,東台,108/03/18,18:56:02,本公司董事會通過107年度合併財務報告及個體財務報告
3,4526,東台,108/03/18,18:56:26,董事會決議召開108年股東常會相關事宜
4,4526,東台,108/03/18,19:09:13,董事會決議股利分派
5,4526,東台,108/03/28,09:48:02,更正107年12月為他人背書保證申報事項部份內容
6,4526,東台,108/05/06,17:29:17,本公司提報董事會108年第1季合併財務報告
7,4526,東台,108/05/06,19:10:55,本公司108年5月6日董事會重大決議事項
8,4526,東台,108/05/06,19:14:26,公告本公司向子公司榮田精機股份有限公司處分不動產相關事宜
9,4526,東台,108/05/06,19:17:01,本公司代子公司榮田精機股份有限公司 公告向母公司東台精機股份有限公司取得不動產相關事宜
10,4526,東台,108/05/06,19:20:00,公告本公司審計委員對審計委員會決議事項表示保留意見
11,4526,東台,108/05/06,19:20:19,公告本公司獨立董事對董事會決議事項表示保留意見
12,4526,東台,108/05/07,08:20:45,公告本公司新增對Anger Machining GmbH 背書保證金額達新臺幣三千萬元以上且達本公司 最近期財務報表淨值百分之五以上
13,4526,東台,108/05/07,09:33:40,更正108/5/6本公司提報董事會108年第1季合併財務 報告重訊(誤植期間)
14,4526,東台,108/05/07,10:21:33,公告奧地利子公司Anger Machining GmbH新增資金貸與金額 達新臺幣一千萬元以上且達該公開發行公司最近期財務報表 淨值百分之二以上。
15,4526,東台,108/05/23,11:04:36,108年05月23日工商時報第B04版報導澄清
16,4526,東台,108/06/06,13:34:41,本公司108年股東常會重要決議事項
17,4526,東台,108/06/17,16:45:23,公告本公司現金股利除息基準日
18,4526,東台,108/07/08,13:32:56,更正108年5月資金貸與他人申報事項部份內容
19,4526,東台,108/08/08,18:05:56,公告本公司新增對Union Top Industrial (Samoa) Limited 背書保證金額達新臺幣三千萬元以上且達本公司 最近期財務報表淨值百分之五以上
20,4526,東台,108/08/12,16:54:52,更正108年5-6月資金貸與他人申報事項部份內容
21,4526,東台,108/08/14,16:21:05,公告本公司將於108年08月22日受邀參加宏遠證券舉辦之法人說明會
22,4526,東台,108/11/07,18:00:32,公告對大陸子公司蘇州東昱精機有限公司新增資金貸與金額 達新臺幣一千萬元以上且達該公開發行公司最近期財務報表 淨值百分之二以上。
23,4526,東台,108/11/07,18:01:28,公告本公司新增對Anger Machining GmbH 背書保證金額達新臺幣三千萬元以上且達本公司 最近期財務報表淨值百分之五以上
24,4526,東台,108/12/30,15:23:11,公告本公司法人董事辭任董事一席
