,公司代號,公司名稱,發言日期,發言時間,主旨
0,4532,瑞智,104/01/08,15:40:30,本公司103年12月自結合併營收情形
1,4532,瑞智,104/01/09,10:16:28,澄清有關大眾媒體報導
2,4532,瑞智,104/01/22,11:54:06,補充公告103年9月30日重大訊息- 投資大陸地區瑞智(九江)精密機電有限公司
3,4532,瑞智,104/02/09,10:50:26,澄清有關大眾媒體報導
4,4532,瑞智,104/02/09,15:40:32,本公司104年1月自結合併營收情形
5,4532,瑞智,104/03/06,15:11:34,本公司104年2月自結合併營收情形
6,4532,瑞智,104/03/20,14:06:47,代重要子公司TCL瑞智(惠州)制冷設備有限公司公告董事會 決議盈餘分派案
7,4532,瑞智,104/03/23,16:48:57,公告本公司董事會決議
8,4532,瑞智,104/03/23,16:49:16,公告本公司董事會決議解除經理人競業禁止限制
9,4532,瑞智,104/03/23,17:11:36,董事會決議股東會召開日期、停止變更股東名簿記載之日 期暨受理股東提案時間及處所。
10,4532,瑞智,104/03/23,17:11:59,發行國內第二次無擔保轉換公司債
11,4532,瑞智,104/03/23,17:12:22,公告本公司董事會決議現金增資發行新股案
12,4532,瑞智,104/03/23,17:14:40,董事會決議股利分派
13,4532,瑞智,104/04/08,16:25:44,本公司104年3月自結合併營收情形
14,4532,瑞智,104/04/16,16:53:09,本公司之子公司瑞智控股股份有限公司新增資金貸與金額 達本公司最近期財務報表淨值百分之二以上(貸與對象 瑞智(青島)精密機電有限公司)
15,4532,瑞智,104/04/22,16:44:32,"代子公司Dyna Rechi Holdings Co., Ltd.公告增加大陸投資"
16,4532,瑞智,104/05/08,16:29:35,公告本公司董事會決議
17,4532,瑞智,104/05/08,16:29:53,本公司104年4月自結合併營收情形
18,4532,瑞智,104/06/08,14:39:44,公告本公司召開法人說明會相關資訊
19,4532,瑞智,104/06/08,15:40:44,本公司104年5月自結合併營收情形
20,4532,瑞智,104/06/18,14:36:11,本公司一O四年股東會常會重要決議事項公告
21,4532,瑞智,104/06/18,14:46:00,公告本公司股東常會通過解除董事競業禁止之限制
22,4532,瑞智,104/06/18,14:46:26,公告本公司臨時董事會決議
23,4532,瑞智,104/06/18,14:47:03,公告本公司董事會除息基準日
24,4532,瑞智,104/06/18,14:47:29,"代重要子公司Rechi Holdings Co., Ltd.公告董事會 決議盈餘分派案"
25,4532,瑞智,104/06/18,14:48:39,"代重要子公司Rechi Investments Holdings Co., Ltd. 公告董事會決議盈餘分派案"
26,4532,瑞智,104/06/22,17:59:20,公告本公司現金增資案認股基準日
27,4532,瑞智,104/06/22,18:00:48,公告本公司國內第二次無擔保轉換公司債代收債款及專戶存儲行庫
28,4532,瑞智,104/06/30,13:32:15,代重要子公司青島瑞智機電銷售有限公司公告董事會 決議盈餘分派案
29,4532,瑞智,104/06/30,13:33:13,代重要子公司瑞智(青島)精密機電有限公司公告董事會 決議盈餘分派案
30,4532,瑞智,104/07/07,16:20:08,本公司104年6月自結合併營收情形
31,4532,瑞智,104/07/30,16:29:01,公告本公司研發主管異動
32,4532,瑞智,104/07/30,16:29:28,公告本公司董事會決議
33,4532,瑞智,104/08/07,15:25:45,本公司104年7月自結合併營收情形
34,4532,瑞智,104/08/20,13:34:31,公告本公司國內104年現金增資發行 普通股案核准申請延長募集期間
35,4532,瑞智,104/09/02,15:58:26,本公司董事會決議擬向主管機關申請撤銷現金增資發行普通股案
36,4532,瑞智,104/09/02,17:00:24,公告本公司臨時董事會決議
37,4532,瑞智,104/09/08,15:26:37,本公司104年8月自結合併營收情形
38,4532,瑞智,104/09/11,13:47:55,公告主管機關核准本公司申請撤銷現金增資發行普通股案
39,4532,瑞智,104/10/07,14:26:31,本公司104年9月自結合併營收情形
40,4532,瑞智,104/11/06,17:19:44,本公司104年10月自結合併營收情形
41,4532,瑞智,104/11/09,15:29:58,公告本公司董事會決議
42,4532,瑞智,104/11/09,15:30:36,公告增加投資大陸地區瑞智(九江)精密機電有限公司
43,4532,瑞智,104/11/19,13:51:30,公告本公司法人董事代表人變動
44,4532,瑞智,104/12/07,17:13:44,本公司104年11月自結合併營收情形
45,4532,瑞智,104/12/28,15:50:31,公告本公司董事會決議
46,4532,瑞智,104/12/29,11:24:16,澄清有關大眾媒體報導
