,公司代號,公司名稱,發言日期,發言時間,主旨
0,4536,拓凱,102/01/10,09:53:40,更正本公司100年度12月份營收自結數與會計師查核數差異
1,4536,拓凱,102/03/21,17:48:28,本公司董事會決議股利分派
2,4536,拓凱,102/03/21,17:48:52,公告本公司背書保證金額達第二十五條第一項第四款之標準
3,4536,拓凱,102/03/21,17:49:07,公告本公司背書保證金額達第二十五條第一項第四款之標準
4,4536,拓凱,102/03/21,17:49:41,公告本公司董事會決議辦理現金增資發行新股
5,4536,拓凱,102/03/21,17:50:22,公告本公司董事會決議召開102年度股東常會
6,4536,拓凱,102/03/25,16:12:12,本公司受邀參加永豐金證券舉辦之法人說明會
7,4536,拓凱,102/03/29,13:56:58,公告本公司取得會計師「內部控制制度專案審查報告」
8,4536,拓凱,102/05/15,13:49:30,更正本公司99年度與100年度單一財務報表
9,4536,拓凱,102/05/23,14:58:22,公告更正本公司102年股東常會議事手冊之案由說明內容
10,4536,拓凱,102/05/24,09:58:01,更正本公司100年度08月份至101年度12月份營業收入淨額
11,4536,拓凱,102/06/03,10:22:57,說明102年6月2日地震對本公司之影響
12,4536,拓凱,102/06/10,14:23:16,公告本公司102年股東常會重要決議事項
13,4536,拓凱,102/06/10,14:24:18,公告本公司102年度股東常會決議解除董事競業禁止之限制
14,4536,拓凱,102/06/10,14:25:16,公告本公司102年股東常會改選董事(含獨立董事)及監察人 當選名單
15,4536,拓凱,102/06/10,14:25:46,本公司第一屆薪酬委員會委員任期屆滿
16,4536,拓凱,102/06/10,14:32:53,公告本公司董事會選任董事長暨副董事長
17,4536,拓凱,102/06/13,11:18:22,澄清102年6月13日經濟日報有關本公司之報導。
18,4536,拓凱,102/06/13,14:52:31,更正本公司102年3月及4月背書保證資訊
19,4536,拓凱,102/07/10,17:42:38,本公司董事會決議聘任第二屆薪酬委員會委員
20,4536,拓凱,102/07/10,17:43:07,公告本公司背書保證金額達第25條第一項第四款標準
21,4536,拓凱,102/07/10,17:43:51,公告本公司董事會決議配息基準日
22,4536,拓凱,102/07/10,17:44:30,公告本公司董事會決議辦理現金增資發行新股
23,4536,拓凱,102/07/10,17:45:02,公告本公司董事會決議增資子公司
24,4536,拓凱,102/07/10,17:45:29,代重要子公司-新凱公司公告總經理變動
25,4536,拓凱,102/07/15,08:36:56,說明蘇力颱風對本公司財務或業務之影響
26,4536,拓凱,102/07/22,16:11:45,公告更正本公司101年度股東會年報
27,4536,拓凱,102/08/23,09:46:26,澄清102年8月23日經濟日報有關本公司之報導。
28,4536,拓凱,102/08/30,13:33:59,公告康芮颱風對本公司財務或業務並無重大影響
29,4536,拓凱,102/09/16,17:08:05,公告本公司將於102年9月18日舉辦上市前業績發表會
30,4536,拓凱,102/09/18,08:38:13,澄清102年9月18日媒體有關本公司之報導。
31,4536,拓凱,102/09/18,20:26:07,公告本公司於102年9月18日舉辦上市前業績發表會， 提供相關影音內容於本公司網站
32,4536,拓凱,102/09/27,14:23:14,公告本公司股務代理機構名稱、辦公處所及連絡電話
33,4536,拓凱,102/10/02,17:12:31,公告本公司初次上市現金增資委託代收及存儲價款機構
34,4536,拓凱,102/10/02,17:26:49,本公司股票初次上市前現金增資發行新股承銷價格公告
35,4536,拓凱,102/10/02,17:39:00,本公司股票即將終止興櫃交易並轉至證券交易所上市交易 公告。
36,4536,拓凱,102/10/07,16:35:14,公告本公司辦理股票初次上市過額配售內容
37,4536,拓凱,102/10/08,14:52:08,公告本公司股票初次上市前現金增資收足股款暨增資基準日
38,4536,拓凱,102/10/09,12:05:10,澄清新聞報導
39,4536,拓凱,102/10/09,16:27:21,澄清媒體報導
40,4536,拓凱,102/10/11,08:47:58,澄清新聞報導
41,4536,拓凱,102/10/18,13:53:44,公告本公司掛牌首五個營業日穩定價格操作結果
42,4536,拓凱,102/11/11,17:37:25,公告本公司董事會通過102年度第三季合併財務報表
43,4536,拓凱,102/11/11,17:38:01,公告本公司董事會決議增資子公司
44,4536,拓凱,102/11/19,16:12:10,本公司受邀參加臺灣證券交易所舉辦之上市公司業績說明會
45,4536,拓凱,102/11/22,11:24:12,澄清新聞媒體報導
46,4536,拓凱,102/12/18,10:22:14,本公司受邀參加102/12/20 2014年犇亞證券投資趨勢論壇
47,4536,拓凱,102/12/23,10:49:20,澄清新聞媒體報導
48,4536,拓凱,102/12/26,17:24:00,公告本公司背書保證金額達第25條第一項第四款標準
49,4536,拓凱,102/12/27,10:19:22,澄清新聞媒體報導
