,公司代號,公司名稱,發言日期,發言時間,主旨
0,4551,智伸科,108/01/07,19:56:40,本公司受邀參加臺灣證券交易所及高盛證券舉辦之「TWSE-GS Taiwan Corporate Day in Hong Kong」。
1,4551,智伸科,108/01/15,16:12:22,公告本公司及子公司資金貸與他人之餘額達本公司最近期財務 報表淨值百分之二十以上。
2,4551,智伸科,108/01/15,16:13:02,代子公司東莞海盛電子科技有限公司公告新增資金貸與金額餘額 達公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第二款。
3,4551,智伸科,108/03/19,15:44:02,"本公司受邀參加美林證券舉辦之「 2019 Asia Pacific Telecom, Media & Technology Conference」"
4,4551,智伸科,108/03/25,15:38:06,公告本公司董事會決議通過子公司Global Win Limited.及 東莞海盛電子科技有限公司辦理解散清算事宜
5,4551,智伸科,108/03/25,15:44:36,公布本公司108年03月25日重訊記者會之新聞稿
6,4551,智伸科,108/03/25,15:45:03,董事會決議通過本公司間接赴大陸地區投資
7,4551,智伸科,108/03/25,15:47:31,本公司依「公開發行公司資金貸與及背書保證處理準則」第二十 五條第一項第二款、第三款與第四款規定公告
8,4551,智伸科,108/03/25,15:54:24,公告本公司董事會決議召開108年股東常會相關事宜及 及國內轉換公司債停止轉換期間
9,4551,智伸科,108/03/25,16:56:31,董事會決議股利分派
10,4551,智伸科,108/04/11,14:29:57,公告本公司及子公司資金貸與他人之餘額達本公司最近期財務 報表淨值百分之二十以上。
11,4551,智伸科,108/04/11,14:31:00,代子公司GLOBAL ADVANCE TECHNOLOGY LIMITED公告新增資金 貸與金額餘額達公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款。
12,4551,智伸科,108/04/15,14:42:53,本公司受邀參加臺灣證券交易所及高盛證券舉辦之 「TWSE-GS Taiwan Corporate Day in Singapore」
13,4551,智伸科,108/05/02,14:26:29,公告本公司及子公司資金貸與他人之餘額達 本公司最近期財務報表淨值百分之二十以上
14,4551,智伸科,108/05/02,14:27:36,代子公司東莞海益機械配件有限公司公告新增資金貸與 金額餘額達公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款。
15,4551,智伸科,108/05/22,16:25:15,本公司受邀參加花旗證券舉辦之「Regional Tech Investor Conference 2019」。
16,4551,智伸科,108/06/14,12:11:07,公告本公司108年股東常會重要決議事項
17,4551,智伸科,108/07/01,15:03:30,公告本公司現金股利配發除息基準日及 國內第一次無擔保轉換公司債停止轉換期間相關事宜
18,4551,智伸科,108/07/11,15:53:49,公告本公司國內第一次無擔保轉換公司債轉換價格調整
19,4551,智伸科,108/08/09,11:12:40,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第二款、第三款與第四款規定公告
20,4551,智伸科,108/08/09,11:13:32,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定公告
21,4551,智伸科,108/08/09,11:14:12,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第三款規定公告
22,4551,智伸科,108/08/09,11:14:56,公告本公司及子公司資金貸與他人之餘額達 本公司最近期財務報表淨值百分之二十以上
23,4551,智伸科,108/08/09,11:15:44,代子公司GLOBAL ADVANCE TECHNOLOGY LIMITED公告新增 資金貸與金額餘額達公開發行公司資金貸與及背書保證處 理準則第二十二條第一項第二款及第三款。
24,4551,智伸科,108/08/26,17:22:51,本公司受臺灣證券交易所邀請參加「2019年汽車工業主題式業績發表會」。
25,4551,智伸科,108/09/04,15:09:36,本公司澄清媒體報導
26,4551,智伸科,108/09/27,17:21:05,本公司因有重大訊息待公布，經證交所同意自108年9月30日 起暫停交易
27,4551,智伸科,108/09/30,12:26:40,擬以發行新股併購英屬開曼群島商六方精機股份有限公司 100%持有之旭申國際科技股份有限公司股權
28,4551,智伸科,108/09/30,12:42:32,公布本公司108年09月30日重訊記者會之新聞稿
29,4551,智伸科,108/09/30,13:03:49,公告本公司董事會決議召開108年第1次股東臨時會相關事宜 及國內轉換公司債停止轉換期間
30,4551,智伸科,108/09/30,13:09:00,本公司經證交所同意，自108年10月01日起恢復交易
31,4551,智伸科,108/09/30,16:41:53,本公司受邀參加宏遠證券所舉辦之法人說明會。
32,4551,智伸科,108/10/08,10:23:38,本公司澄清媒體報導
33,4551,智伸科,108/11/11,13:58:01,董事會決議通過本公司間接赴大陸地區投資
34,4551,智伸科,108/11/11,13:59:01,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十 五條第一項第二款、第三款與第四款規定公告
35,4551,智伸科,108/11/19,12:37:05,公告本公司108年第一次股東臨時會重要決議事項
36,4551,智伸科,108/11/20,11:33:00,本公司澄清媒體報導
37,4551,智伸科,108/11/21,15:16:20,本公司受摩根史坦利證券之邀參加於新加坡舉辦之「Morgan Stanley Asia Pacific Summit 2019」。
