,公司代號,公司名稱,發言日期,發言時間,主旨
0,4564,元翎,109/01/09,16:46:23,公告本公司申請股票上市時所出具之承諾事項暨其後續執 行情形
1,4564,元翎,109/01/21,14:21:00,公告本公司重要營運主管異動
2,4564,元翎,109/03/06,15:53:08,公告本公司董事會決議召開109年股東常會事宜
3,4564,元翎,109/03/06,15:58:37,董事會決議股利分派
4,4564,元翎,109/04/08,16:33:20,公告本公司申請股票上市時所出具之承諾事項暨其後續執 行情形
5,4564,元翎,109/04/10,16:32:12,公告本公司董事會決議召開109年股東常會事宜(增列議案)
6,4564,元翎,109/05/27,17:10:56,公告本公司109年股東常會重要決議事項
7,4564,元翎,109/05/27,17:11:15,公告本公司109年股東常會全面董事改選當選名單
8,4564,元翎,109/05/27,17:11:35,公告本公司董事會推選王德鑫先生續任董事長
9,4564,元翎,109/05/27,17:11:52,公告本公司董事會通過委任薪資報酬委員會成員
10,4564,元翎,109/05/27,17:12:10,公告本公司第二屆審計委員會成員名單
11,4564,元翎,109/05/27,17:12:28,公告本公司109年股東常會通過解除新任董事競業禁止 限制案
12,4564,元翎,109/07/07,14:29:53,公告本公司109年現金股利除息基準日
13,4564,元翎,109/08/06,17:01:24,公告本公司董事會決議進行投資計劃達實收資本額百分之 二十
14,4564,元翎,109/08/19,17:05:44,本公司受邀參加永豐金證券舉辦之法人說明會
15,4564,元翎,109/09/10,10:23:20,公告修正本公司108年度股東會年報部分內容
16,4564,元翎,109/09/18,15:18:02,代重要子公司元翊精密工業股份有限公司公告決議通過虧損撥補案 不分派股利
