,公司代號,公司名稱,發言日期,發言時間,主旨
0,4720,德淵,101/01/11,18:46:26,公告十二月份財務自結數及合併營收
1,4720,德淵,101/02/10,17:44:42,公告本公司庫藏股期間屆滿執行完畢
2,4720,德淵,101/02/10,18:01:19,公告一月份財務自結數及合併營收
3,4720,德淵,101/03/09,18:57:03,公告二月份財務自結數及合併營收
4,4720,德淵,101/03/26,20:02:09,公告本公司董事會決議召開一○一年股東常會
5,4720,德淵,101/03/26,20:05:59,公告本公司董事會決議盈餘分派案
6,4720,德淵,101/03/26,20:51:57,公告本公司董事會決議以盈餘轉增資發行新股
7,4720,德淵,101/03/26,20:55:56,公告本公司轉讓庫藏股予員工並訂定認股基準日
8,4720,德淵,101/04/11,19:12:59,公告三月份財務自結數及合併營收
9,4720,德淵,101/05/10,17:02:35,公告四月份財務自結數及合併營收
10,4720,德淵,101/06/11,19:08:13,公告五月份財務自結數及合併營收
11,4720,德淵,101/06/12,15:11:31,公告101年度股東常會重要決議事項
12,4720,德淵,101/06/12,15:22:04,公告本公司採用國際會計準則公報(IFRSs)於101年1月1日開 帳日對財務報告之影響
13,4720,德淵,101/07/10,17:44:12,公告六月份財務自結數及合併營收
14,4720,德淵,101/07/16,16:06:43,公告本公司決議除權除息基準日
15,4720,德淵,101/08/10,18:00:52,公告七月份財務自結數及合併營收
16,4720,德淵,101/08/29,18:54:16,公告本公司董事會決議依財務會計準則公報第35號規定認列 資產減損
17,4720,德淵,101/09/10,18:37:39,公告八月份財務自結數及合併營收
18,4720,德淵,101/10/09,18:27:32,公告九月份財務自結數及合併營收
19,4720,德淵,101/11/09,17:31:37,公告十月份財務自結數及合併營收
20,4720,德淵,101/12/10,18:31:12,公告十一月份財務自結數及合併營收
