,公司代號,公司名稱,發言日期,發言時間,主旨
0,4722,國精化,104/01/05,14:23:06,公告本公司董事異動事宜
1,4722,國精化,104/03/10,17:00:13,董事會決議股利分派
2,4722,國精化,104/03/10,17:01:15,本公司董事會決議召開104年股東常會相關事宜
3,4722,國精化,104/03/10,17:06:14,本公司配合會計師事務所內部業務調整，變更簽證會計師事宜。
4,4722,國精化,104/04/08,13:35:05,更正103年12月衍生性商品交易資訊
5,4722,國精化,104/04/15,11:56:25,澄清工商時報104年04月15日B5版報導
6,4722,國精化,104/04/20,16:15:12,更正本公司104.03.10公告股利分派情形申報作業
7,4722,國精化,104/05/18,14:52:15,代子公司朝建國際有限公司更正104年3月資金貸與期末餘額。
8,4722,國精化,104/05/28,16:27:47,公告本公司104年股東常會重要決議事項
9,4722,國精化,104/05/28,16:33:47,公告本公司104年股東常會補選董事一席
10,4722,國精化,104/06/09,14:33:55,公告本公司董事會決議除息基準日
11,4722,國精化,104/06/24,08:49:53,有關本公司永安廠有一反應器發生瞬間閃燃事故說明
12,4722,國精化,104/07/01,08:52:17,公告本公司B廠四樓投料作業區停工。
13,4722,國精化,104/08/12,16:30:22,公告本公司B廠四樓投料作業區獲准復工。
14,4722,國精化,104/09/07,15:56:55,公告本公司受邀參加國票綜合證券所舉辦之「2015國票證券投資論壇」
15,4722,國精化,104/10/19,17:30:33,本公司受邀參加群益金鼎證券舉辦之法人說明會
16,4722,國精化,104/11/06,16:49:38,公告本公司董事會決議辦理現金增資案
