,公司代號,公司名稱,發言日期,發言時間,主旨
0,4725,信昌化,102/03/25,16:33:04,董事會決議股利分派
1,4725,信昌化,102/03/25,17:08:11,公告本公司召開102年股東常會相關事宜
2,4725,信昌化,102/03/27,17:37:14,公告南投強震對本公司生產設備並無重大影響
3,4725,信昌化,102/03/28,17:49:57,公告本公司召開法人說明會相關資訊
4,4725,信昌化,102/06/03,14:25:03,公告102/06/02南投強震對本公司財務及業務並無重大影響
5,4725,信昌化,102/06/17,17:49:15,本公司102年股東常會重要決議事項
6,4725,信昌化,102/06/24,13:32:03,公告本公司101年度現金股利配發基準日
7,4725,信昌化,102/06/28,19:28:30,102年6月28日報載信昌化工林園廠遭罰175萬元之說明。
8,4725,信昌化,102/07/15,16:10:59,公告蘇力颱風對本公司財務及業務並無重大影響
9,4725,信昌化,102/07/18,18:42:12,修正本公司101年度年報部份資料
10,4725,信昌化,102/09/02,16:24:06,公告本公司召開法人說明會相關資訊
11,4725,信昌化,102/11/01,19:04:07,公告102年10月31日花蓮強震對本公司財務及業務並無重大影響
12,4725,信昌化,102/11/04,17:14:26,公告本公司林園廠違反毒性化學物質管理辦法 於102年11月4日遭裁處罰鍰新台幣100萬元整。
13,4725,信昌化,102/11/07,17:51:43,本公司調整98年4月6日與臺泥化學工業股份有限公司簽訂 整廠機器設備租賃合約之相關條件。
