,公司代號,公司名稱,發言日期,發言時間,主旨
0,4737,華廣,106/01/18,09:33:44,澄清說明106/01/18 經濟日報新聞報導
1,4737,華廣,106/03/03,14:39:53,公告本公司參加106/3/7統一證券舉辦之2017年雞不可失第二季投資展望說明會
2,4737,華廣,106/03/13,18:01:27,公告董事會決議買回庫藏股轉讓予員工
3,4737,華廣,106/03/13,18:02:01,公告董事會決議買回庫藏股以維護公司信用及股東權益
4,4737,華廣,106/03/13,18:02:24,公告董事會決議股利分派
5,4737,華廣,106/03/13,18:02:41,公告本公司董事會召集106年股東常會相關事宜
6,4737,華廣,106/03/13,18:02:56,公告本公司董事會通過員工酬勞及董監酬勞分配情形
7,4737,華廣,106/03/16,15:52:03,更正公告董事會決議買回庫藏股以維護公司信用及股東權益(修改 買回期間)
8,4737,華廣,106/03/17,10:51:59,更正本公司105年合併財務報告第23頁附註資訊
9,4737,華廣,106/03/27,15:57:34,公告本公司買回股份達公司已發行股份百分之二
10,4737,華廣,106/03/31,14:06:11,公告本公司第一次買回庫藏股已執行完畢
11,4737,華廣,106/04/18,15:06:03,第2次買回庫藏股達公司已發行股份百分之二
12,4737,華廣,106/05/05,16:30:36,公告本公司董事會決議試片線擴線購買機器設備一批
13,4737,華廣,106/05/05,16:30:59,公告本公司因會計師事務所內部調整更換會計師
14,4737,華廣,106/05/11,14:39:04,公告第2次買回庫藏股份數量累積達公司已發行股份百分之四
15,4737,華廣,106/05/12,15:23:46,公告本公司第2次買回庫藏股執行期間屆滿及執行狀況
16,4737,華廣,106/05/16,15:23:57,更正本公司106年3月關係人交易申報資訊 (原金額計價單位誤植為元，更正為仟元)
17,4737,華廣,106/05/22,09:52:40,澄清說明106/05/22 經濟日報A14版新聞報導
18,4737,華廣,106/05/24,14:39:15,公告董事會決議買回庫藏股以維護公司信用及股東權益
19,4737,華廣,106/05/24,17:55:15,公告本公司董事會決議通過新項目投資案
20,4737,華廣,106/06/22,16:21:02,公告本公司106年股東常會重要決議事項
21,4737,華廣,106/06/22,16:21:28,公告本公司現金股利配息基準日及資本公積發放現金分配基準日。
22,4737,華廣,106/06/22,16:22:04,公告本公司105年度盈餘及資本公積分派原配息率之調整
23,4737,華廣,106/06/22,16:22:24,公告本公司研發主管異動
24,4737,華廣,106/07/20,15:26:53,第3次買回庫藏股達公司已發行股份百分之二
25,4737,華廣,106/07/21,14:34:39,更正公告第3次買回庫藏股達公司已發行股份百分之二(修正買回總 金額及平均價格)
26,4737,華廣,106/07/21,14:36:11,公告本公司第3次買回庫藏股執行期間屆滿及執行狀況
27,4737,華廣,106/07/25,14:42:35,公告補正本公司一○五年度股東年報部分資料
28,4737,華廣,106/08/07,13:56:15,公告本公司董事會決議註銷庫藏股減資基準日
29,4737,華廣,106/08/30,16:49:25,公告本公司辦理庫藏股註銷減資變更登記完成
30,4737,華廣,106/09/29,17:26:15,公告本公司財務主管異動
31,4737,華廣,106/11/06,14:39:51,公告本公司董事會通過資本支出
32,4737,華廣,106/11/06,14:40:35,公告本公司內部稽核主管異動
33,4737,華廣,106/11/06,14:41:09,公告本公司財務及會計主管異動
34,4737,華廣,106/12/25,15:30:50,公告本公司董事會通過內部稽核主管任命案
