,公司代號,公司名稱,發言日期,發言時間,主旨
0,4746,台耀,108/03/14,18:11:20,董事會決議召開民國108年度股東常會公告
1,4746,台耀,108/03/14,18:26:58,董事會決議股利分派
2,4746,台耀,108/03/25,11:05:44,本公司受邀參加凱基證券舉辦之法人說明會
3,4746,台耀,108/05/06,17:41:30,公告本公司新任研發主管到職
4,4746,台耀,108/05/09,16:17:02,董事會決議召開民國108年度股東常會公告(新增議案)
5,4746,台耀,108/05/09,16:17:48,公告本公司董事會通過新任研發主管聘任案
6,4746,台耀,108/06/27,16:35:09,公告本公司108年股東常會重要決議事項
7,4746,台耀,108/06/27,16:35:25,公告本公司董事會決議委任第四屆薪資報酬委員會委員名單
8,4746,台耀,108/06/27,16:35:40,公告本公司108年股東常會通過解除董事及其代表人競業 禁止之限制案
9,4746,台耀,108/06/27,16:36:17,公告本公司董事會選任董事長
10,4746,台耀,108/06/27,16:36:39,公告本公司108年股東常會改選董監事(含獨立董事)當選名單
11,4746,台耀,108/06/27,16:38:23,代重要子公司台新藥(股)公司公告108年股東會重要決議事項
12,4746,台耀,108/06/27,16:39:03,代重要子公司台新藥(股)公司公告108年股東常會改選董監 事當選名單
13,4746,台耀,108/06/27,16:39:17,代重要子公司台新藥(股)公司公告108年股東常會通過解除 董事及其代表人競業禁止之限制案
14,4746,台耀,108/06/27,16:39:42,代重要子公司台新藥(股)公司公告董事會選任董事長
15,4746,台耀,108/06/27,16:40:49,代重要子公司台新藥(股)公司公告董事會決議發行員工認股 權憑證
16,4746,台耀,108/06/27,16:41:07,代重要子公司台新藥(股)公司公告董事會決議現金增資發行 新股相關事宜
17,4746,台耀,108/06/27,16:41:34,代重要子公司台新藥(股)公司公告全體董監事放棄認購增資 股數達二分之一以上，並洽由特定人認購。
18,4746,台耀,108/07/11,16:40:04,代重要子公司台新藥(股)公司公告APP13007通過美國食品 藥物管理局(FDA)人體臨床試驗審查(IND)
19,4746,台耀,108/07/17,14:21:56,公告本公司董事會決議108年除息基準日
20,4746,台耀,108/09/05,15:54:51,公告本公司獨立董事辭任
21,4746,台耀,108/11/14,12:19:01,公告本公司降低對重要子公司台新藥股份有限公司持股 累積達百分之十
22,4746,台耀,108/11/14,12:19:33,公告本公司重新推舉薪資報酬委員會召集人及會議主席
23,4746,台耀,108/12/19,17:16:46,公告董事會決議通過辦理現金增資發行新股
24,4746,台耀,108/12/24,18:40:01,本公司及代子公司台新藥股份有限公司更正資金貸與公告內容
