,公司代號,公司名稱,發言日期,發言時間,主旨
0,4904,遠傳,103/01/10,19:09:30,公告遠傳電信股份有限公司民國一○二年十二月份營運成績
1,4904,遠傳,103/01/24,17:41:23,本公司代重要子公司新世紀資通(股)公司公告處分Opas Fund Segregated Portfolio Tranche D (第二階段公告)
2,4904,遠傳,103/01/29,18:40:14,代重要子公司新世紀資通股份有限公司公告遭 國家通訊傳播委員會處以新台幣300萬元罰鍰
3,4904,遠傳,103/02/10,19:00:53,公告遠傳電信股份有限公司民國一○三年一月份營運成績
4,4904,遠傳,103/02/13,17:11:51,本公司代重要子公司全虹企業股份 有限公司公告董事會決議發放股利公告
5,4904,遠傳,103/02/13,17:12:42,本公司代重要子公司全虹企業股份有限公司公告董事會 決議召開一○三年股東常會公告
6,4904,遠傳,103/02/17,15:25:23,本公司召開電話法人說明會說明一Ｏ二年度第四季營運情形
7,4904,遠傳,103/02/18,16:25:54,本公司董事會決議召開一○三年股東常會公告
8,4904,遠傳,103/02/18,16:35:37,本公司103年度簡式合併財務預測公告
9,4904,遠傳,103/02/18,16:40:59,本公司董事會決議以盈餘及資本公積發放現金公告
10,4904,遠傳,103/02/18,16:51:54,本公司董事會決議委任薪資報酬委員會委員
11,4904,遠傳,103/02/18,18:23:43,公告本公司將赴新加坡及香港與機構投資人舉行說明會 (Non-Deal Roadshow)
12,4904,遠傳,103/03/10,16:30:55,公告遠傳電信股份有限公司民國一○三年二月份營運成績
13,4904,遠傳,103/03/17,14:31:18,"公告本公司受美林證券之邀參加台北舉辦之“Taiwan, Technology &  Beyond”Conference"
14,4904,遠傳,103/03/17,14:31:35,"公告本公司受花旗證券之邀參加倫敦舉辦之""14th Annual European & Emerging Markets Telecoms Conference"" 並與機構投資人舉行說明會 (Non-Deal Roadshow)"
15,4904,遠傳,103/03/27,19:15:56,本公司與台灣愛立信股份有限公司簽署採購電信設備合約
16,4904,遠傳,103/03/27,19:19:32,本公司與訊崴技術有限公司簽署採購3G電信設備合約
17,4904,遠傳,103/04/01,18:35:33,本公司與弘諺科技股份有限公司簽署採購電信設備合約
18,4904,遠傳,103/04/10,17:26:59,公告遠傳電信股份有限公司民國一○三年三月份營運成績
19,4904,遠傳,103/04/10,17:43:59,本公司召開電話法人說明會說明一Ｏ三年度第一季營運情形
20,4904,遠傳,103/04/25,16:49:15,公告本公司自103年度起改變會計政策
21,4904,遠傳,103/04/25,16:51:44,本公司董事會決議召開一○三年股東常會公告 (第二階段公告)
22,4904,遠傳,103/04/25,16:59:05,本公司代重要子公司新世紀資通股份有限公司公告 董事會決議發放股利公告
23,4904,遠傳,103/05/09,16:24:44,公告遠傳電信股份有限公司民國一○三年四月份營運成績
24,4904,遠傳,103/05/16,15:12:39,"公告本公司受法國巴黎證券之邀參加香港舉辦之 ""BNP Paribas 5th Annual Asia Pacific TMT Conference"""
25,4904,遠傳,103/05/16,15:12:52,"公告本公司受美商高盛亞洲證券之邀參加香港舉辦之 ""Goldman Sachs Telecom & Internet Corporate Day"""
26,4904,遠傳,103/05/23,17:00:26,本公司代重要子公司全虹企業股份有限公司公告董事會 決議召開一○三年股東常會公告(第二階段公告)
27,4904,遠傳,103/06/10,15:39:17,公告遠傳電信股份有限公司民國一○三年五月份營運成績
28,4904,遠傳,103/06/11,16:45:40,公告本公司一○三年度股東常會重要決議事項
29,4904,遠傳,103/06/13,17:41:15,代重要子公司新世紀資通股份有限公司公告遭 國家通訊傳播委員會處以新台幣420萬元罰鍰
30,4904,遠傳,103/06/16,16:16:41,公告本公司重要營運主管退休
31,4904,遠傳,103/06/19,19:01:34,本公司代重要子公司全虹企業股份有限公司公告一０三年 股東常會重要決議事項
32,4904,遠傳,103/06/19,19:02:06,本公司代重要子公司全虹企業股份有限公司公告 股東常會全面改選董監事
33,4904,遠傳,103/06/19,19:03:25,本公司代重要子公司全虹企業股份有限公司公告 決議解除公司法第二０九條有關董事競業禁止之限制
34,4904,遠傳,103/06/19,19:03:45,本公司代重要子公司全虹企業股份有限公司公告董事會一致 推舉李彬小姐續任董事長，林村田先生續任副董事長
35,4904,遠傳,103/06/20,16:17:22,本公司代重要子公司新世紀資通股份有限公司公告 新任董事及監察人
36,4904,遠傳,103/06/20,16:17:49,本公司代重要子公司新世紀資通股份有限公司公告一０三年 股東常會重要決議事項
37,4904,遠傳,103/06/20,16:25:59,"公告本公司受瑞銀證券之邀參加台北舉辦之 ""UBS Taiwan Conference 2014"""
38,4904,遠傳,103/06/24,19:19:52,本公司102年度現金股利除息基準日公告
39,4904,遠傳,103/06/30,14:36:59,公告本公司將赴日本東京與機構投資人舉行說明會(Non-Deal Roadshow)
40,4904,遠傳,103/07/03,17:04:05,本公司代重要子公司新世紀資通股份有限公司公告 現金股利除息基準日
41,4904,遠傳,103/07/10,18:08:52,公告遠傳電信股份有限公司民國一○三年六月份營運成績
42,4904,遠傳,103/07/15,17:06:35,本公司代重要子公司全虹企業股份有限公司公告 現金股利除息基準日
43,4904,遠傳,103/07/16,16:21:14,本公司法人董事裕民航運股份有限公司代表人變動
44,4904,遠傳,103/07/16,16:21:31,公告本公司代理發言人異動
45,4904,遠傳,103/07/16,16:23:54,本公司召開電話法人說明會說明一Ｏ三年度第二季營運情形
46,4904,遠傳,103/07/30,18:26:50,公告本公司董事會決議參與認購時間軸科技股份有限公司 現金增資案
47,4904,遠傳,103/07/30,18:29:25,公告本公司董事會決議解除本公司經理人新增兼職及競業禁 止之情形。
48,4904,遠傳,103/08/01,16:56:32,本公司與台灣國際標準電子股份有限公司簽署採購電信設備合約
49,4904,遠傳,103/08/01,16:57:03,本公司之重要子公司新世紀資通股份有限公司與台灣國際 標準電子股份有限公司簽署採購電信設備合約
50,4904,遠傳,103/08/08,16:51:18,公告遠傳電信股份有限公司民國一○三年七月份營運成績
51,4904,遠傳,103/08/28,16:14:41,本公司因應資訊揭露評鑑要求補充上傳102年度年報
52,4904,遠傳,103/09/10,15:24:30,公告遠傳電信股份有限公司民國一○三年八月份營運成績
53,4904,遠傳,103/09/10,15:59:35,"公告本公司受瑞士信貸證券之邀參加台北舉辦之 ""Credit Suisse 15th Annual Asian Technology Conference"""
