,公司代號,公司名稱,發言日期,發言時間,主旨
0,4906,正文,103/01/09,17:53:34,"公告本公司102年12月合併營業收入淨額應為1,606,544仟元"
1,4906,正文,103/02/07,16:03:03,"公告本公司103年1月合併營業收入淨額應為1,160,449仟元"
2,4906,正文,103/02/20,18:15:09,公告本公司受邀參加HSBC Technology Day
3,4906,正文,103/03/07,15:58:31,"公告本公司103年2月合併營業收入淨額應為1,042,209仟元"
4,4906,正文,103/03/14,11:27:52,"本公司受邀參加美林證券舉辦之法人說明會『Taiwan, Technology & Beyond Conference – “Upwardly Mobile”』"
5,4906,正文,103/03/20,19:57:27,本公司董事會決議召開股東常會
6,4906,正文,103/03/20,19:57:43,102年度合併損益
7,4906,正文,103/03/20,19:57:54,處份大陸地區投資事業正揚電子(蘇州)有限公司
8,4906,正文,103/03/20,19:58:05,為本公司提供安博電子科技(蘇州)有限公司背書保證，已達 『公開發行公司資金貸與及背書保證處理準則』第二十五條 第一項第四款之公告規定
9,4906,正文,103/03/26,18:08:49,本公司受邀參加凱基證券舉辦之法人說明會『4G產業發展趨勢論壇』
10,4906,正文,103/04/09,14:44:43,"公告本公司103年3月合併營業收入淨額應為1,412,001仟元"
11,4906,正文,103/05/06,18:22:27,本公司董事會決議102年度盈餘每股配發現金股利1.9元
12,4906,正文,103/05/09,15:05:27,"公告本公司103年4月合併營業收入淨額應為1,031,449仟元"
13,4906,正文,103/06/09,15:04:52,"公告本公司103年5月合併營業收入淨額應為1,403,391仟元"
14,4906,正文,103/06/23,17:34:11,公告本公司103年股東常會重要決議事項
15,4906,正文,103/06/23,17:34:33,公告本公司董事會決議配息基準日、國內第三次無擔保 可轉換公司債及員工認股權之停止轉換期間公告
16,4906,正文,103/06/23,17:34:44,公告本公司限制員工權利新股增資基準日期
17,4906,正文,103/06/23,17:35:00,公告本公司法人董事代表人異動
18,4906,正文,103/07/08,15:57:55,"公告本公司103年6月合併營業收入淨額應為1,568,782仟元"
19,4906,正文,103/07/22,17:01:24,公告修正本公司102年度年報部分資料
20,4906,正文,103/07/30,17:00:23,公告本公司國內轉換公司債、員工認股權憑證之轉換價格調整
21,4906,正文,103/08/08,14:40:23,"公告本公司103年7月合併營業收入淨額應為1,707,435仟元"
22,4906,正文,103/08/13,16:31:54,103年第2季財務報告重新上傳
23,4906,正文,103/08/25,18:03:56,公告本公司受邀參加群益證券法說會
24,4906,正文,103/09/09,16:13:07,"公告本公司103年8月合併營業收入淨額應為1,892,910仟元"
25,4906,正文,103/10/09,14:33:00,"公告本公司103年9月合併營業收入淨額應為1,714,044仟元"
26,4906,正文,103/11/03,17:56:59,公告本公司董事會決議第七次買回庫藏股
27,4906,正文,103/11/07,18:26:15,"公告本公司103年10月合併營業收入淨額應為1,497,001仟元"
28,4906,正文,103/11/24,17:21:07,公告103年11月27日正文科技召開年度法說會
29,4906,正文,103/11/28,11:14:48,說明103/11/28工商時報B5版之報導
30,4906,正文,103/12/05,15:18:50,"公告本公司103年11月合併營業收入淨額應為1,508,146仟元"
31,4906,正文,103/12/12,16:30:03,公告本公司買回庫藏股累積達公司發行股份總數百分之二事宜
32,4906,正文,103/12/24,17:42:30,停止處份大陸地區投資事業正揚電子(蘇州)有限公司
33,4906,正文,103/12/31,16:11:58,公告本公司第七次買回庫藏股執行完畢
