,公司代號,公司名稱,發言日期,發言時間,主旨
0,4912,聯德控股-KY,103/01/10,08:57:54,公告本公司102年12月份自結合併營收情形
1,4912,聯德控股-KY,103/01/28,14:34:28,依公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第三款公告
2,4912,聯德控股-KY,103/02/10,18:31:50,公告本公司103年1月份自結合併營收情形
3,4912,聯德控股-KY,103/03/10,16:57:17,公告本公司103年2月份自結合併營收情形
4,4912,聯德控股-KY,103/03/25,17:57:14,公告本公司中華民國境內第一次無擔保轉換公司債簽訂代收 及存儲價款專戶合約
5,4912,聯德控股-KY,103/03/28,17:52:36,公告本公司董事會決議103年股東常會召開事宜
6,4912,聯德控股-KY,103/03/28,18:26:02,公告本公司董事會通過102年度合併財務報表
7,4912,聯德控股-KY,103/03/28,19:24:09,董事會決議股利分派
8,4912,聯德控股-KY,103/03/31,17:08:34,依公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第三款公告
9,4912,聯德控股-KY,103/03/31,17:09:19,本公司新增背書保證金額達公開發行公司資金貸與及背書保證處理 準則第二十五條第一項第四款之標準
10,4912,聯德控股-KY,103/04/01,14:28:07,澄清103年4月1日中時電子報之報導
11,4912,聯德控股-KY,103/04/01,17:29:28,公告本公司取得民國102年度會計師內部控制專案審查報告
12,4912,聯德控股-KY,103/04/03,11:44:20,澄清103年4月2日鉅亨網之報導
13,4912,聯德控股-KY,103/04/03,11:44:43,澄清103年4月2日中時電子報之報導
14,4912,聯德控股-KY,103/04/08,12:27:34,公告本公司國內第一次無擔保轉換公司債之轉換價格及溢價率
15,4912,聯德控股-KY,103/04/10,15:31:10,公告本公司103年3月份自結合併營收情形
16,4912,聯德控股-KY,103/04/11,16:09:19,公告本公司國內第一次無擔保轉換公司債收足債款
17,4912,聯德控股-KY,103/05/09,18:58:28,公告本公司103年4月份自結合併營收情形
18,4912,聯德控股-KY,103/05/13,15:24:23,公告本公司提報董事會103年第一季合併財務報表
19,4912,聯德控股-KY,103/06/10,15:53:16,公告本公司103年5月份自結合併營收情形
20,4912,聯德控股-KY,103/06/26,17:18:46,代子公司昆山聯德精密機械有限公司公告與乙公司訴訟事宜
21,4912,聯德控股-KY,103/06/30,14:57:22,公告本公司103年股東常會重要決議事項
22,4912,聯德控股-KY,103/06/30,17:25:54,澄清103年6月30日鉅亨網之報導
23,4912,聯德控股-KY,103/07/01,17:30:34,公告本公司董事會授權董事長訂定現金股利除息基準日
24,4912,聯德控股-KY,103/07/10,16:01:10,公告本公司103年6月份自結合併營收情形
25,4912,聯德控股-KY,103/07/25,10:14:50,澄清103年7月25日經濟日報之報導
26,4912,聯德控股-KY,103/07/30,18:29:42,補正本公司102年度年報部分資料
27,4912,聯德控股-KY,103/08/05,14:42:35,代子公司龍大昌精密公告捐贈高雄市政府前鎮區氣爆意外 新台幣200萬元
28,4912,聯德控股-KY,103/08/11,10:41:56,公告本公司103年7月份自結合併營收情形
29,4912,聯德控股-KY,103/08/12,18:01:57,公告本公司提報董事會103年第二季合併財務報表
30,4912,聯德控股-KY,103/08/12,18:49:17,本公司新增背書保證金額達公開發行公司資金貸與及背書保證處理 準則第二十五條第一項第四款之標準
31,4912,聯德控股-KY,103/08/27,17:10:45,澄清103年8月27日鉅亨網之報導
32,4912,聯德控股-KY,103/08/29,14:52:15,澄清103年8月28日中時電子報之報導
33,4912,聯德控股-KY,103/09/10,10:00:38,公告本公司103年8月份自結合併營收情形
34,4912,聯德控股-KY,103/10/13,08:42:05,公告本公司103年9月份自結合併營收情形
35,4912,聯德控股-KY,103/10/21,18:25:33,公告本公司更(補)正102年度合併財報
36,4912,聯德控股-KY,103/10/22,13:23:35,代重要子公司昆山聯德精密機械有限公司公告董事長異動
37,4912,聯德控股-KY,103/11/10,16:44:29,公告本公司103年10月份自結合併營收情形
38,4912,聯德控股-KY,103/11/11,17:49:01,公告本公司提報董事會103年第三季合併財務報表
39,4912,聯德控股-KY,103/11/11,17:49:21,公告本公司受邀參加櫃買中心舉辦之櫃買市場業績發表會
40,4912,聯德控股-KY,103/11/12,10:47:42,澄清103年11月12日鉅亨網之報導
41,4912,聯德控股-KY,103/11/13,19:08:16,澄清103年11月13日理財網之報導
42,4912,聯德控股-KY,103/11/24,15:37:45,公告本公司發言人異動
43,4912,聯德控股-KY,103/12/02,21:14:24,澄清103年12月1日理財網之報導
44,4912,聯德控股-KY,103/12/10,15:12:22,公告本公司103年11月份自結合併營收情形
45,4912,聯德控股-KY,103/12/22,17:34:15,公告本公司取得會計師「內部控制制度專案審查報告」
46,4912,聯德控股-KY,103/12/30,17:19:51,依公開發行公司資金貸與及背書保證處理準則第二十二條第一項 第三款公告
