,公司代號,公司名稱,發言日期,發言時間,主旨
0,4919,新唐,104/01/20,15:56:14,公告本公司與華邦電子股份有限公司聯合舉行民國103年度第四季法人說明會
1,4919,新唐,104/01/20,16:00:27,公告本公司董事辭任
2,4919,新唐,104/01/30,18:11:25,董事會決議召開104年股東常會相關事宜公告
3,4919,新唐,104/01/30,18:12:17,公告本公司董事會決議103年度盈餘分配案
4,4919,新唐,104/01/30,18:13:34,公告本公司代理發言人、會計主管異動事宜
5,4919,新唐,104/04/16,16:06:52,公告本公司與華邦電子股份有限公司聯合舉行民國104年度第一季法人說明會
6,4919,新唐,104/04/28,17:17:26,公告董事會決議解除經理人競業禁止之限制
7,4919,新唐,104/04/28,17:17:49,董事會決議召開104年股東常會相關事宜公告(增列議案)
8,4919,新唐,104/06/10,15:53:11,公告本公司民國104年股東常會重要決議事項
9,4919,新唐,104/06/10,15:54:31,民國104年股東常會同意解除董事競業禁止案
10,4919,新唐,104/07/17,15:52:18,公告本公司與華邦電子股份有限公司聯合舉行民國104年度第二季法人說明會
11,4919,新唐,104/07/17,18:03:50,(更正)公告本公司與華邦電子股份有限公司聯合舉行民國104年度第二季法人說明會
12,4919,新唐,104/07/30,17:52:32,公告本公司董事會決議訂定除息基準日
13,4919,新唐,104/08/26,17:47:06,代重要子公司(Nuvoton Investment Holding Ltd.)辦理減資公告
14,4919,新唐,104/10/13,16:35:34,公告本公司與華邦電子股份有限公司聯合舉行民國104年度第三季法人說明會
15,4919,新唐,104/10/22,16:51:22,更正本公司104年9月份衍生性商品交易資訊
16,4919,新唐,104/10/28,11:50:48,澄清媒體報導
17,4919,新唐,104/12/09,16:46:02,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
