,公司代號,公司名稱,發言日期,發言時間,主旨
0,4927,泰鼎-KY,101/01/02,15:29:25,本公司100年12月於國內股票流通情形月報表
1,4927,泰鼎-KY,101/01/06,17:19:01,澄清工商時報標題與報導
2,4927,泰鼎-KY,101/01/11,11:54:00,公告澄清工商時報新聞之標題與報導
3,4927,泰鼎-KY,101/01/31,19:00:38,公告澄清新聞之報導
4,4927,泰鼎-KY,101/02/01,10:42:39,公告澄清新聞之報導
5,4927,泰鼎-KY,101/02/07,16:59:16,公告澄清鉅亨網之報導
6,4927,泰鼎-KY,101/02/21,14:48:39,公告澄清時報資訊、工商時報之報導
7,4927,泰鼎-KY,101/03/06,11:31:31,公告本公司為子公司背書保證達公開發行公司資金貸與及 背書保證處理準則第二十五條第一項第二、四款之標準
8,4927,泰鼎-KY,101/03/13,10:53:55,公告澄清工商時報之報導
9,4927,泰鼎-KY,101/03/20,13:28:01,本公司董事會通過100年度財報
10,4927,泰鼎-KY,101/03/20,13:34:06,公告本公司董事會決議股東會召開日期、召集事由及停止過戶期間
11,4927,泰鼎-KY,101/03/20,17:12:17,公告本公司內部稽核主管異動
12,4927,泰鼎-KY,101/03/21,10:55:29,公告本公司法人董事異動
13,4927,泰鼎-KY,101/03/21,17:18:19,公告本公司將受邀參加櫃買中心舉辦之外國企業業績發表會
14,4927,泰鼎-KY,101/03/27,10:54:03,本公司董事會決議發放股利
15,4927,泰鼎-KY,101/03/28,19:41:44,公告澄清鉅亨網之報導
16,4927,泰鼎-KY,101/04/10,10:31:44,公告澄清工商時報之報導
17,4927,泰鼎-KY,101/05/03,10:22:00,公告澄清自由時報之報導
18,4927,泰鼎-KY,101/05/11,16:23:19,公告修正本公司董事會決議召開股東會相關事宜
19,4927,泰鼎-KY,101/05/11,16:28:52,公告本公司法人董事異動
20,4927,泰鼎-KY,101/05/11,16:37:18,公告本公司董事會通過101年度第一季財務報表
21,4927,泰鼎-KY,101/05/15,15:28:12,公告本公司為子公司背書保證達公開發行公司資金貸與及 背書保證處理準則第二十五條第一項第二~四款標準
22,4927,泰鼎-KY,101/05/21,18:31:54,"代本公司之子公司Apex Circuit(Thailand) Co.,Ltd 公告董事會通過興建廠房案"
23,4927,泰鼎-KY,101/05/25,11:56:08,公告本公司董事會通過子公司興建廠房案
24,4927,泰鼎-KY,101/05/25,14:29:53,"代本公司之子公司Apex Circuit (Thailand) Co.,Ltd. 公告簽訂廠房工程合約。"
25,4927,泰鼎-KY,101/06/01,10:56:16,修正本公司101年股東常會議事手冊
26,4927,泰鼎-KY,101/06/04,14:15:03,公告本公司內部稽核主管解任
27,4927,泰鼎-KY,101/06/07,12:28:28,公告澄清自由時報之報導
28,4927,泰鼎-KY,101/06/12,12:03:03,公告本公司為子公司背書保證達公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第二~四款標準
29,4927,泰鼎-KY,101/06/21,13:12:55,公告本公司取得會計師2011年內部控制專案審查報告
30,4927,泰鼎-KY,101/06/27,13:21:10,公告本公司101年股東會重要決議事項
31,4927,泰鼎-KY,101/06/27,13:54:59,公告本公司董事異動情形
32,4927,泰鼎-KY,101/06/27,14:02:43,公告本公司101年股東常會決議解除董事競業禁止之限制
33,4927,泰鼎-KY,101/06/27,14:10:54,公告本公司董事會決議發行國內第一次無擔保可轉換 公司債相關事宜
34,4927,泰鼎-KY,101/06/27,14:31:25,公告本公司董事會決議除息基準日
35,4927,泰鼎-KY,101/06/27,17:07:42,公告澄清鉅亨網之報導
36,4927,泰鼎-KY,101/07/25,11:00:12,公告本公司100年度股東會年報修正事宜
37,4927,泰鼎-KY,101/08/03,11:09:41,公告澄清DIGITIMES電子時報之報導
38,4927,泰鼎-KY,101/08/08,11:41:09,更正本公司101年7月從事衍生性商品交易資訊
39,4927,泰鼎-KY,101/08/28,11:08:58,公告本公司董事會通過101年上半年度合併財報
40,4927,泰鼎-KY,101/08/28,11:17:18,公告本公司董事會決議變更發行國內第一次無擔保可轉換 公司債發行總額
41,4927,泰鼎-KY,101/10/01,15:59:06,公告本公司為子公司背書保證達公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第一款標準
42,4927,泰鼎-KY,101/11/08,11:15:26,公告本公司董事會通過101年第三季合併財務報表
43,4927,泰鼎-KY,101/11/08,18:19:42,公告本公司為子公司背書保證達公開發行公司資金貸與 及背書保證處理準則第二十五條第一項第一款標準
44,4927,泰鼎-KY,101/11/08,18:24:00,"代子公司Apex Circuit(Thailand) Co.,Ltd. 依公開發行公司資金貸與背書保證處理準則 第二十五條第一項第二款規定辦理公告"
45,4927,泰鼎-KY,101/11/21,17:21:01,公告澄清聯合晚報之報導
46,4927,泰鼎-KY,101/11/22,10:35:51,本公司簽訂國內第一次無擔保可轉換公司債代收及 存儲債款專戶合約
47,4927,泰鼎-KY,101/11/28,10:26:53,公告澄清工商時報之報導
48,4927,泰鼎-KY,101/11/28,11:01:44,公告本公司國內第一次無擔保外國轉換公司債收足債款
49,4927,泰鼎-KY,101/12/18,19:32:55,公告本公司對子公司現金增資案
50,4927,泰鼎-KY,101/12/21,16:21:26,更正公告101年11月8日本公司為子公司背書保證 達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第一款標準
51,4927,泰鼎-KY,101/12/21,16:22:14,"更正公告101年11月8日代子公司 Apex Circuit(Thailand) Co., Ltd.依公開發行公司 資金貸與背書保證處理準則第二十五條第一項第二款規定辦理公告"
52,4927,泰鼎-KY,101/12/21,16:23:38,更正本公司11月背書保證餘額、明細表資訊及 重要子公司背書保證餘額
