,公司代號,公司名稱,發言日期,發言時間,主旨
0,4930,燦星網,102/01/02,19:10:09,本公司101年現金增資催繳公告
1,4930,燦星網,102/01/30,16:09:13,本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表百分之五以上
2,4930,燦星網,102/01/30,16:41:32,公告本公司董事會決議解除經理人競業禁止限制事宜
3,4930,燦星網,102/01/30,16:41:54,公告本公司財務主管任命案
4,4930,燦星網,102/03/11,08:44:31,代子公司廈門燦坤實業股份有限公司 公告董事會決議發放股利事宜
5,4930,燦星網,102/03/11,08:47:17,代子公司廈門燦坤實業股份有限公司公告 原簽證會計師事務所因與中瑞岳華會計師事務所 合併故更換為中瑞岳華會計師事務所
6,4930,燦星網,102/03/13,16:39:56,本公司之子公司新增資金貸與金額達新台幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
7,4930,燦星網,102/03/14,16:25:31,代子公司漳州燦坤實業有限公司 公告董事會決議發放股利事宜
8,4930,燦星網,102/03/20,16:48:40,公告本公司董事會決議召開102年股東常會事宜
9,4930,燦星網,102/03/20,16:48:50,公告本公司董事會決議解除經理人競業禁止限制事宜
10,4930,燦星網,102/03/20,16:52:13,公告本公司董事會決議不發放股利
11,4930,燦星網,102/03/27,17:18:36,公告102年03月27日地震對本公司財務及業務無重大影響
12,4930,燦星網,102/03/29,14:47:28,本公司之子公司新增資金貸與金額達新台幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
13,4930,燦星網,102/04/21,11:27:13,代子公司廈門燦坤實業股份有限公司公告董事會決議 召開102年股東會事宜
14,4930,燦星網,102/04/22,18:50:41,本公司之子公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
15,4930,燦星網,102/04/30,18:51:17,補公告本公司之子公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
16,4930,燦星網,102/05/09,15:49:36,補充公告本公司董事會決議召開102年股東常會事宜
17,4930,燦星網,102/05/10,13:51:45,本公司之子公司新增資金貸與金額達新臺幣一千萬元以上 且達本公司最近期財務報表淨值百分之二以上。
18,4930,燦星網,102/05/17,18:17:05,代子公司廈門燦坤實業股份有限公司公告102年股東會決議事宜
19,4930,燦星網,102/05/29,19:24:09,更正102/1/30本公司背書保證公告並依「公開發行公司資金 貸與及背書保證處理準則」第25條第一項第三款補行公告
20,4930,燦星網,102/05/31,14:55:27,依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第一款補行公告。
21,4930,燦星網,102/05/31,14:55:50,依公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第二款及第三款補行公告。
22,4930,燦星網,102/06/03,17:25:29,公告102年06月02日地震對本公司財務及業務無重大影響
23,4930,燦星網,102/06/20,15:35:58,公告本公司股東常會決議事項
24,4930,燦星網,102/06/20,15:38:06,公告本公司董事任期屆滿改選事宜
25,4930,燦星網,102/06/20,15:38:45,公告本公司股東會決議解除董事競業禁止限制事宜
26,4930,燦星網,102/06/20,15:39:00,公告本公司董事會推舉董事長事宜
27,4930,燦星網,102/06/20,15:39:19,公告本公司審計委員會異動
28,4930,燦星網,102/06/20,15:39:48,公告本公司薪酬委員會委員任期屆滿
29,4930,燦星網,102/06/27,17:09:57,代子公司廈門燦坤實業股份有限公司公告臨時董事會決議 廠房出租相關事宜
30,4930,燦星網,102/07/15,13:49:36,公告102年7月12日蘇力颱風襲台對本公司財務及業務並無重大影響
31,4930,燦星網,102/08/01,17:29:43,代子公司廈門燦坤實業股份有限公司依所在地法令規定公告 原簽證會計師事務所與國富浩華會計師事務所合併為瑞華 會計師事務所相關事宜
32,4930,燦星網,102/08/06,16:40:45,公告本公司董事會決議委任薪資報酬委員會成員
33,4930,燦星網,102/08/20,14:33:17,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款代子公司進行公告。
34,4930,燦星網,102/08/23,17:59:53,代子公司廈門燦坤實業股份有限公司暨其子公司 漳州燦坤實業有限公司公告出售部份資產相關事宜
35,4930,燦星網,102/11/05,18:01:04,本公司接獲燦坤投資股份有限公司公開收購 本公司普通股股份通知
36,4930,燦星網,102/11/06,17:53:17,本公司對燦坤投資股份有限公司公開收購本公司普通股股份之相關事宜說明
37,4930,燦星網,102/11/11,17:26:32,公告本公司董事會決議成立審議委員會
38,4930,燦星網,102/11/11,17:29:21,本公司對燦坤投資股份有限公司公開收購本公司普通股股份之審議委員會結果
39,4930,燦星網,102/11/11,17:29:40,本公司對燦坤投資股份有限公司公開收購本公司普通股股份之相關事宜說明
40,4930,燦星網,102/11/18,17:32:04,本公司接獲燦坤投資股份有限公司公開收購本公司普通股 已達最低收購數量及公開收購條件成就之通知
41,4930,燦星網,102/11/26,17:59:20,本公司接獲燦坤投資股份有限公司公開收購本公司普通股 之公開收購期間已屆滿通知
42,4930,燦星網,102/12/03,15:32:16,本公司股東「燦坤投資股份有限公司」持股已超過本公司已發行 有表決權之股份總數三分之一。
43,4930,燦星網,102/12/06,14:14:51,代子公司廈門燦坤實業股份有限公司公告董事會決議 召開102年第一次股東臨時會事宜
44,4930,燦星網,102/12/24,15:43:24,代子公司廈門燦坤實業股份有限公司公告本年度第一次 臨時股東會重要決議事項
