,公司代號,公司名稱,發言日期,發言時間,主旨
0,4938,和碩,102/01/15,17:42:21,代子公司Asuspower Corporation公告新增資金貸與金額 達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
1,4938,和碩,102/01/31,18:08:50,董事會通過本公司之100%子公司Pegatron Holding Ltd取得 Grand Upright Technology Limited之股權
2,4938,和碩,102/01/31,18:09:16,董事會通過本公司之100%子公司Casetek Holdings Limited處分 Grand Upright Technology Limited之股權
3,4938,和碩,102/02/04,18:06:17,本公司取得100%持有子公司 Pegatron Holding Ltd之股權
4,4938,和碩,102/02/04,18:07:04,本公司之子公司Pegatron Holding Ltd取得 Digitek Global Holdings Limited之股權
5,4938,和碩,102/02/04,18:07:59,本公司之子公司Digitek Global Holdings Limited取得 旭碩科技(重慶)有限公司之股權
6,4938,和碩,102/02/05,18:06:48,代子公司旭碩科技(重慶)有限公司公告訂購機器設備
7,4938,和碩,102/02/18,14:43:11,公告本公司召開法說會相關內容
8,4938,和碩,102/03/01,15:58:55,代子公司華瑋投資股份有限公司公告取得宣德科技股份 有限公司之私募普通股
9,4938,和碩,102/03/04,18:41:43,代子公司康碩電子(蘇州)有限公司公告訂購機器設備
10,4938,和碩,102/03/20,15:33:04,"代子公司永碩聯合國際(股)公司, 華毓\華瑋\華旭投資(股)公司公告董事會決議股利分派情形"
11,4938,和碩,102/03/21,15:00:17,公告本公司董事會通過民國一○一年度財務報告及合併財務報告
12,4938,和碩,102/03/21,17:54:01,本公司董事會決議召開102年股東常會相關事宜公告
13,4938,和碩,102/03/21,17:54:42,公告本公司董事會決議辦理限制員工權利新股收買註銷減資案
14,4938,和碩,102/03/21,18:11:00,董事會決議股利分派
15,4938,和碩,102/03/25,18:07:59,代子公司旭碩科技(重慶)有限公司公告訂購機器設備
16,4938,和碩,102/03/27,19:00:19,公告102年3月27日之地震對本公司財務及業務並無重大影響
17,4938,和碩,102/04/08,16:00:50,澄清今日媒體報導
18,4938,和碩,102/04/12,16:10:01,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
19,4938,和碩,102/04/12,16:55:35,更正102年3月背書保證資訊揭露明細表
20,4938,和碩,102/04/22,17:23:53,代子公司華毓投資(股)公司公告處份聯發科技股份有限公司股票
21,4938,和碩,102/04/23,16:29:11,公告本公司召開法人說明會相關內容
22,4938,和碩,102/04/23,17:52:19,代子公司昌碩科技(上海)有限公司公告訂購機器設備
23,4938,和碩,102/05/08,13:49:20,公告本公司董事會通過民國一○二年度第一季合併財務報告
24,4938,和碩,102/05/08,16:40:20,本公司董事會決議召開102年股東常會補充公告(增列議案)
25,4938,和碩,102/05/09,10:44:32,澄清今日媒體報導
26,4938,和碩,102/05/09,18:43:21,"代子公司""康碩電子(蘇州)有限公司""公告訂購機器設備"
27,4938,和碩,102/05/13,16:20:39,"代子公司""康碩電子(蘇州)有限公司""公告訂購機器設備"
28,4938,和碩,102/05/16,14:13:26,本公司受邀參加凱基證券舉辦之海外法人說明會
29,4938,和碩,102/05/22,16:48:00,公告本公司股務代理機構合併事宜
30,4938,和碩,102/05/31,13:42:58,代子公司Asuspower Corporation公告新增資金貸與金額 達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
31,4938,和碩,102/06/10,17:12:58,更正本公司民國102年3、4月資金貸與背書保證資訊揭露 明細表
32,4938,和碩,102/06/19,14:25:54,更正本公司民國102年5月資金貸與資訊揭露明細表
33,4938,和碩,102/06/19,19:07:32,代子公司永碩聯合國際股份有限公司 公告董事會通過間接大陸投資案
34,4938,和碩,102/06/19,19:22:11,代子公司華毓/華瑋/華旭投資股份有限公司及 永碩聯合國際股份有限公司公告102年股東常會重要決議
35,4938,和碩,102/06/19,19:23:20,公告本公司102年股東常會重要決議事項
36,4938,和碩,102/06/19,19:24:59,公告本公司102年股東常會全面改選董事
37,4938,和碩,102/06/19,19:30:21,公告本公司102年股東會決議解除董事競業禁止限制案
38,4938,和碩,102/06/20,17:53:35,董事會決議通過間接投資大陸事業案
39,4938,和碩,102/06/20,18:22:41,公告本公司董事會選任董事長及副董事長
40,4938,和碩,102/06/20,18:23:15,公告本公司董事會決議委任薪酬委員會成員
41,4938,和碩,102/06/20,18:23:36,公告本公司首次設置審計委員會之審計委員名單
42,4938,和碩,102/07/09,14:01:15,代子公司Asuspower Corporation公告新增資金貸與金額 達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
43,4938,和碩,102/07/15,17:48:28,代子公司名碩電腦(蘇州)有限公司公告訂購機器設備
44,4938,和碩,102/07/26,15:18:28,公告本公司召開法人說明會相關內容
45,4938,和碩,102/08/01,16:59:01,公告本公司與9家銀行簽訂聯貸案合約簽約完成
46,4938,和碩,102/08/12,13:48:38,公告本公司董事會通過民國一○二年度第二季合併財務報告
47,4938,和碩,102/08/12,16:02:46,和碩聯合科技公告董事會決議102年配息基準日
48,4938,和碩,102/08/12,16:03:25,公告本公司董事會決議辦理限制員工權利新股收買註銷減資案
49,4938,和碩,102/08/12,16:03:46,董事會決議本公司101年限制員工權利新股第二次發行之 增資基準日
50,4938,和碩,102/08/12,18:07:31,補充公告 - 102/6/20董事會決議補充
51,4938,和碩,102/08/13,12:22:48,澄清今日媒體報導
52,4938,和碩,102/09/11,12:31:58,澄清今日媒體報導
53,4938,和碩,102/10/07,14:36:01,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
54,4938,和碩,102/10/08,11:57:00,澄清今日媒體報導
55,4938,和碩,102/10/25,14:06:21,公告本公司召開民國102年第三季營運說明會相關內容
56,4938,和碩,102/11/11,13:51:54,公告本公司董事會通過民國一○二年度第三季合併財務報告
57,4938,和碩,102/11/11,15:05:04,公告本公司董事會決議辦理限制員工權利新股收買註銷減資案
58,4938,和碩,102/11/11,15:40:17,"董事會通過合併子公司""永碩聯合國際(股)公司"""
59,4938,和碩,102/11/11,17:50:13,"代子公司永碩聯合國際(股)公司,華毓\ 華瑋\華旭投資(股)公司公告董事會決議修正股利分派情形"
60,4938,和碩,102/11/11,17:50:38,代子公司華毓/華瑋/華旭投資(股)公司公告 董事會決議盈餘轉增資案
61,4938,和碩,102/11/15,17:30:08,代子公司永碩聯合國際(股)公司/華毓投資、 華瑋投資、華旭投資股份有限公司公告除權息基準日
62,4938,和碩,102/11/15,17:30:24,代子公司永碩聯合國際/華毓投資/華瑋投資/華旭 投資股份有限公司公告臨時股東會決議
63,4938,和碩,102/11/22,14:07:32,本公司受邀參加HSBC舉辦之海外法人說明會
64,4938,和碩,102/12/05,14:17:57,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
65,4938,和碩,102/12/13,12:38:11,澄清近日媒體報導
66,4938,和碩,102/12/23,11:04:28,澄清今日媒體報導
67,4938,和碩,102/12/30,22:12:52,"代子公司ASLINK PRECISION CO., LTD.公告處分 博碩科技(江西)有限公司股權"
