,公司代號,公司名稱,發言日期,發言時間,主旨
0,4942,嘉彰,107/02/07,14:41:56,代本公司重要子公司Chia Corporation公告董事會決議 轉投資公司盈餘匯回案
1,4942,嘉彰,107/02/07,15:10:23,本公司代子公司嘉能開發股份有限公司公告處分連瑪開發 股份有限公司100%股權相關資訊
2,4942,嘉彰,107/03/07,15:53:01,公告處份第一金全家福基金累計達公告標準
3,4942,嘉彰,107/03/07,16:36:38,公告處份第一金全家福基金累計達公告標準(更正事實發生日)
4,4942,嘉彰,107/03/20,13:36:45,公告本公司董事會通過解除經理人競業禁止之限制
5,4942,嘉彰,107/03/20,13:38:33,本公司董事會決議召開107年股東常會
6,4942,嘉彰,107/03/20,13:46:36,董事會決議股利分派
7,4942,嘉彰,107/03/20,15:55:24,本公司董事會決議通過民國106年度員工酬勞及董監酬勞分派案
8,4942,嘉彰,107/04/23,17:18:48,公告申購第一金全家福基金累計達公告標準
9,4942,嘉彰,107/04/30,13:33:43,本公司董事會決議召開107年股東常會之補充公告
10,4942,嘉彰,107/05/25,09:50:45,公告本公司法人董事代表人異動
11,4942,嘉彰,107/05/25,10:39:54,嘉彰公司續約Chia Corporation第一銀行背書保證額度
12,4942,嘉彰,107/06/11,13:34:08,公告本公司107年股東常會重要決議事項
13,4942,嘉彰,107/06/12,11:29:23,本公司代子公司嘉彰科技(蘇州)有限公司公告 轉投資公司嘉彰科技(重慶)有限公司增資案
14,4942,嘉彰,107/07/18,15:31:14,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
15,4942,嘉彰,107/08/09,13:39:33,公告本公司董事會決議除息基準日
16,4942,嘉彰,107/08/17,16:27:42,嘉彰公司續約Chia Corporation上海銀行背書保證額度
17,4942,嘉彰,107/08/22,13:56:18,本公司為子公司Chia Corporation玉山銀行額度續約背書保證
18,4942,嘉彰,107/08/31,13:43:09,本公司為子公司Chia Corporation 永豐及花旗銀行額度續約背書保證
19,4942,嘉彰,107/10/15,14:12:58,本公司受邀參加華南永昌綜合證券舉辦之法人說明會
20,4942,嘉彰,107/10/26,10:30:39,更正本公司107年9月份資金貸與明細表資訊
21,4942,嘉彰,107/11/07,13:37:29,代本公司重要子公司Chia Corporation公告董事會決議 轉投資公司盈餘匯回案
22,4942,嘉彰,107/12/18,14:49:32,公告本公司對CHIA CORPORATION背書保證續約額度
23,4942,嘉彰,107/12/18,14:50:18,公告本公司對GOLDSKY背書保證續約額度
24,4942,嘉彰,107/12/18,14:52:13,代子公司公告CHIA CORPORATION 公告資金貸與額度續約
