,公司代號,公司名稱,發言日期,發言時間,主旨
0,4952,凌通,107/02/06,17:42:45,公告本公司董事會決議召開107年股東常會日期及相關事宜
1,4952,凌通,107/02/06,17:47:45,公告本公司107年02月06日董事會重要決議事項
2,4952,凌通,107/05/03,14:35:20,更新公告本公司董事會決議召開107年股東常會日期及相關事宜
3,4952,凌通,107/05/03,14:42:14,公告本公司107年05月03日董事會重要決議事項
4,4952,凌通,107/05/03,15:18:37,公告本公司董事會決議股利分派
5,4952,凌通,107/06/14,16:40:02,公告本公司107年股東常會重要決議事項
6,4952,凌通,107/06/14,16:40:33,公告本公司股東常會決議解除董事競業之限制
7,4952,凌通,107/06/22,08:46:57,公告本公司106年配息基準日及資本公積配發現金基準日
8,4952,凌通,107/06/22,09:27:22,更正公告本公司107年配息基準日及資本公積配發現金基準日
9,4952,凌通,107/07/31,16:19:59,公告本公司107年07月31日董事會重要決議事項
10,4952,凌通,107/08/03,13:46:39,公告本公司將於107年8月13日召開法人說明會
11,4952,凌通,107/11/06,15:52:46,公告本公司107年11月6日董事會重要決議事項
