,公司代號,公司名稱,發言日期,發言時間,主旨
0,4968,立積,106/01/09,15:51:29,公告本公司105年第4季美國訴訟案最新進度
1,4968,立積,106/02/02,15:28:50,105年第四季法人說明會
2,4968,立積,106/02/06,13:58:19,公告本公司法人董事辭任事宜
3,4968,立積,106/02/08,14:56:53,公告本公司董事會決議通過105年度員工及董監酬勞分派情形
4,4968,立積,106/02/08,14:57:16,立積董事會決議召開106年股東常會公告
5,4968,立積,106/02/08,15:01:01,董事會決議股利分派
6,4968,立積,106/04/04,14:54:02,本公司與天工通訊以及Epiccom Inc.達成和解，雙方撤回所有營 業秘密之相關訴訟
7,4968,立積,106/04/05,14:32:27,補充本公司於106.04.04和解公告事宜
8,4968,立積,106/04/18,13:40:06,澄清106年04月18日財訊快報網路新聞之相關報導
9,4968,立積,106/04/26,13:57:11,106年第1季法人說明會
10,4968,立積,106/05/04,14:52:38,公告本公司董事會通過106年第1季財務報告
11,4968,立積,106/05/08,11:18:56,澄清106年05月06日工商時報新聞之相關報導
12,4968,立積,106/05/17,17:32:15,受邀參加德意志證券投資人論壇
13,4968,立積,106/05/17,17:35:27,受邀參加香港匯豐證券台灣論壇
14,4968,立積,106/05/24,13:58:01,受邀參加摩根大通投資人論壇
15,4968,立積,106/05/26,13:48:19,公告本公司106年股東常會重要決議事項
16,4968,立積,106/05/26,13:48:37,公告本公司106年股東常會補選董事
17,4968,立積,106/05/26,13:48:55,公告本公司訂定106年配息基準日及其相關事宜
18,4968,立積,106/06/06,14:06:24,本公司受邀參加CLSA舉辦之新加坡香港海外法說會
19,4968,立積,106/07/11,15:04:53,公告補正本公司105年度年報部份內容
20,4968,立積,106/07/13,08:19:18,澄清106年07月13日經濟日報新聞之相關報導
21,4968,立積,106/07/26,16:33:14,106年第2季法人說明會
22,4968,立積,106/08/03,16:31:18,公告本公司董事會通過106年第2季財務報告
23,4968,立積,106/10/05,17:43:45,受邀參加麥格理證券新加坡及香港海外法說會
24,4968,立積,106/10/25,14:19:19,106年第3季法人說明會
25,4968,立積,106/10/25,14:30:30,更新106年第三季法人說明會召開時間
26,4968,立積,106/11/02,15:50:15,公告本公司董事會通過106年第3季財務報告
27,4968,立積,106/11/14,14:18:05,本公司受邀參加大和國泰證券舉辦之法人座談會
28,4968,立積,106/11/14,14:46:37,補充本公司受邀參加大和國泰證券舉辦之法人座談會召開地點
29,4968,立積,106/11/30,14:16:46,本公司受邀參加第一金證券舉辦之法人座談會
30,4968,立積,106/12/18,15:18:09,受邀國泰證券舉辦的第四季大中華高峰論壇
31,4968,立積,106/12/20,16:18:58,受邀富邦證券舉辦的法人座談會
