,公司代號,公司名稱,發言日期,發言時間,主旨
0,4994,傳奇,106/02/02,18:37:17,"代本公司之重要子公司 X-LEGEND ENTERTAINMENT JAPAN CO., LTD.公告召開 106年股東常會"
1,4994,傳奇,106/02/24,18:02:08,"代本公司之重要子公司 X-LEGEND ENTERTAINMENT JAPAN CO., LTD.公告股東會通過 解除董事競業禁止之限制案"
2,4994,傳奇,106/02/24,18:02:25,"代本公司之重要子公司 X-LEGEND ENTERTAINMENT JAPAN CO., LTD.公告股東會決議 不分派股利"
3,4994,傳奇,106/02/24,18:02:40,"代本公司之重要子公司 X-LEGEND ENTERTAINMENT JAPAN CO., LTD.公告一○六年 股東常會重要決議事項"
4,4994,傳奇,106/03/10,18:20:55,公告本公司董事會決議不發放股利
5,4994,傳奇,106/03/10,18:21:17,公告本公司董事會決議註銷限制員工權利新股暨 訂定減資基準日
6,4994,傳奇,106/03/10,18:21:38,公告本公司董事會決議擬發行限制員工權利新股
7,4994,傳奇,106/03/10,18:21:57,公告本公司董事會決議召開一○六年股東常會
8,4994,傳奇,106/03/24,17:45:31,本公司收回已發行之限制員工權利新股 註銷減資變更登記完成
9,4994,傳奇,106/06/22,17:16:26,公告本公司一○六年股東常會重要決議事項
10,4994,傳奇,106/11/03,15:33:12,"公告本公司董事會決議對韓國子公司 X-LEGEND ENTERTAINMENT KOREA CO., LTD. 現金增資"
11,4994,傳奇,106/11/06,17:12:08,公告本公司召開法說會相關內容
