,公司代號,公司名稱,發言日期,發言時間,主旨
0,5215,科嘉-KY,108/01/02,17:09:07,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
1,5215,科嘉-KY,108/01/02,17:09:24,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
2,5215,科嘉-KY,108/01/03,17:47:59,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
3,5215,科嘉-KY,108/01/04,17:13:46,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
4,5215,科嘉-KY,108/01/04,17:13:58,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
5,5215,科嘉-KY,108/01/07,17:39:55,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
6,5215,科嘉-KY,108/01/07,17:41:45,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
7,5215,科嘉-KY,108/01/07,17:41:58,更正1月4日代子公司蘇州科德/嘉吉/嘉財/嘉駿/嘉冠 公告一年內累積取得同一有價證券達實收資本額20%
8,5215,科嘉-KY,108/01/07,17:42:10,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
9,5215,科嘉-KY,108/01/08,16:12:06,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
10,5215,科嘉-KY,108/01/08,16:12:20,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
11,5215,科嘉-KY,108/01/08,16:12:36,更正1月7日代子公司蘇州科德/嘉吉/嘉財/嘉駿/嘉冠 公告一年內累積處分同一有價證券達實收資本額20%
12,5215,科嘉-KY,108/01/09,17:11:11,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
13,5215,科嘉-KY,108/01/09,17:11:26,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
14,5215,科嘉-KY,108/01/09,17:11:38,更正1月8日代子公司蘇州科德/嘉吉/嘉財/嘉駿/嘉冠 公告一年內累積處分同一有價證券達實收資本額20%
15,5215,科嘉-KY,108/01/10,17:34:50,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
16,5215,科嘉-KY,108/01/10,17:35:20,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積取得同一有價證券達實收資本額20%
17,5215,科嘉-KY,108/01/11,17:14:13,代子公司蘇州科德/嘉吉/嘉財/嘉冠/嘉駿公告 一年內累積處分同一有價證券達實收資本額20%
18,5215,科嘉-KY,108/01/11,17:14:31,代子公司蘇州科德/嘉吉/嘉財/嘉冠公告一年 內累積取得同一有價證券達實收資本額20%
19,5215,科嘉-KY,108/01/14,17:27:36,代子公司蘇州科德/嘉吉/嘉財/嘉冠公告 一年內累積處分同一有價證券達實收資本額20%
20,5215,科嘉-KY,108/01/14,17:28:14,代子公司嘉財/嘉冠公告一年 內累積取得同一有價證券達實收資本額20%
