,公司代號,公司名稱,發言日期,發言時間,主旨
0,5234,達興材料,106/03/08,18:21:17,公告本公司決議召開106年股東常會
1,5234,達興材料,106/03/08,18:30:54,公告本公司董事會決議105年股利分派
2,5234,達興材料,106/05/10,16:58:22,公告本公司內部稽核主管異動
3,5234,達興材料,106/05/24,16:25:16,公告本公司一○六年股東常會全面改選董事事宜
4,5234,達興材料,106/05/24,16:28:35,公告本公司民國一○六年股東常會 決議通過解除新任董事及其代表人競業行為案
5,5234,達興材料,106/05/24,16:31:05,公告本公司民國一○六年股東常會重要決議事項
6,5234,達興材料,106/05/24,16:31:52,公告本公司因董事全面改選，審計委員會成員異動
7,5234,達興材料,106/05/24,16:32:36,本公司董事會決議通過推選董事長乙案
8,5234,達興材料,106/05/24,16:33:11,公告本公司董事會委任第三屆薪資報酬委員會委員
9,5234,達興材料,106/06/13,16:23:33,公告本公司訂定現金股利之除息基準日
10,5234,達興材料,106/12/08,15:33:11,公告本公司召開法人說明會相關資訊
