,公司代號,公司名稱,發言日期,發言時間,主旨
0,5284,jpp-KY,103/09/12,18:07:51,本公司召開第一上櫃業績發表會
1,5284,jpp-KY,103/09/19,17:05:06,公告本公司初次上櫃現金增資委託代收及存儲價款機構
2,5284,jpp-KY,103/10/01,12:17:31,公告本公司股票初次上櫃前現金增資發行新股承銷價格
3,5284,jpp-KY,103/10/01,17:34:19,公告本公司股務單位名稱、辦公處所及連絡電話
4,5284,jpp-KY,103/10/06,11:31:29,公告本公司辦理初次上櫃過額配售內容
5,5284,jpp-KY,103/10/06,13:39:31,公告本公司辦理股票初次上櫃前現金增資收足股款
6,5284,jpp-KY,103/10/06,13:48:16,澄清媒體報導
7,5284,jpp-KY,103/10/06,18:31:35,公告本公司股票上櫃買賣公告日
8,5284,jpp-KY,103/10/15,12:30:46,公告本公司掛牌首五個營業日穩定價格操作結果
9,5284,jpp-KY,103/10/17,16:11:35,公告本公司對子公司現金增資案
10,5284,jpp-KY,103/11/06,13:58:55,公告103年11月20日本公司受統一證券邀請，參加其舉辦之法人座談會時間地點
11,5284,jpp-KY,103/11/06,14:01:11,公告103年11月20日本公司受統一證券邀請，參加其舉辦之法人座談會時間地點
12,5284,jpp-KY,103/11/14,17:09:16,澄清媒體報導
13,5284,jpp-KY,103/12/08,16:31:26,澄清媒體報導
