,公司代號,公司名稱,發言日期,發言時間,主旨
0,5285,界霖,107/02/06,17:42:25,公告本公司107年02月06日董事會重要決議
1,5285,界霖,107/02/06,17:43:07,公告本公司會計暨財務主管異動
2,5285,界霖,107/02/22,19:38:36,公告本公司107年02月22日董事會重要決議
3,5285,界霖,107/02/22,19:45:09,本公司擬向嘉威光電股份有限公司購買廠房。
4,5285,界霖,107/03/20,17:46:58,公告本公司107年03月20日董事會重要決議
5,5285,界霖,107/03/20,17:48:53,公告本公司董事會決議召開107年股東常會相關事宜
6,5285,界霖,107/03/20,17:56:24,董事會決議股利分派
7,5285,界霖,107/03/20,19:57:20,依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第一款公告
8,5285,界霖,107/03/20,20:24:10,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第二款、第三款、第四款公告
9,5285,界霖,107/04/09,11:26:49,澄清107/4/4自由時報C1版之報導
10,5285,界霖,107/05/09,14:44:50,公告本公司107年第一季經會計師核閱之合併財務報表業 已提報董事會
11,5285,界霖,107/05/09,14:45:52,"公告本公司106年度股東會通過私募普通股案,不繼續執行之計畫"
12,5285,界霖,107/05/09,14:46:43,公告本公司107年05月09日董事會重要決議
13,5285,界霖,107/05/10,09:57:02,補充公告:本公司董事會決議不繼續執行106年股東常會通過 之私募普通股案
14,5285,界霖,107/06/04,11:44:14,澄清107/6/4工商時報B3版之報導
15,5285,界霖,107/06/22,16:16:49,公告本公司107年股東常會重要決議
16,5285,界霖,107/06/22,16:17:53,公告本公司107年股東常會全面改選董事七席(含獨立董事 三席)及監察人三席當選名單
17,5285,界霖,107/06/22,16:19:16,公告本公司107年股東常會通過解除新任董事競業之限制案
18,5285,界霖,107/06/22,16:19:59,公告本公司107年6月22日董事會決議事項
19,5285,界霖,107/06/22,16:20:58,公告本公司新任董事推選董事長
20,5285,界霖,107/06/22,16:21:46,公告本公司第三屆薪酬委員會任期屆滿
21,5285,界霖,107/07/02,16:11:45,公告本公司董事會決議委任薪資報酬委員會委員
22,5285,界霖,107/07/02,16:12:44,公告本公司董事會決議106年度盈餘分配案決定除息基準日事宜
23,5285,界霖,107/07/02,16:17:15,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第二款、第四款公告
24,5285,界霖,107/07/17,14:47:15,公告本公司調整國內第一次無擔保轉換公司債轉換價格
25,5285,界霖,107/07/17,14:47:43,公告本公司現金股利調整配息比率
26,5285,界霖,107/08/11,12:24:07,公告本公司107年第二季經會計師核閱之合併財務報表 業已提報董事會
27,5285,界霖,107/08/11,12:25:27,公告本公司107年8月11日董事會重要決議
28,5285,界霖,107/08/11,12:26:27,公告本公司董事會決議通過發行國內第二次無擔保轉換公司債
29,5285,界霖,107/08/21,14:30:56,本公司受邀參加里昂證券舉辦之「CLSA Power Semi Access Day」
30,5285,界霖,107/08/29,16:02:42,補充及修正本公司董事會決議通過發行 國內第二次無擔保轉換公司債
31,5285,界霖,107/09/25,09:53:39,公告本公司國內第二次無擔保轉換公司債代收價款行庫及 存儲專戶行庫
32,5285,界霖,107/10/16,15:42:39,本公司擬向嘉威光電股份有限公司購買廠房A棟。
33,5285,界霖,107/10/16,15:55:38,公告本公司國內第二次無擔保轉換公司債收足應募價款
34,5285,界霖,107/11/12,14:32:10,本公司受邀參加台新證券主辦之法人說明會
35,5285,界霖,107/11/13,15:28:22,公告本公司107年第三季經會計師核閱之合併財務報表 業已提報董事會
36,5285,界霖,107/11/13,15:29:08,公告本公司107年11月13日董事會重要決議
