,公司代號,公司名稱,發言日期,發言時間,主旨
0,5288,豐祥-KY,108/01/04,13:35:19,澄清媒體報導
1,5288,豐祥-KY,108/02/26,17:32:12,公告本公司董事會決議股東會召開日期
2,5288,豐祥-KY,108/02/26,17:33:17,公告本公司董事會決議通過2018年度董事及員工酬勞分派案。
3,5288,豐祥-KY,108/02/26,17:34:19,本公司取得會計師2018年度內部控制專案審查報告
4,5288,豐祥-KY,108/02/26,17:38:30,本公司董事會決議股利分派
5,5288,豐祥-KY,108/03/07,13:46:11,本公司受邀參加日盛證券舉辦之法人說明會
6,5288,豐祥-KY,108/03/15,16:11:05,本公司受邀參加凱基證券舉辦之法人說明會
7,5288,豐祥-KY,108/04/19,16:48:27,修訂本公司2019年股東常會議程
8,5288,豐祥-KY,108/04/22,17:34:19,公告本公司董事會通過2019年度第一季 合併財務報告
9,5288,豐祥-KY,108/04/23,17:10:59,澄清媒體報導
10,5288,豐祥-KY,108/04/25,15:55:16,澄清媒體報導
11,5288,豐祥-KY,108/04/30,15:19:53,更正本公司108年度第一季合併財報IXBRL申報資訊 之關係人交易
12,5288,豐祥-KY,108/05/10,16:10:11,本公司受邀參加富邦證券舉辦之法人說明會
13,5288,豐祥-KY,108/05/31,17:17:26,更正本公司107年度合併財報現金流量表部分資訊
14,5288,豐祥-KY,108/05/31,17:49:52,公告本公司2019年股東常會重要決議事項
15,5288,豐祥-KY,108/05/31,17:50:23,本公司2019年股東常會改選董事(含獨立董事)當選名單
16,5288,豐祥-KY,108/05/31,17:50:46,本公司2019年股東常會通過解除新任董事競業禁止之限制
17,5288,豐祥-KY,108/05/31,17:51:29,本公司董事會推選董事長事宜
18,5288,豐祥-KY,108/05/31,17:51:54,本公司董事會決議委任第三屆薪資報酬委員會成員
19,5288,豐祥-KY,108/05/31,17:52:14,本公司董事會決議委任第三屆審計委員會成員
20,5288,豐祥-KY,108/05/31,17:52:41,澄清媒體報導
21,5288,豐祥-KY,108/05/31,18:30:16,澄清媒體報導
22,5288,豐祥-KY,108/06/28,16:18:44,代重要子公司VPIC1公告董事會決議2018年度盈餘分配案
23,5288,豐祥-KY,108/07/03,14:31:49,本公司依公開發行公司資金貸與及背書保證處理準則第二十五 條第一項第三款及第四款規定辦理
24,5288,豐祥-KY,108/07/16,17:17:34,公告本公司除息基準日
25,5288,豐祥-KY,108/07/22,16:22:23,澄清媒體報導
26,5288,豐祥-KY,108/07/24,16:51:59,"代重要子公司Eurocharm Innovation Co., Ltd.(B.V.I.) 公告董事會決議2018年度盈餘分配案"
27,5288,豐祥-KY,108/08/07,17:24:58,公告本公司董事會通過2019年度第二季 合併財務報告
28,5288,豐祥-KY,108/08/07,17:42:42,代從屬公司豐祥金屬工業股份有限公司公告 資金貸與開曼商豐祥控股股份有限公司
29,5288,豐祥-KY,108/08/07,18:03:51,本公司依公開發行公司資金貸與及背書保證處理準則第二十五 條第一項第三款及第四款規定辦理
30,5288,豐祥-KY,108/08/07,18:12:17,董事會決議108年上半年不分派盈餘
31,5288,豐祥-KY,108/08/28,16:39:29,澄清媒體報導
32,5288,豐祥-KY,108/09/03,16:34:36,本公司受邀參加元富證券舉辦之法人說明會
33,5288,豐祥-KY,108/09/06,16:03:59,澄清媒體報導
34,5288,豐祥-KY,108/09/19,15:50:15,澄清媒體報導
35,5288,豐祥-KY,108/09/23,16:09:42,澄清媒體報導
36,5288,豐祥-KY,108/11/05,17:47:09,公告本公司董事會通過2019年度第三季 合併財務報告
37,5288,豐祥-KY,108/11/05,17:47:50,"代重要子公司Eurocharm Innovation Co., Ltd.(B.V.I.) 公告董事會通過參與Northstar Precision (Vietnam) Company Limited現金增資案"
38,5288,豐祥-KY,108/11/05,17:48:27,"代重要子公司Eurocharm Innovation Co., Ltd.(B.V.I.) 公告董事會通過合資案"
39,5288,豐祥-KY,108/11/05,17:49:06,"代重要子公司Vietnam Precision Industrial No. 1 Co., Ltd.公告董事會通過盈餘轉增資案"
40,5288,豐祥-KY,108/11/05,17:50:55,"代重要子公司Vietnam Precision Industrial No. 1 Co., Ltd.公告董事會通過盈餘轉增資案除權(息)基準日"
41,5288,豐祥-KY,108/11/07,16:06:41,澄清媒體報導
42,5288,豐祥-KY,108/11/12,16:36:04,本公司受邀參加統一證券2020年投資展望說明會
43,5288,豐祥-KY,108/12/02,16:20:37,公告本公司台灣事業處副總經理異動
44,5288,豐祥-KY,108/12/04,16:08:32,澄清媒體報導
45,5288,豐祥-KY,108/12/24,17:24:53,公告本公司台灣事業處協理異動
46,5288,豐祥-KY,108/12/24,17:25:10,公告本公司董事會決議解除 經理人之競業禁止限制
47,5288,豐祥-KY,108/12/24,17:25:26,代孫公司Apex Precision Industrial Limited 公告董事會通過辦理解散清算案。
48,5288,豐祥-KY,108/12/24,17:25:40,代孫公司Optimal Victory Limited 公告董事會通過辦理解散清算案。
49,5288,豐祥-KY,108/12/26,17:02:26,澄清媒體報導
