,公司代號,公司名稱,發言日期,發言時間,主旨
0,5388,中磊,107/02/08,10:47:16,說明媒體有關本公司之報導
1,5388,中磊,107/02/22,17:06:24,公告本公司將於3月12日召開法人說明會
2,5388,中磊,107/03/09,15:29:57,代子公司中磊電子(蘇州)有限公司公告董事會通過資金貸與他人案
3,5388,中磊,107/03/09,15:30:41,本公司受邀參加美林證券舉辦之2018年投資論壇
4,5388,中磊,107/03/12,16:21:27,董事會決議召開民國一○七年股東常會事宜
5,5388,中磊,107/03/12,16:23:29,董事會決議股利分派
6,5388,中磊,107/03/12,17:55:45,公告本公司董事會決議自民國107年度起更換簽證會計師事務所
7,5388,中磊,107/04/09,17:02:38,本公司受邀參加元大證券舉辦之投資論壇 (Yuanta 5G Corporate Day 2018)
8,5388,中磊,107/04/23,16:28:28,公告更正106年期末未分配盈餘事宜
9,5388,中磊,107/04/23,16:28:48,本公司董事會決議擬擇一辦理現金增資私募普通股或 私募國內轉換公司債
10,5388,中磊,107/04/23,16:29:07,董事會決議召開一○七年股東常會補充公告(增列討論事項)
11,5388,中磊,107/05/11,14:43:03,本公司受邀參加富邦證券及台灣證交所舉辦之「Fubon & Jefferies Taiwan Corporate Day 2018」投資論壇
12,5388,中磊,107/05/18,16:27:23,本公司受邀參加富邦證券舉辦之投資論壇
13,5388,中磊,107/05/18,16:27:58,本公司受邀參加匯豐證券舉辦之2018年投資論壇
14,5388,中磊,107/05/28,18:40:23,本公司受邀參加花旗證券舉辦之投資論壇 (Citi Tech Conference 2018)
15,5388,中磊,107/06/05,14:46:57,公告本公司107年股東常會重要決議事項
16,5388,中磊,107/06/19,15:42:23,公告本公司配息基準日
17,5388,中磊,107/06/26,16:01:35,本公司受邀參加凱基證券舉辦之2018年投資論壇
18,5388,中磊,107/07/20,16:29:48,公告本公司將於8月9日召開法人說明會
19,5388,中磊,107/08/09,17:21:44,董事會通過對子公司資金貸與案
20,5388,中磊,107/08/13,17:14:36,本公司取得仲琦科技普通股達三億元公告
21,5388,中磊,107/08/14,17:45:31,更正本公司取得仲琦科技普通股公告中 仲琦公司股票代號誤植
22,5388,中磊,107/09/03,10:51:28,說明媒體有關本公司之報導
23,5388,中磊,107/09/03,17:44:00,說明媒體有關本公司之報導
24,5388,中磊,107/09/07,11:48:37,說明媒體有關本公司之報導
25,5388,中磊,107/09/11,14:59:54,董事會決議通過買回本公司股票
26,5388,中磊,107/10/01,17:07:46,公告買回本公司股份達已發行股份總數2%
27,5388,中磊,107/11/05,17:06:44,公告買回本公司股份已執行完畢相關事宜
28,5388,中磊,107/11/06,11:36:38,公告買回本公司股份達已發行股份總數2%
29,5388,中磊,107/12/17,16:05:05,本公司受邀參加元大證券舉辦之「2019投資展望說明會」
