,公司代號,公司名稱,發言日期,發言時間,主旨
0,5469,瀚宇博,102/01/21,18:52:34,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
1,5469,瀚宇博,102/01/31,22:04:03,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
2,5469,瀚宇博,102/03/25,16:55:19,代轉投資子公司『HannStar Board International Holdings Limited』公告對單一企業資金貸與餘額達該本公司最近期 財務報表淨值百分之十以上
3,5469,瀚宇博,102/03/27,15:49:12,公告本公司董事會決議召開102年股東常會召集事宜及 停止過戶期間等情形
4,5469,瀚宇博,102/03/27,15:49:30,公告本公司董事會決議對關係人之捐贈事宜
5,5469,瀚宇博,102/03/27,16:53:28,公告民國102年3月27日地震對本公司財務及業務並無重大影響
6,5469,瀚宇博,102/03/27,16:55:27,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
7,5469,瀚宇博,102/04/26,16:13:39,補充公告本公司董事會決議召開102年股東常會召集事宜
8,5469,瀚宇博,102/04/26,16:32:44,本公司董事會通過買回公司股份
9,5469,瀚宇博,102/04/26,17:27:44,董事會決議股利分派
10,5469,瀚宇博,102/05/21,15:28:57,公告本公司第五次買回庫藏股已執行完畢之相關資料。
11,5469,瀚宇博,102/05/30,20:19:27,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
12,5469,瀚宇博,102/05/30,20:19:58,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告對單一企業資金貸與餘額達該本公司最近期 財務報表淨值百分之十以上。
13,5469,瀚宇博,102/05/31,14:39:19,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
14,5469,瀚宇博,102/06/03,18:55:51,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
15,5469,瀚宇博,102/06/04,17:19:32,代轉投資子公司『HannStar Board International Holdings Limited』公告對單一企業資金貸與餘額達該本公司最近期 財務報表淨值百分之十以上
16,5469,瀚宇博,102/06/04,17:19:49,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
17,5469,瀚宇博,102/06/14,10:24:53,更正本公司102年1-5月資金貸與他人及背書保證資訊
18,5469,瀚宇博,102/06/14,16:34:27,代子公司瀚宇博德科技(江陰)有限公司公告100年度火災事 件達成理賠協議
19,5469,瀚宇博,102/06/17,15:45:48,公告本公司102年股東常會重要決議事項
20,5469,瀚宇博,102/06/24,15:42:54,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
21,5469,瀚宇博,102/07/08,17:04:50,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
22,5469,瀚宇博,102/07/08,17:05:05,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
23,5469,瀚宇博,102/08/06,14:44:11,公告本公司董事會決議股利配發基準日
24,5469,瀚宇博,102/09/16,15:55:18,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
25,5469,瀚宇博,102/09/23,17:26:20,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告對單一企業資金貸與餘額達該本公司最近期 財務報表淨值百分之十以上。
26,5469,瀚宇博,102/10/01,17:30:19,代轉投資子公司『HannStar Board International Holdings Limited』公告新增資金貸與金額達新臺幣一千萬元以上且 達該公開發行公司財務報表淨值百分之二以上者。
27,5469,瀚宇博,102/10/01,17:30:37,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告對單一企業資金貸與餘額達該本公司最近期 財務報表淨值百分之十以上。
28,5469,瀚宇博,102/10/31,17:02:55,更正本公司102年9月份自結合併營收
29,5469,瀚宇博,102/10/31,18:08:21,本公司樹林廠違反水污染防治法罰鍰新台幣20萬元整。
30,5469,瀚宇博,102/12/05,18:59:13,代轉投資子公司『HannStar Board Holdings (Hong Kong) Limited』公告對單一企業資金貸與餘額達該本公司最近期 財務報表淨值百分之十以上。
31,5469,瀚宇博,102/12/10,13:44:37,本公司變更股務單位辦公處所
