,公司代號,公司名稱,發言日期,發言時間,主旨
0,5484,慧友,105/01/08,15:01:42,公告本公司民國104年12月份合併營收
1,5484,慧友,105/02/05,09:47:22,公告本公司民國105年01月份合併營收
2,5484,慧友,105/02/23,14:12:21,慧友電子公告本公司監察人辭職
3,5484,慧友,105/03/10,14:03:18,公告本公司民國105年02月份合併營收
4,5484,慧友,105/03/14,14:09:11,慧友電子公告本公司發言人、代理發言人變動
5,5484,慧友,105/03/18,16:41:53,公告慧友電子(5484)董事會決議通過民國104年度合併財務報 告及個體財務報告
6,5484,慧友,105/03/18,16:45:42,公告本公司董事會通過對子公司新增資金貸與金額 達新台幣一千萬以上且達最近財務報表淨值2%以上
7,5484,慧友,105/03/18,16:45:42,慧友電子公告董事會決議一○五年股東常會召開事宜
8,5484,慧友,105/03/18,17:48:12,董事會決議股利分派
9,5484,慧友,105/03/29,15:37:42,公告本公司股務代理機構「福邦證券股份有限公司」 變更營業處所相關事宜
10,5484,慧友,105/04/08,14:05:20,公告本公司民國105年03月份合併營收
11,5484,慧友,105/04/29,16:06:09,公告本公司財務資訊說明
12,5484,慧友,105/05/03,15:16:18,公告慧友電子(5484)董事會決議通過民國105年度第一季合併財務 報告
13,5484,慧友,105/05/10,15:02:24,公告本公司民國105年04月份合併營收
14,5484,慧友,105/05/18,13:45:12,慧友電子公告本公司監察人辭職
15,5484,慧友,105/06/08,10:39:56,慧友電子公告股東常會重大決議
16,5484,慧友,105/06/08,14:38:14,公告本公司民國105年05月份合併營收
17,5484,慧友,105/06/17,16:31:28,"係因本公司有價證券於集中交易市場達公布注意交易資訊 標準,故公布相關財務業務等重大訊息,以利投資人區別瞭 解。"
18,5484,慧友,105/06/20,14:01:44,公告本公司財務資訊說明
19,5484,慧友,105/07/06,15:53:42,公告本公司民國105年06月份合併營收
20,5484,慧友,105/07/11,15:24:25,"本公司背書保證達""公開發行公司資金貸與及背 書保證處理準則""第二十五條第一項第四款之規定"
21,5484,慧友,105/07/12,14:46:28,"本公司背書保證達""公開發行公司資金貸與及背書保證處理 準則""第二十五條第一項第四款之規定(更正事實發生日)"
22,5484,慧友,105/07/15,10:33:53,公告本公司財務資訊說明
23,5484,慧友,105/08/10,13:58:02,公告本公司民國105年07月份合併營收
24,5484,慧友,105/08/10,14:00:07,公告本公司財務資訊說明
25,5484,慧友,105/08/12,14:49:57,公告慧友電子(5484)董事會決議通過民國105年度第二季合併財務 報告
26,5484,慧友,105/09/09,14:02:02,公告本公司民國105年08月份合併營收
27,5484,慧友,105/09/09,14:02:29,公告本公司財務資訊說明
28,5484,慧友,105/10/07,14:12:13,公告本公司民國105年09月份合併營收
29,5484,慧友,105/10/13,15:29:14,公告本公司財務資訊說明
30,5484,慧友,105/11/10,15:26:25,公告本公司民國105年10月份合併營收
31,5484,慧友,105/11/10,15:33:55,公告慧友電子(5484)董事會決議通過民國105年度第三季合併財務 報告
32,5484,慧友,105/11/10,15:34:40,公告本公司財務資訊說明
33,5484,慧友,105/12/09,14:08:31,公告本公司民國105年11月份合併營收
34,5484,慧友,105/12/09,14:29:58,公告本公司財務資訊說明
