,公司代號,公司名稱,發言日期,發言時間,主旨
0,5521,工信,105/02/23,17:54:04,公告本公司擬增設生技事業部門
1,5521,工信,105/03/23,16:04:31,更正104年12月及105年1月背書保證公告
2,5521,工信,105/03/28,17:14:19,公告本公司董事會決議召開一○五年股東常會相關事宜
3,5521,工信,105/03/28,17:28:08,公告本公司董事會通過擬投資設立100%持股之子公司
4,5521,工信,105/03/28,19:55:24,公告本公司董事會通過104年度員工及董監酬勞金額及發放方式
5,5521,工信,105/03/30,16:51:23,公告更正本公司104年12月至105年2月之合併營收
6,5521,工信,105/04/22,14:04:02,公告本公司代理發言人異動
7,5521,工信,105/05/10,13:41:27,董事會決議股利分派
8,5521,工信,105/05/10,13:55:27,公告本公司董事會通過修正一○五年股東常會議程內容
9,5521,工信,105/06/28,13:54:04,公告本公司105年股東常會重要決議事項
10,5521,工信,105/07/14,13:37:45,公告本公司參加公開招標，取得「『臺鐵南迴鐵路臺東潮州段 電氣化工程建設計畫』C811Z潮州枋寮段土建及一般機電工程」採 購案
11,5521,工信,105/11/01,17:31:17,更正105年7-9月背書保證公告
