,公司代號,公司名稱,發言日期,發言時間,主旨
0,5538,東明-KY,102/11/22,17:12:18,公告本公司召開第一上市前業績發表會
1,5538,東明-KY,102/11/25,20:10:43,公告本公司初次上市現金增資相關事宜
2,5538,東明-KY,102/11/25,20:26:36,公告本公司上市現金增資委託代收及存儲價款合約
3,5538,東明-KY,102/11/26,16:58:53,更正本公司初次上市現金增資相關事宜(更正詢價圈購期間)
4,5538,東明-KY,102/12/04,08:51:44,公告本公司股務代理機構名稱、辦公處所及聯絡電話
5,5538,東明-KY,102/12/09,12:25:03,公告本公司股票初次上市前現金增資發行新股承銷價格
6,5538,東明-KY,102/12/10,17:12:37,公告德國BECO金屬部件貿易有限公司對本公司之子公司 岡山東穎開發股份有限公司提起訴訟案之說明。
7,5538,東明-KY,102/12/12,16:58:38,本公司初次上市現金增資收足股款公告
8,5538,東明-KY,102/12/12,17:16:19,公告本公司辦理初次上市過額配售內容
9,5538,東明-KY,102/12/24,15:08:08,公告本公司上市掛牌首五個營業日穩定價格操作結果
