,公司代號,公司名稱,發言日期,發言時間,主旨
0,5607,遠雄港,103/01/02,11:08:03,說明經濟日報C2版相關報導
1,5607,遠雄港,103/03/24,13:50:01,代子公司遠雄航空自由貿易港區股份有限公司公告董事會決議 召開股東常會相關事宜
2,5607,遠雄港,103/03/24,13:50:27,代子公司遠雄航空自由貿易港區股份有限公司 公告董事會決議不發放股利
3,5607,遠雄港,103/03/24,13:50:44,代子公司遠雄物流事業股份有限公司 公告董事會決議不發放股利
4,5607,遠雄港,103/03/25,14:15:22,公告本公司董事會決議召開一○三年股東常會相關事宜
5,5607,遠雄港,103/03/25,15:16:23,董事會決議股利分派
6,5607,遠雄港,103/05/14,16:59:37,代子公司遠雄航空自由貿易港區股份有限公司累積處分兆豐國際 寶鑽貨幣市場基金之相關資料
7,5607,遠雄港,103/06/20,16:06:42,公告修正本公司103年股東常會議事手冊部分內容
8,5607,遠雄港,103/06/23,15:07:40,公告修正本公司103年股東常會議事手冊部分內容
9,5607,遠雄港,103/06/26,14:02:48,公告本公司103年股東常會重要決議事項
10,5607,遠雄港,103/06/27,13:46:08,遠雄港代子公司遠雄航空自由貿易港區股份有限公司 公告103年股東常會重要決議事項
11,5607,遠雄港,103/07/17,14:04:37,公告修正本公司102年度年報部分內容
12,5607,遠雄港,103/08/07,16:24:25,公告背書保證金額達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款之標準
13,5607,遠雄港,103/08/07,16:24:33,公告背書保證金額達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款之標準
14,5607,遠雄港,103/08/08,15:26:29,更正本公司之關係人交易公告
15,5607,遠雄港,103/08/26,15:30:31,代子公司遠雄航空自由貿易港區股份有限公司取得資產公告
16,5607,遠雄港,103/10/19,11:26:25,代子公司遠雄航空自由貿易港區股份有限公司公告與 舟山港綜合保稅區管理委員會共同簽訂雙邊合作備忘錄
17,5607,遠雄港,103/11/10,15:59:37,代子公司遠雄航空自由貿易港區股份有限公司取得資產補充公告
18,5607,遠雄港,103/12/25,14:06:14,公告董事會決議解除經理人競業禁止之限制
19,5607,遠雄港,103/12/25,14:06:30,公告本公司薪酬委員異動
20,5607,遠雄港,103/12/25,14:22:33,公告背書保證金額達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第三款之標準
21,5607,遠雄港,103/12/26,13:32:01,代子公司遠雄航空自由貿易港區股份有限公司公告總經理異動
22,5607,遠雄港,103/12/26,13:32:20,代子公司遠雄航空自由貿易港區股份有限公司公告董事會 解除經理人競業禁止之限制
23,5607,遠雄港,103/12/26,13:32:32,代子公司遠雄物流事業股份有限公司公告總經理異動
24,5607,遠雄港,103/12/26,13:32:47,代子公司遠雄物流事業股份有限公司公告董事會解除經理人 競業禁止之限制
