,公司代號,公司名稱,發言日期,發言時間,主旨
0,5608,四維航,104/01/21,15:15:47,公告本公司簽訂國內第四次有擔保轉換公司債暨 國內第五次無擔保轉換公司債存儲專戶及代收價款專戶合約
1,5608,四維航,104/01/21,15:16:23,補正本公司103年第3季合併財報附註部份資訊。
2,5608,四維航,104/02/03,15:29:44,本公司國內第四次有擔保轉換公司債完成訂價公告
3,5608,四維航,104/02/04,15:27:19,本公司國內第五次無擔保轉換公司債完成訂價公告
4,5608,四維航,104/03/26,16:19:16,公告本公司104年股東常會相關事宜
5,5608,四維航,104/03/26,16:20:56,董事會決議盈餘轉增資發行新股
6,5608,四維航,104/03/26,16:32:58,董事會決議股利分派
7,5608,四維航,104/03/26,16:42:41,代子公司東連公告增資FOREVER
8,5608,四維航,104/03/26,16:43:18,代子公司東連公告增資UNICORN BRILLIANT
9,5608,四維航,104/03/26,16:44:01,代子公司東連公告增資ELEGANT
10,5608,四維航,104/03/26,16:44:31,代子公司東連公告增資DANCEFLORA
11,5608,四維航,104/05/14,16:31:45,本公司及其子公司資金貸與他人之餘額達該公開發行公司最近期 財務報表淨值百分之二十以上。
12,5608,四維航,104/05/14,16:33:02,代子公司 DONG LIEN 公告新增資金貸與金額達新臺幣一千萬元 以上且達該公開發行公司最近期財務報表淨值百分之二以上者。
13,5608,四維航,104/05/14,16:34:22,代孫公司 ENDURANCE 公告新增資金貸與金額達新臺幣一千萬元以 上且達該公開發行公司最近期財務報表淨值百分之二以上者。
14,5608,四維航,104/06/23,16:20:40,公告本公司104年股東常會重要決議事項
15,5608,四維航,104/07/28,16:00:40,公告103年度年報更正事宜
16,5608,四維航,104/08/11,16:24:20,公告本公司董事會決議訂定104年除權息基準日
17,5608,四維航,104/09/07,13:49:05,本公司國內第四次有擔保轉換公司債暨國內第五次無擔保 轉換公司債轉換價格調整
18,5608,四維航,104/10/12,15:46:20,本公司代轉投資孫公司綠舞蘇澳股份有限公司公告與臺灣港 務股份有限公司基隆港務分公司簽訂「蘇澳港觀光暨轉運專區租 賃及合作投資興建商港設施案」
19,5608,四維航,104/11/10,16:52:25,本公司背書保證已達公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第二款之公告規定
