,公司代號,公司名稱,發言日期,發言時間,主旨
0,5706,鳳凰,100/01/03,11:18:45,大眾傳播媒體對本公司之相關報導內容說明
1,5706,鳳凰,100/02/08,16:23:15,公告本公司召開100年股東常會相關事宜
2,5706,鳳凰,100/02/09,15:15:35,更正本公司100年股東常會討論事項議案
3,5706,鳳凰,100/03/04,19:41:00,本公司代理發言人辭職
4,5706,鳳凰,100/03/14,09:38:37,日本東北地震對本公司財務業務之影響
5,5706,鳳凰,100/03/15,19:11:28,補充公告本公司召開100年股東常會相關事宜
6,5706,鳳凰,100/03/15,19:11:52,公告本公司董事會決議股利分派相關事宜
7,5706,鳳凰,100/03/15,19:12:09,本公司董事會決議盈餘轉增資暨資本公積轉增資發行新股相關事宜
8,5706,鳳凰,100/03/15,19:33:42,本公司代理發言人派任案
9,5706,鳳凰,100/04/25,17:46:46,參加100/05/04櫃買市場業績發表會
10,5706,鳳凰,100/04/29,18:25:54,本公司100年股東常會重要決議事項
11,5706,鳳凰,100/04/29,18:31:48,公告本公司董事會推選董事長案
12,5706,鳳凰,100/04/29,18:45:42,本公司董監事任期屆滿，改選董監事資訊
13,5706,鳳凰,100/04/29,18:47:29,公告本公司100年股東常會同意解除董事競業禁止案
14,5706,鳳凰,100/04/30,16:15:00,更正公告-改選董監事資訊 選任時持股數誤植為當選權數，更正之
15,5706,鳳凰,100/05/04,17:46:45,公告本公司100年05月04日召開法說會相關內容
16,5706,鳳凰,100/05/05,10:48:18,澄清大眾傳播媒體對本公司之相關報導內容說明
17,5706,鳳凰,100/05/18,17:14:06,公告本公司董事會決議股利配發基準日
18,5706,鳳凰,100/05/30,17:59:29,本公司衍生性金融商品更正公告
19,5706,鳳凰,100/06/13,18:14:17,本公司有價證券近期多次達公佈注意交易資訊標準， 故公告相關訊息，以利投資人區別瞭解
20,5706,鳳凰,100/06/28,16:30:36,代本公司之子公司雍利企業股份有限公司更正衍生性金融商品公告
21,5706,鳳凰,100/06/28,16:49:46,代本公司之子公司雍利企業股份有限公司更正衍生性金融商品公告
22,5706,鳳凰,100/07/22,15:27:18,修正本公司99年度年報部份資料
23,5706,鳳凰,100/08/10,20:29:35,公告本公司薪酬委員會成員異動
24,5706,鳳凰,100/08/13,14:05:45,公告本公司自97年至100年07月止月營業額修正說明及對照表
25,5706,鳳凰,100/08/16,15:33:04,公告本公司100年08月23日召開法說會相關內容
26,5706,鳳凰,100/08/19,18:53:48,公告本公司取得會計師「內部控制專案審查報告」
27,5706,鳳凰,100/08/31,18:15:33,公告本公司100年第二季個別財務報告及合併財務報告 電子書部份頁次文字修正
28,5706,鳳凰,100/09/19,16:43:26,更正本公司06月衍生性金融商品公告
29,5706,鳳凰,100/09/29,10:14:37,澄清大眾傳播媒體對本公司之相關報導內容說明
30,5706,鳳凰,100/10/14,19:39:17,公告本公司普通股股票終止上櫃及轉上市買賣相關事宜
31,5706,鳳凰,100/10/31,17:27:59,本公司參加臺灣證券交易所舉辦之上市公司業績發表會
32,5706,鳳凰,100/11/07,10:50:45,澄清大眾傳播媒體對本公司之相關報導內容說明
33,5706,鳳凰,100/12/13,11:00:41,澄清大眾傳播媒體對本公司之相關報導內容說明
