,公司代號,公司名稱,發言日期,發言時間,主旨
0,5871,中租-KY,107/01/08,14:04:26,本公司受邀參加瑞銀證券所舉辦「Greater China Conference」。
1,5871,中租-KY,107/01/10,15:06:29,更正重要子公司仲利國際租賃有限公司 106年11月份衍生性商品交易資訊
2,5871,中租-KY,107/01/10,15:31:15,公告本公司資訊長變動
3,5871,中租-KY,107/01/23,14:31:39,公告本公司106年12月自結合併損益
4,5871,中租-KY,107/01/25,14:38:01,代子公司中租迪和(股)公司公告其因辦理2016年金融資產證券化 於債權循環轉讓之額度內處分標的債權。
5,5871,中租-KY,107/01/29,14:02:12,赴日本與機構投資人舉行說明會(Non-deal Roadshow)
6,5871,中租-KY,107/02/05,16:23:25,代重要子公司中租迪和(股)公司公告取得 喬崴建設開發(股)公司之不動產信託受益權
7,5871,中租-KY,107/02/06,15:33:52,代子公司中租迪和股份有限公司公告其董事會決議通過與兆 豐票券金融股份有限公司等聯合承銷公司團簽訂聯合承銷合約案
8,5871,中租-KY,107/02/09,16:46:03,代子公司仲信資融(股)公司公告取得創鉅有限合夥出資額
9,5871,中租-KY,107/02/13,15:05:17,代子公司中租迪和(股)公司公告董事會決議通過與臺灣銀行 等銀行團簽訂重大聯貸合約之保證案
10,5871,中租-KY,107/02/13,16:43:50,"本公司之子公司中租迪和股份有限公司為其兄弟公司Chailease  International Financial Services Co., Ltd.提供背書保證， 依公開發行公司資金貸與及背書保證處理準則公告。"
11,5871,中租-KY,107/02/21,14:30:30,公告本公司107年1月自結合併損益
12,5871,中租-KY,107/02/27,15:33:43,代重要子公司中租迪和(股)公司公告取得 山琳建設股份有限公司之不動產信託受益權
13,5871,中租-KY,107/03/05,14:44:08,代子公司中租迪和(股)公司公告其因辦理2016年金融資產證券化 於債權循環轉讓之額度內處分標的債權。
14,5871,中租-KY,107/03/05,17:25:23,公告本公司財會主管變動
15,5871,中租-KY,107/03/05,17:25:48,公告本公司代理發言人變動
16,5871,中租-KY,107/03/05,17:26:04,代子公司中租迪和公告代理發言人變動
17,5871,中租-KY,107/03/05,17:48:15,"公告重要子公司Golden Bridge(B.V.I.)Corp.董事會 決議辦理現金增資美金40,000仟元。"
18,5871,中租-KY,107/03/05,17:49:09,"公告轉投資本公司100%持有之子公司Golden Bridge (B.V.I.) Corp.美金40,000,000元。"
19,5871,中租-KY,107/03/05,17:50:38,"公告重要子公司My Leasing (Mauritius) Corp.董事會 決議辦理現金增資美金40,000仟元。"
20,5871,中租-KY,107/03/05,17:51:30,代重要子公司Golden Bridge(B.V.I.) Corp.公告 轉投資其子公司My Leasing(Mauritius)Corp. 美金4仟萬元
21,5871,中租-KY,107/03/05,17:52:06,"公告重要子公司仲利國際租賃有限公司董事會決議辦理 現金增資美金35,000仟元"
22,5871,中租-KY,107/03/05,17:52:23,"代重要子公司My Leasing (Mauritius) Corp.公告轉投資 其子公司仲利國際租賃有限公司美金35,000,000元。"
23,5871,中租-KY,107/03/05,17:52:39,"代重要子公司仲利國際租賃有限公司公告轉投資 其子公司仲津國際租賃有限公司美金15,000,000元"
24,5871,中租-KY,107/03/05,17:52:55,"公告現金增資本公司100%持有之子公司Chailease Int'l Co.,(Malaysia) Ltd美金150,000,000元, 得分次投資"
25,5871,中租-KY,107/03/05,17:55:56,公告本公司董事會決議召開107年股東常會議案相關事宜
26,5871,中租-KY,107/03/06,14:00:55,本公司受邀參加Morgan Stanley舉辦之「Morgan Stanley Eighth Annual Hong Kong Investor Summit」。
27,5871,中租-KY,107/03/07,14:23:35,中租控股代子公司中國租賃股份有限公司公告 民國106年度盈餘分配案
28,5871,中租-KY,107/03/12,16:41:03,中租控股106年第四季法人說明會
29,5871,中租-KY,107/03/12,16:41:18,中租控股106年第四季線上法人說明會
30,5871,中租-KY,107/03/13,14:47:55,公告重要子公司中租迪和(股)公司取得瑾霖建設(股)公司 不動產信託受益權
31,5871,中租-KY,107/03/16,14:43:57,代子公司仲利國際租賃有限公司公告其董事會決議通過與 以日商瑞穗銀行股份有限公司等銀行團簽訂聯貸合約案
32,5871,中租-KY,107/03/22,14:31:58,公告本公司107年2月自結合併損益
33,5871,中租-KY,107/03/22,18:15:41,董事會決議股利分派
34,5871,中租-KY,107/03/22,18:15:59,本公司為子公司仲利國際租賃有限公司提供背書保證，依公開發行 公司資金貸與及背書保證處理準則公告
