,公司代號,公司名稱,發言日期,發言時間,主旨
0,5876,上海商銀,105/01/13,17:48:34,公告本公司104年12月份自結合併盈餘
1,5876,上海商銀,105/01/22,17:59:02,代子公司上海商業銀行公告董事會決議召開2016年股東常會 相關事宜
2,5876,上海商銀,105/03/12,15:07:37,上海商銀董事會決議召開105年股東常會相關事宜
3,5876,上海商銀,105/03/12,15:08:24,本公司董事會決議通過解除經理人競業禁止
4,5876,上海商銀,105/03/12,15:09:11,公告本公司董事會決議通過104年度董事監察人酬勞及員工酬勞
5,5876,上海商銀,105/03/12,15:10:04,董事會決議股利分派
6,5876,上海商銀,105/03/12,15:11:06,上海商銀董事會決議辦理盈餘轉增資案
7,5876,上海商銀,105/04/21,08:55:32,子公司香港上海商業銀行有限公司股東會改選部分董事當選公告
8,5876,上海商銀,105/04/21,08:56:12,子公司香港上海商業銀行有限公司董事長異動
9,5876,上海商銀,105/04/21,08:56:47,子公司上海商業銀行有限公司審計委員會成員異動
10,5876,上海商銀,105/04/27,14:07:30,子公司上商復興(股)公司董事會通過發放現金股利
11,5876,上海商銀,105/04/27,14:08:19,子公司上商復興(股)公司董事會通過發放現金股利基準日
12,5876,上海商銀,105/05/05,17:56:12,公告本公司104年度合併營業收入自結數與會計師查核數 差異說明並更正調整公告
13,5876,上海商銀,105/06/14,17:43:55,公告本公司股東會通過解除董事競業禁止之限制
14,5876,上海商銀,105/06/14,17:45:20,公告本公司105年配發現金股息、股票股利基準日
15,5876,上海商銀,105/07/07,17:39:12,代子公司上海商業銀行公告黃濤先生擔任金煜先生替任董事
16,5876,上海商銀,105/07/15,17:33:56,本公司常董會通過與銀聯國際有限公司簽署「保密協議」與 「會員服務和商標授權協定」
17,5876,上海商銀,105/08/30,16:48:27,公告本公司105年上半年度合併營業收入自結數與會計師查核數 差異說明並更正調整公告
18,5876,上海商銀,105/10/27,09:03:02,代重要子公司香港上海商業銀行公告董事會通過召開第66屆 股東常會日期
19,5876,上海商銀,105/12/19,16:56:50,子公司香港上海商業銀行董事會通過發放現金股利
