,公司代號,公司名稱,發言日期,發言時間,主旨
0,5880,合庫金,103/01/06,17:08:44,代子公司合作金庫商業銀行公告102年12月份自結合併盈餘
1,5880,合庫金,103/01/08,18:44:17,代子公司合作金庫商業銀行補充102/12/30處分不動產之公告。
2,5880,合庫金,103/01/08,18:47:11,代子公司合作金庫資產管理股份有限公司補充102年12年30日取得 不動產之公告.
3,5880,合庫金,103/01/10,08:33:47,公告本公司暨主要子公司102年12月份自結合併盈餘
4,5880,合庫金,103/01/16,14:30:08,公告本公司與法商法國巴黎投資控股公司（BNP Paribas Investment Partners）簽署股權交易合約以購買其持有「合庫 巴黎證券投資信託股份有限公司」49%股權。
5,5880,合庫金,103/01/16,18:52:23,代子公司合庫巴黎證券投資信託股份有限公司公告 總經理異動
6,5880,合庫金,103/01/16,18:54:04,代子公司合庫巴黎證券投資信託股份有限公司公告 營運策略長異動
7,5880,合庫金,103/01/20,18:13:44,代子公司合作金庫保險經紀人股份有限公司公告 法人董事代表人異動
8,5880,合庫金,103/01/23,18:27:14,代子公司合作金庫票券金融股份有限公司公告 董事會決議發放股利。
9,5880,合庫金,103/01/24,17:55:16,代子公司合作金庫保險經紀人股份有限公司公告董事會代行 股東會重要決議事項
10,5880,合庫金,103/01/27,17:26:50,公告本公司103年股東常會召開日期。
11,5880,合庫金,103/01/27,17:28:26,代子公司合作金庫商業銀行公告董事會決議申請發行 無擔保次順位金融債券額度新台幣壹佰陸拾億元整
12,5880,合庫金,103/01/27,20:12:56,代子公司合作金庫商業銀行(股)公司公告出售臺灣海陸運輸 (股)公司集團子公司C、D、E、G、H Whale Corp. 聯合授信 案之不良債權
13,5880,合庫金,103/01/29,17:25:51,代子公司合作金庫人壽保險股份有限公司 公告監察人乙席異動事宜
14,5880,合庫金,103/02/05,19:33:17,代子公司合作金庫商業銀行公告 受金管會核處新臺幣400萬元處分案之說明
15,5880,合庫金,103/02/06,19:12:37,代子公司合作金庫保險經紀人股份有限公司公告 法人董事代表人異動
16,5880,合庫金,103/02/06,19:14:16,代子公司合作金庫人壽保險股份有限公司公告 董事異動及1/3以上董事發生變動。
17,5880,合庫金,103/02/07,17:21:08,代子公司合作金庫商業銀行公告103年1月份自結合併盈餘
18,5880,合庫金,103/02/10,17:38:54,公告本公司暨主要子公司103年1月份自結合併盈餘
19,5880,合庫金,103/02/17,18:06:22,代子公司合作金庫票券金融股份有限公司公告103年董事會 代行股東常會重要決議事項
20,5880,合庫金,103/02/17,18:07:23,代子公司合作金庫票券金融股份有限公司公告董事會決議 除息基準日
21,5880,合庫金,103/02/27,11:53:12,澄清蘋果日報103年2月27日報導
22,5880,合庫金,103/02/27,18:34:23,代子公司合庫巴黎證券投資信託股份有限公司公告 內部稽核主管異動
23,5880,合庫金,103/02/27,18:36:07,公告本公司法人股東財政部股權代表董事異動 及董事異動達三分之一以上。
24,5880,合庫金,103/02/27,18:37:34,代子公司合作金庫商業銀行(股)公司公告法人股東 合作金庫金融控股(股)公司股權代表董事異動事宜。
25,5880,合庫金,103/03/05,19:10:24,代子公司合作金庫商業銀行公告103年2月份自結合併盈餘
26,5880,合庫金,103/03/10,17:18:58,公告本公司暨主要子公司103年2月份自結合併盈餘
27,5880,合庫金,103/03/11,16:49:33,更正公告本公司暨主要子公司103年2月份自結合併盈餘
28,5880,合庫金,103/03/14,18:22:44,代子公司合庫巴黎證券投資信託股份有限公司公告 行銷長異動
29,5880,合庫金,103/03/14,18:24:40,代子公司合庫巴黎證券投資信託股份有限公司公告 內部稽核主管異動
30,5880,合庫金,103/03/17,17:36:45,代子公司合作金庫保險經紀人股份有限公司公告 董事會決議發放股利
31,5880,合庫金,103/03/18,18:36:40,代子公司合庫巴黎證券投資信託股份有限公司公告 董事會決議召開103年第1次股東臨時會
32,5880,合庫金,103/03/27,18:33:37,代子公司合作金庫證券股份有限公司公告代理發言人異動
33,5880,合庫金,103/03/27,18:34:19,代子公司合庫巴黎證券投資信託股份有限公司公告 董事會決議102年度不發放股利案
34,5880,合庫金,103/03/28,16:09:33,代子公司合作金庫商業銀行股份有限公司公告董事會決議 發放股利案。
35,5880,合庫金,103/03/28,16:14:00,公告召開本公司103年股東常會相關事宜。
36,5880,合庫金,103/03/28,16:17:07,公告本公司董事會決議通過子公司合作金庫資產管理 股份有限公司辦理盈餘轉增資發行新股。
37,5880,合庫金,103/03/28,16:20:52,董事會決議股利分派
38,5880,合庫金,103/03/28,16:24:32,"公告本公司董事會決議辦理資本公積轉增資43億713萬3,350元， 發行新股4億3,071萬3,335股。"
39,5880,合庫金,103/03/28,16:25:41,公告本公司內部稽核主管異動
40,5880,合庫金,103/03/28,18:33:26,代子公司合作金庫證券股份有限公司公告監察人異動
41,5880,合庫金,103/04/03,17:44:35,代子公司合作金庫商業銀行公告103年3月份自結合併盈餘
