,公司代號,公司名稱,發言日期,發言時間,主旨
0,5906,台南-KY,103/02/07,11:22:45,澄清103年2月7日工商時報B4版有關本公司之報導
1,5906,台南-KY,103/03/26,18:31:21,公告本公司董事會決議召開股東會相關事宜
2,5906,台南-KY,103/03/26,18:31:30,公告本公司董事會決議不配發股利
3,5906,台南-KY,103/03/31,13:43:28,公告本公司取得會計師內部控制專審報告
4,5906,台南-KY,103/05/15,16:32:46,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定辦理公告
5,5906,台南-KY,103/05/15,16:32:56,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定辦理公告
6,5906,台南-KY,103/06/27,13:39:34,公告本公司103年股東常會重要決議事項
7,5906,台南-KY,103/07/18,16:46:37,修正本公司102年度股東會年報資料
8,5906,台南-KY,103/08/12,17:03:23,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第三款規定辦理公告
9,5906,台南-KY,103/08/12,17:03:35,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定辦理公告
10,5906,台南-KY,103/08/12,17:03:46,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定辦理公告
11,5906,台南-KY,103/08/12,18:07:00,代子公司湯尼威爾(上海)服飾有限公司申報處分土地及未完工程
12,5906,台南-KY,103/09/01,17:25:24,(補充公告)代子公司湯尼威爾(上海)服飾有限公司申報處分 土地及未完工程
13,5906,台南-KY,103/12/31,15:31:25,代重要子公司湯尼威爾(上海)服飾有限公司公告總經理異動
