,公司代號,公司名稱,發言日期,發言時間,主旨
0,6024,群益期,108/01/07,17:33:36,公告本公司自行結算107年12月份獲利情形
1,6024,群益期,108/01/28,17:37:32,公告群益期貨董事會決議召開一○八年股東常會相關事宜
2,6024,群益期,108/02/14,18:22:30,公告本公司自行結算108年01月份獲利情形
3,6024,群益期,108/02/15,16:01:09,公告本公司自行結算108年01月份獲利情形修正發生緣由為108年度
4,6024,群益期,108/03/07,17:25:15,公告本公司自行結算108年02月份獲利情形
5,6024,群益期,108/03/27,16:45:53,群益期貨董事會通過每股3.4元現金股利。
6,6024,群益期,108/04/03,17:59:48,公告本公司自行結算108年03月份獲利情形
7,6024,群益期,108/05/07,16:28:29,公告本公司自行結算108年04月份獲利情形
8,6024,群益期,108/05/08,12:47:05,澄清有關大眾媒體報導
9,6024,群益期,108/05/08,15:59:30,澄清有關大眾媒體報導
10,6024,群益期,108/05/30,13:41:07,公告群益期108年股東常會重要決議事項
11,6024,群益期,108/06/03,16:29:47,公告群益期訂定除息基準日
12,6024,群益期,108/06/06,18:02:40,群益期代子公司群益期貨(香港)公告 董事會決議不分派股利
13,6024,群益期,108/06/06,18:03:58,群益期代子公司群益期貨(香港)公告 召開2019年周年股東大會相關事宜
14,6024,群益期,108/06/06,18:05:02,公告本公司自行結算108年05月份獲利情形
15,6024,群益期,108/06/28,13:32:09,群益期代子公司群益期貨(香港)公告 2019年周年股東大會重要決議事項
16,6024,群益期,108/07/08,14:59:49,公告本公司自行結算108年06月份獲利情形
17,6024,群益期,108/08/07,17:27:03,公告本公司自行結算108年07月份獲利情形
18,6024,群益期,108/08/07,17:28:12,群益期代子公司群益期貨(香港)公告 會計主管異動
19,6024,群益期,108/09/02,15:32:51,群益期代子公司群益期貨(香港)公告 會計主管異動
20,6024,群益期,108/09/06,18:08:34,公告本公司自行結算108年08月份獲利情形
21,6024,群益期,108/10/05,17:46:45,公告本公司自行結算108年09月份獲利情形
22,6024,群益期,108/10/31,15:37:21,群益期代子公司群益期貨(香港)公告 會計主管異動
23,6024,群益期,108/11/07,18:15:42,公告本公司自行結算108年10月份獲利情形
24,6024,群益期,108/11/08,18:29:18,群益期代子公司群益期貨(香港)公告 會計主管異動
25,6024,群益期,108/11/15,13:46:42,群益期代子公司群益期貨(香港)公告 會計主管異動
26,6024,群益期,108/11/18,18:40:56,群益期貨108年法人說明會。
27,6024,群益期,108/11/28,18:05:12,公告群益期貨董事會決議辦理現金增資
28,6024,群益期,108/12/06,18:35:09,公告本公司自行結算108年11月份獲利情形
29,6024,群益期,108/12/31,13:49:02,公告群益期貨獨立董事辭職
30,6024,群益期,108/12/31,13:49:46,公告群益期貨審計委員會及薪資報酬委員會委員辭職
