,公司代號,公司名稱,發言日期,發言時間,主旨
0,6120,達運,105/01/28,14:56:10,本公司董事會決議召開一○五年度股東常會
1,6120,達運,105/01/28,14:56:28,公告本公司董事會通過捐贈事宜
2,6120,達運,105/03/01,15:40:54,公告本公司董事會決議第六次買回庫藏股
3,6120,達運,105/03/25,17:48:08,公告本公司第六次買回庫藏股份數量累積達公司已發行股份總數 百分之二
4,6120,達運,105/04/18,15:55:02,公告本公司第六次買回庫藏股之金額累積達新台幣三億元以上
5,6120,達運,105/04/21,15:19:45,本公司董事會決議召開一○五年度股東常會(增訂報告事項)
6,6120,達運,105/04/21,15:20:03,董事會決議股利分派
7,6120,達運,105/04/21,15:20:20,代子公司達運廈門公告資金貸與金額達公告標準
8,6120,達運,105/04/22,18:27:20,公告本公司第六次買回庫藏股份數量累積達公司已發行股份總數 百分之四
9,6120,達運,105/04/22,18:28:13,代子公司達運廈門公告資金貸與金額達公告標準更正資本累積盈虧
10,6120,達運,105/04/29,17:04:29,公告本公司第六次庫藏股買回期間屆滿申報
11,6120,達運,105/06/07,18:43:15,公告本公司105年股東常會重大決議事項
12,6120,達運,105/06/07,18:44:05,公告本公司105年現金股利配息基準日
13,6120,達運,105/06/07,18:44:43,公告本公司董事會訂定第六次庫藏股註銷減資基準日
14,6120,達運,105/06/07,19:05:31,公告本公司董事會決議第七次買回庫藏股
15,6120,達運,105/06/14,15:12:57,更正公告本公司董事會決議第七次買回庫藏股之買回期間截止日
16,6120,達運,105/06/21,17:25:51,公告本公司105年現金股利配息率
17,6120,達運,105/06/24,08:42:22,公告本公司大雅廠二廠1F電鍍室火災對財務、業務無重大影響
18,6120,達運,105/06/30,18:10:49,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
19,6120,達運,105/07/18,17:00:13,公告本公司第七次買回庫藏股份數量累積達公司已發行股份總數 百分之二
20,6120,達運,105/08/01,16:55:32,公告本公司第七次買回庫藏股份數量累積達公司已發行股份總數 百分之四
21,6120,達運,105/08/05,14:17:09,公告本公司第七次庫藏股買回期間屆滿申報
22,6120,達運,105/11/10,16:42:57,公告本公司董事會訂定第七次庫藏股註銷減資基準日
23,6120,達運,105/11/24,15:15:56,公告本公司辦理第七次庫藏股註銷完成實收資本額變更登記事宜
