,公司代號,公司名稱,發言日期,發言時間,主旨
0,6128,上福,105/01/25,15:45:35,公告本公司新任重要營運主管
1,6128,上福,105/03/14,14:40:50,本公司董事會決議召開105年股東常會公告
2,6128,上福,105/03/14,14:41:12,代重要子公司久福興業(股)公司公告104年度虧損撥補案
3,6128,上福,105/03/14,14:46:33,董事會決議股利分派
4,6128,上福,105/04/08,17:07:17,本公司受邀參加台灣證券交易所主辦之上市公司業績發表會，會中介紹本公司財務營運概況。
5,6128,上福,105/04/27,15:59:02,修正本公司104年度個體財務報告暨合併財務報告之部分資訊
6,6128,上福,105/05/06,14:05:42,公告本公司發言人及代理發言人異動
7,6128,上福,105/05/20,16:34:28,修正本公司104年度個體財務報告暨合併財務報告之部分資訊
8,6128,上福,105/05/20,16:35:40,更正公告本公司104年度年報資料
9,6128,上福,105/06/02,13:37:20,一○五年股東常會重要決議事項公告
10,6128,上福,105/06/02,16:20:15,本公司股東會通過解除新任董事競業禁止之限制案
11,6128,上福,105/06/02,17:27:58,公告本公司105年股東常會全面改選董事及監察人當選名單
12,6128,上福,105/06/16,15:45:18,公告本公司董事會決議除息基準日
13,6128,上福,105/06/16,15:45:46,公告本公司董事會決議委任第三屆薪資報酬委員會成員
14,6128,上福,105/06/16,15:46:27,"本公司董事會決議清算子公司GENERAL PLASTIC INDUSTRIAL (CAMBODIA) CO., LTD"
15,6128,上福,105/07/05,14:46:41,公告本公司董事會決議第二次買回本公司股份
16,6128,上福,105/07/20,16:12:20,公告本公司第二次買回庫藏股份數量達公司已發行股份總數百分之 二
17,6128,上福,105/08/02,15:16:43,公告本公司第二次買回本公司股份執行完畢
18,6128,上福,105/08/22,14:33:00,修正本公司105年第二季XBRL合併資產負債表部份資訊
19,6128,上福,105/11/07,14:23:47,公告本公司董事會決議訂定庫藏股份註銷之減資基準日
20,6128,上福,105/11/24,14:58:23,公告本公司辦理註銷庫藏股減資變更登記完成
