,公司代號,公司名稱,發言日期,發言時間,主旨
0,6136,富爾特,104/03/25,13:59:21,公告董事會決議召開104年股東常會相關事宜
1,6136,富爾特,104/03/25,14:00:27,公告本公司董事會通過一○三年度財務報表
2,6136,富爾特,104/03/25,14:05:38,董事會決議股利分派
3,6136,富爾特,104/05/06,14:23:00,公告本公司民國一Ｏ四年度第一季合併財務報表
4,6136,富爾特,104/06/16,14:10:07,公告本公司一Ｏ四年股東常會重要決議
5,6136,富爾特,104/06/16,14:11:21,公告本公司一Ｏ四年股東常會董事選舉結果(含獨立董事)
6,6136,富爾特,104/06/16,14:11:46,公告本公司一Ｏ四年股東常會監察人選舉結果
7,6136,富爾特,104/06/16,14:12:14,公告本公司第二屆薪資報酬委員會委員任期屆滿
8,6136,富爾特,104/06/16,14:12:49,本公司股東會決議通過解除董事競業限制案
9,6136,富爾特,104/06/24,14:44:24,公告本公司訂定除息基準日之相關事宜
10,6136,富爾特,104/06/24,14:44:55,公告本公司改選董事長
11,6136,富爾特,104/06/24,14:48:21,公告本公司總經理變動
12,6136,富爾特,104/06/24,14:48:37,董事會決議委任第三屆薪資報酬委員會成員
13,6136,富爾特,104/06/24,14:48:54,公告本公司董事長兼任事業部總經理
14,6136,富爾特,104/06/30,15:01:23,公告本公司處分大聯大投資控股股份有限公司證券之相關資訊
15,6136,富爾特,104/08/06,14:48:01,公告認列大聯大投資控股(股)公司之股利收入
16,6136,富爾特,104/08/12,15:10:42,公告本公司董事會通過一Ｏ四年累計至第二季合併財務報表
17,6136,富爾特,104/11/11,14:33:56,公告本公司董事會通過一Ｏ四年累計至第三季合併財務報表
18,6136,富爾特,104/12/18,16:49:58,公告本公司減少與主要供應商中華電信(股)行動通信分公司之 部份業務往來
19,6136,富爾特,104/12/30,14:34:08,公告本公司通信服務事業部總經理申請退休
