,公司代號,公司名稱,發言日期,發言時間,主旨
0,6139,亞翔,103/02/26,16:39:53,代重要子公司-榮工工程公告-董事會召開股東會
1,6139,亞翔,103/02/26,16:40:11,代重要子公司-榮工工程公告-董事會決議分配股利
2,6139,亞翔,103/02/27,16:25:45,本公司薪酬委員會委員異動
3,6139,亞翔,103/02/27,16:30:09,本公司間接對大陸子公司-成都翔生實業有限公司增資案
4,6139,亞翔,103/03/12,16:43:59,董事會召開103年股東常會
5,6139,亞翔,103/03/12,16:44:48,本公司103/03/12董事會重要決議內容
6,6139,亞翔,103/03/12,16:49:54,董事會決議股利分派
7,6139,亞翔,103/03/12,16:52:45,符合『資金貸與及背書保證處理準則』第25條第一項第四款 公告-為子公司背書保證額度展期
8,6139,亞翔,103/03/26,17:07:42,代子公司亞翔系統集成科技(蘇州)股份有限公司 公告董事會決議分配股利
9,6139,亞翔,103/03/26,17:07:55,代子公司亞翔系統集成科技(蘇州)股份有限公司 公告董事會決議召開2013年度股東會
10,6139,亞翔,103/04/15,16:23:30,代子公司亞翔系統集成科技(蘇州)股份有限公司 公告103年股東常會重要決議
11,6139,亞翔,103/05/14,11:17:21,"代子公司亞翔(越南) L&K Engineering Vietnam Co., Ltd公告"
12,6139,亞翔,103/05/15,16:56:11,代子公司榮工工程股份有限公司公告-本公司董事人事異動
13,6139,亞翔,103/05/23,08:26:28,代子公司榮工工程(股)公司公告參與榮工建築工程 (重慶)(有)公司現金增資預計美金1仟萬元
14,6139,亞翔,103/05/30,17:23:23,公告本公司103年股東常會重要議案決議事項
15,6139,亞翔,103/05/30,17:24:19,代子公司榮工工程(股)公告103年股東常會重要議案決議事項
16,6139,亞翔,103/05/30,17:24:57,代子公司公告-榮工工程(股)公司-本公司監察人異動事宜
17,6139,亞翔,103/05/30,17:25:25,代子公司-榮工工程(股)公司公告股利配發基準日
18,6139,亞翔,103/06/16,16:23:48,公告102年度現金股息分派基準日及發放日
19,6139,亞翔,103/07/01,16:23:06,代子公司榮工工程股份有限公司公告 本公司董事人事異動
20,6139,亞翔,103/07/02,17:07:56,本公司國內第二次有擔保轉換公司債調整轉換價格公告
21,6139,亞翔,103/07/21,16:59:34,本公司代曾孫公司翔生投資有限公司對孫公司 翔生實業有限公司背書保證公告。
22,6139,亞翔,103/08/01,15:19:14,代子公司榮工工程股份有限公司公告 本公司董事人事異動
23,6139,亞翔,103/08/08,16:14:47,代子公司榮工工程股份有限公司公告 本公司董事人事異動
24,6139,亞翔,103/08/11,16:37:56,符合『資金貸與及背書保證處理準則』第25條第一項第四款 公告-為子公司背書保證額度展期
25,6139,亞翔,103/10/30,16:13:46,代子公司榮工工程股份有限公司公告取得土地一批。
26,6139,亞翔,103/12/19,19:32:53,本公司符合資金貸與及背書保證處理準則第二十五條 第一項第四款公告
27,6139,亞翔,103/12/19,19:33:18,公告本公司總經理人事異動
28,6139,亞翔,103/12/19,19:37:57,代子公司榮工工程股份有限公司公告 法人董事改派代表人
