,公司代號,公司名稱,發言日期,發言時間,主旨
0,6166,凌華,107/02/23,13:48:52,公告本公司將於107年3月8日召開法人說明會
1,6166,凌華,107/03/08,16:49:39,公告本公司法人說明會之財務與業務資訊
2,6166,凌華,107/03/08,16:58:56,董事會決議召開107年股東常會相關事宜
3,6166,凌華,107/03/08,17:01:32,董事會決議股利分派
4,6166,凌華,107/04/26,18:09:12,補充公告本公司董事會決議召開107年股東常會事宜 (增列討論議案)
5,6166,凌華,107/04/26,18:09:33,本公司董事會決議辦理私募普通股或私募海外或國內可轉換公司債
6,6166,凌華,107/04/26,18:09:48,公告本公司107年度第一季財務報告
7,6166,凌華,107/06/01,13:41:52,公告本公司營運長退休
8,6166,凌華,107/06/13,15:36:35,公告本公司107年股東常會重要決議事項
9,6166,凌華,107/06/26,17:35:44,公告本公司董事會決議訂定現金股利除息基準日及發放日
10,6166,凌華,107/07/23,15:41:26,公告本公司將於107年7月26日召開法人說明會
11,6166,凌華,107/07/27,10:40:57,公告本公司第二季之財務與業務資訊
12,6166,凌華,107/09/05,10:41:27,澄清107/09/05經濟日報C4版之新聞內容
13,6166,凌華,107/10/04,17:48:01,更正本公司法說會日期
14,6166,凌華,107/10/25,17:43:26,公告本公司107年度第三季財務報告
15,6166,凌華,107/12/19,17:16:03,更正107年10月份背書保證明細表資訊
