,公司代號,公司名稱,發言日期,發言時間,主旨
0,6184,大豐電,100/02/16,08:28:13,委任投信公司進行金融商品全權委託投資
1,6184,大豐電,100/02/16,08:28:39,公告本公司總經理請辭，由董事長兼任總經理。
2,6184,大豐電,100/02/25,14:02:11,公告本公司發言人變更事宜
3,6184,大豐電,100/03/02,17:21:04,公告本公司簽訂之重要契約
4,6184,大豐電,100/03/14,11:32:56,公告100/03/11日本強震對本公司財務及業務並無重大影響
5,6184,大豐電,100/03/18,08:27:19,公告董事會決議召開100年股東常會相關事宜
6,6184,大豐電,100/03/18,08:27:38,本公司董事會決議通過發放股利事宜
7,6184,大豐電,100/03/18,08:27:58,本公司董事會決議盈餘轉增資發行新股事宜
8,6184,大豐電,100/04/29,13:57:08,公告本公司代理發言人變更事宜
9,6184,大豐電,100/04/29,13:57:39,公告本公司法人董事改派代表人
10,6184,大豐電,100/06/10,16:35:11,公告100年股東常會重要決議事項
11,6184,大豐電,100/06/10,16:36:41,公告本公司董事會決議訂定100年除息基準日相關事宜
12,6184,大豐電,100/06/21,19:48:04,更正公告本公司募集與發行有價證券依公司法第252條及 273條暨有價證券交付或發放股利前辦理之公告
13,6184,大豐電,100/07/21,16:35:31,更正本公司99年度年報資料
14,6184,大豐電,100/08/24,08:33:00,公告本公司董事會決議訂定100年除權基準日相關事宜
15,6184,大豐電,100/12/01,18:05:52,公告本公司取得「復華高益策略組合基金」及「第一金全球 高收益債券基金(A)」之訊息
16,6184,大豐電,100/12/02,19:43:34,公告本公司取得復華高益策略組合基金
17,6184,大豐電,100/12/02,19:43:58,公告本公司取得第一金全球高收益債券基金(A)
18,6184,大豐電,100/12/20,08:30:04,公告本公司董事會決議成立薪資報酬委員會
