,公司代號,公司名稱,發言日期,發言時間,主旨
0,6189,豐藝,109/03/17,15:37:08,董事會決議召開109年股東常會
1,6189,豐藝,109/03/17,15:37:25,董事會決議股利分派
2,6189,豐藝,109/03/31,16:51:14,更正本公司108年第4季IFRSs iXBRL財務報表申報資訊
3,6189,豐藝,109/04/09,17:48:20,關係人交易申報數與會計師查核（核閱）數差異
4,6189,豐藝,109/05/12,13:54:12,公告本公司設置公司治理主管
5,6189,豐藝,109/05/18,16:00:05,公告本公司國內第三次無擔保轉換公司債代收債款及專戶存儲行庫
6,6189,豐藝,109/06/04,14:07:54,公告本公司發行國內第三次無擔保轉換公司債募集完成
7,6189,豐藝,109/06/15,13:33:10,本公司擬參與富經行(股)公司增資案及購入股權案
8,6189,豐藝,109/06/15,14:01:16,本公司一○九年股東常會重要決議
9,6189,豐藝,109/06/15,14:02:51,董事會決議股利配發基準日
10,6189,豐藝,109/08/12,16:33:14,更正本公司109年6月關係人應收帳款申報數資訊
11,6189,豐藝,109/08/28,13:48:39,本公司受邀參加臺灣證券交易所及寬量國際共同主辦之線上法說會「8th Taiwan CEO Week on Air」
