,公司代號,公司名稱,發言日期,發言時間,主旨
0,6191,精成科,105/01/14,18:46:36,代子公司昆山元崧電子科技有限公司公告累計取得有價證券 達公告標準
1,6191,精成科,105/01/15,13:36:48,代子公司川億電腦(深圳)有限公司公告累計取得或處分有價證券 達公告標準
2,6191,精成科,105/01/26,11:48:53,代子公司昆山元崧電子科技有限公司公告累計取得及處分有價 證券達公告標準
3,6191,精成科,105/01/28,16:50:18,代子公司川億電腦(重慶)有限公司公告董事會通過自地委建 取得不動產
4,6191,精成科,105/01/28,16:50:38,代子公司川億電腦(重慶)有限公司公告董事會通過取得不動產
5,6191,精成科,105/01/28,16:50:56,代本公司之孫公司川億電腦(深圳)有限公司公告新增資金貸與 達新台幣一千萬以上且達最近期財務報表淨值百分之二以上。
6,6191,精成科,105/01/28,16:51:13,代本公司之子公司Dynamic Skyline Ltd.公告，新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值2% 以上，並對單一企業資金貸與達財務報表淨值10%以上。
7,6191,精成科,105/01/29,17:49:31,代子公司東莞翔成電子科技有限公司公告累計取得及處分有價 證券達公告標準
8,6191,精成科,105/02/04,17:13:47,代子公司川億電腦(重慶)有限公司公告累計取得及處分有價證券 達公告標準
9,6191,精成科,105/02/15,18:04:45,代子公司川億電腦(重慶)有限公司公告累計取得有價證券達公告 標準
10,6191,精成科,105/02/15,18:05:02,代子公司川億電腦(重慶)有限公司公告累計處分有價證券達公告 標準
11,6191,精成科,105/02/16,18:21:55,代子公司怡寬電子(深圳)有限公司公告累計取得及處分有價證券 達公告標準
12,6191,精成科,105/02/24,18:14:36,公告本公司董事會通過104年度員工酬勞及董監事酬勞案
13,6191,精成科,105/02/24,18:14:49,公告本公司董事會通過104年度個體財務報告及合併財務報告
14,6191,精成科,105/02/24,18:15:01,董事會決議股利分派情形
15,6191,精成科,105/02/24,18:15:16,公告董事會決議買回本公司股份
16,6191,精成科,105/02/24,18:15:28,公告本公司董事會決議召開民國105年股東常會召集事宜
17,6191,精成科,105/02/24,18:15:42,公告本公司財務主管、會計主管、代理發言人異動
18,6191,精成科,105/02/24,18:15:55,公告本公司法人董事改派代表人
19,6191,精成科,105/02/24,18:16:07,代重要子公司精成科技電子(東莞)有限公司公告法定代表人異動
20,6191,精成科,105/02/24,18:16:21,代本公司之子公司UP FIRST INVESTMENTS LTD.公告，新增資金 貸與金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
21,6191,精成科,105/02/24,18:16:34,公告本公司新增背書保證達新臺幣三千萬元以上且達最近期 財務報表淨值5%以上。
22,6191,精成科,105/03/03,18:07:32,代子公司川億電腦(重慶)有限公司公告累計處分有價證券達 公告標準
23,6191,精成科,105/03/07,16:36:39,代子公司川億電腦(深圳)有限公司公告累計取得或處分有價證 達公告標準
24,6191,精成科,105/03/09,17:39:48,代子公司川億電腦(重慶)有限公司公告累計取得有價證券達公告 標準
25,6191,精成科,105/03/14,17:34:41,公告買回本公司股份已執行完畢
26,6191,精成科,105/03/21,16:32:04,代子公司東莞裕嘉電子科技有限公司公告累計取得及處分有價 證券達公告標準
27,6191,精成科,105/03/30,18:11:00,代子公司昆山元崧電子科技有限公司公告累計取得及處分有價 證券達公告標準
28,6191,精成科,105/04/06,18:17:19,代子公司川億電腦(重慶)有限公司公告累計處分有價證券達公告 標準
29,6191,精成科,105/04/06,18:17:37,代子公司川億電腦(重慶)有限公司公告累計處分有價證券達公告 標準
30,6191,精成科,105/04/07,17:33:22,代子公司川億電腦(深圳)有限公司公告累計取得及處分有價證券 達公告標準
31,6191,精成科,105/04/11,18:09:27,代子公司川億電腦(深圳)有限公司公告累計取得有價證券達公告 標準
32,6191,精成科,105/04/12,17:40:25,代子公司川億電腦(深圳)有限公司公告累計處分有價證券達公告 標準
33,6191,精成科,105/04/12,17:40:43,代子公司川億電腦(深圳)有限公司公告累計取得及處分有價證券 達公告標準
34,6191,精成科,105/04/20,17:32:08,代子公司川億電腦(深圳)有限公司公告累計取得或處分有價證券 達公告標準
35,6191,精成科,105/04/27,17:31:26,公告本公司董事會通過105年第1季合併財務報告
36,6191,精成科,105/04/27,17:31:42,公告董事會決議買回本公司股份
37,6191,精成科,105/04/27,17:31:58,補充公告本公司董事會決議召開民國105年股東常會召集事由
38,6191,精成科,105/04/27,17:32:14,公告本公司新增背書保證達新臺幣三千萬元以上且達最近期 財務報表淨值5%以上。
39,6191,精成科,105/05/03,17:55:49,代子公司東莞翔成電子科技有限公司公告累計取得及處分有價 證券達公告標準
40,6191,精成科,105/05/03,17:56:11,代子公司昆山元崧電子科技有限公司公告累計處分有價證券達 公告標準
41,6191,精成科,105/05/09,17:47:20,代子公司東莞瑞升電子有限公司公告累計取得及處分有價證券達 公告標準
42,6191,精成科,105/05/10,18:17:20,代子公司川億電腦(深圳)有限公司公告累計取得及處分有價證券 達公告標準
43,6191,精成科,105/05/16,17:17:03,代子公司怡寬電子(深圳)有限公司公告累計取得及處分有價證券 達公告標準
44,6191,精成科,105/05/19,17:35:28,代子公司川億電腦(深圳)有限公司公告累計取得或處分有價證券 達公告標準
45,6191,精成科,105/05/24,17:29:37,代子公司怡寬電子(深圳)有限公司公告累計取得或處分有價證券 達公告標準
46,6191,精成科,105/05/27,17:21:03,代子公司川億電腦(深圳)有限公司公告累計取得或處分有價證券 達公告標準
47,6191,精成科,105/05/30,16:53:40,代子公司川億電腦(深圳)有限公司公告累計處分有價證券達公告 標準
48,6191,精成科,105/06/07,17:51:11,代子公司川億電腦(深圳)有限公司公告累計處分有價證券達公告 標準
49,6191,精成科,105/06/08,17:22:34,代子公司川億電腦(深圳)有限公司公告累計取得及處分有價證券 達公告標準
50,6191,精成科,105/06/15,16:51:28,代子公司川億電腦(深圳)有限公司公告累計處分有價證券達公告 標準
51,6191,精成科,105/06/17,15:37:09,公告本公司105年股東常會重要決議事項
52,6191,精成科,105/06/17,15:37:27,公告本公司105年股東常會決議解除董事競業禁止限制
53,6191,精成科,105/06/17,15:44:24,公告買回本公司股份已執行完畢
54,6191,精成科,105/06/28,14:55:48,代子公司川億電腦(深圳)有限公司公告累計處分有價證券達公告 標準
55,6191,精成科,105/07/06,17:11:38,代子公司東莞翔成電子科技有限公司公告累計取得及處分有價 證券達公告標準
56,6191,精成科,105/07/14,17:07:39,代子公司昆山元崧電子科技有限公司公告累計取得有價證券達 公告標準
57,6191,精成科,105/07/25,17:14:21,代子公司昆山元茂電子科技有限公司公告累計取得及處分有價 證券達公告標準
58,6191,精成科,105/07/28,17:32:55,公告本公司董事會通過105年第2季合併財務報告
59,6191,精成科,105/07/28,17:33:11,代本公司之子公司UP FIRST INVESTMENTS LTD.公告，新增資金 貸與金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
60,6191,精成科,105/07/28,17:33:26,公告本公司新增背書保證達新臺幣三千萬元以上且達最近期財務 報表淨值5%以上。
61,6191,精成科,105/07/28,17:33:45,公告本公司新增背書保證達新臺幣三千萬元以上且達最近期財務 報表淨值5%以上。
62,6191,精成科,105/07/28,17:34:00,公告本公司新增背書保證達新臺幣三千萬元以上且達最近期 財務報表淨值5%以上。
63,6191,精成科,105/07/29,14:28:36,代子公司川億電腦(深圳)有限公司公告累計取得及處分 有價證券達公告標準
64,6191,精成科,105/08/23,15:54:22,代子公司怡寬電子(深圳)有限公司公告累計取得 及處分有價證券達公告標準
65,6191,精成科,105/08/29,17:34:51,代子公司東莞瑞升電子有限公司公告累計取得及處分有價證券 達公告標準
66,6191,精成科,105/08/31,17:03:56,公告本公司獨立董事異動
67,6191,精成科,105/08/31,17:04:13,代子公司川億電腦(深圳)有限公司公告累計取得及處分有價證券 達公告標準
68,6191,精成科,105/08/31,17:04:30,代子公司昆山元崧電子科技有限公司公告累計取得及處分有價 證券達公告標準
69,6191,精成科,105/09/05,17:20:52,公告董事會決議買回本公司股份
70,6191,精成科,105/09/05,17:21:10,本公司擬於安徽蕪湖地區轉投資設立EMS廠公告
71,6191,精成科,105/09/05,17:21:34,代子公司東莞翔成電子科技有限公司公告累計取得及處分有價 證券達公告標準
72,6191,精成科,105/10/21,16:47:33,公告買回本公司股份已執行完畢
73,6191,精成科,105/10/21,16:47:56,公告本公司舉辦法人說明會相關資訊
74,6191,精成科,105/10/26,17:01:27,代本公司之孫公司川億電腦(深圳)有限公司公告新增資金貸與 達新台幣一千萬以上且達最近期財務報表淨值百分之二以上
75,6191,精成科,105/10/26,17:01:45,代本公司之子公司Dynamic Skyline Ltd.公告，新增資金貸與 金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上
76,6191,精成科,105/10/26,17:02:38,公告本公司董事會通過105年第3季合併財務報告
77,6191,精成科,105/11/01,17:37:55,代子公司昆山元崧電子科技有限公司公告累計處分有價證券達 公告標準
78,6191,精成科,105/11/08,16:31:56,代子公司怡寬電子(深圳)有限公司公告累計取得及處分有價證券 達公告標準
79,6191,精成科,105/12/07,17:23:32,代子公司川億電腦(深圳)有限公司公告累計取得及處分有價證券 達公告標準
80,6191,精成科,105/12/13,17:18:12,代子公司怡寬電子(深圳)有限公司公告累計取得及處分有價證券 達公告標準
81,6191,精成科,105/12/15,17:25:37,公告本公司董事會推選副董事長
82,6191,精成科,105/12/15,17:25:53,公告本公司總經理異動事宜
83,6191,精成科,105/12/15,17:26:21,公告本公司發言人異動
84,6191,精成科,105/12/15,17:26:47,公告董事會決議買回本公司股份
85,6191,精成科,105/12/15,17:27:01,代本公司之孫公司川億電腦(深圳)有限公司公告新增資金貸與 達新台幣一千萬以上且達最近期財務報表淨值百分之二以上。
86,6191,精成科,105/12/29,17:24:03,代子公司東莞瑞升電子有限公司公告累計取得及處分有價證券 達公告標準
