,公司代號,公司名稱,發言日期,發言時間,主旨
0,6209,今國光,108/03/27,16:28:27,董事會決議召開一０八年股東常會相關事宜
1,6209,今國光,108/03/27,16:35:09,董事會決議股利分派
2,6209,今國光,108/06/18,13:58:00,公告本公司董事會推舉陳慶棋先生續任董事長
3,6209,今國光,108/06/18,13:58:56,公告本公司108年股東常會改選董事及監察人
4,6209,今國光,108/06/18,13:59:21,公告本公司第三屆薪資報酬委員會任期屆滿
5,6209,今國光,108/06/18,13:59:40,公告本公司一０八年股東常會重要決議事項
6,6209,今國光,108/06/18,14:00:00,公告本公司108年股東常會解除董事之競業禁止事宜
7,6209,今國光,108/07/02,11:00:35,更正子公司正國光學香港有限公司之背書保證訊息
8,6209,今國光,108/08/08,16:52:46,公告本公司第四屆薪資報酬委員會新任委員姓名、經歷及任期
9,6209,今國光,108/11/06,17:23:53,依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款公告
10,6209,今國光,108/11/11,14:23:06,本公司受邀參加華南永昌綜合證券舉辦之法人說明會
