,公司代號,公司名稱,發言日期,發言時間,主旨
0,6213,聯茂,102/01/07,15:40:32,本公司民國101年12月份集團營收新台幣14.9億元 ， 全年集團累計營收新台幣192.6億元
1,6213,聯茂,102/01/09,17:40:03,公告本公司與穩懋半導體股份有限公司簽訂租賃合約
2,6213,聯茂,102/01/16,15:22:07,更正101年12月本公司對子公司IIL期末背書保證餘額誤植
3,6213,聯茂,102/01/22,15:47:17,澄清媒體經濟日報1月22日 報導「聯茂 砸40億攻高階CCL」乙則
4,6213,聯茂,102/01/31,20:04:05,公告本公司101年度自結損益， 合併稅前EPS新台幣4.64元
5,6213,聯茂,102/02/05,08:38:57,本公司民國102年1月份集團營收新台幣17.5億元 ， 全年集團累計營收新台幣17.5億元
6,6213,聯茂,102/03/05,16:38:56,本公司民國102年2月份集團營收新台幣14.9億元 ， 全年集團累計營收新台幣32.4億元
7,6213,聯茂,102/03/19,17:01:45,更正102年1月及2月資金貸與他人餘額誤植
8,6213,聯茂,102/03/22,18:12:51,本公司董事會決議102年股東常會召開事宜
9,6213,聯茂,102/03/22,18:13:29,公告本公司第六屆第五次董事會重要決議
10,6213,聯茂,102/03/22,18:22:41,本公司董事會決議股利分派
11,6213,聯茂,102/03/27,14:54:59,公告南投地震對本公司財務及業務無影響
12,6213,聯茂,102/03/28,14:38:46,補充101年度財務報告及合併財務報告 附表五應收關係人款項之期後收回金額
13,6213,聯茂,102/04/03,16:37:37,本公司民國102年3月份集團營收新台幣17.6億元 ， 全年集團累計營收新台幣50.0億元
14,6213,聯茂,102/04/08,15:16:02,公告本公司與第一銀行等5家銀行簽訂5年期新台幣20億元 之聯貸合約。
15,6213,聯茂,102/04/19,15:20:37,補正本公司102年1月關係人交易明細資訊
16,6213,聯茂,102/04/30,18:40:07,公告本公司102年第一季自結損益， 合併稅前EPS新台幣1.15元
17,6213,聯茂,102/05/03,18:05:40,公告本公司第六屆第六次董事會重要決議
18,6213,聯茂,102/05/03,18:08:36,本公司董事會決議新增102年股東常會召集事由
19,6213,聯茂,102/05/06,16:16:07,本公司民國102年4月份集團營收新台幣17.6億元 ， 全年集團累計營收新台幣67.6億元
20,6213,聯茂,102/06/06,08:32:13,本公司民國102年5月份集團營收新台幣15.8億元 ， 全年集團累計營收新台幣83.4億元
21,6213,聯茂,102/06/14,17:24:21,本公司102年股東常會重要決議事項
22,6213,聯茂,102/06/14,17:28:04,董事會決議102年配息基準日(2.5元/股)
23,6213,聯茂,102/07/08,17:21:38,本公司民國102年6月份集團營收新台幣15.4億元 ， 全年集團累計營收新台幣98.8億元
24,6213,聯茂,102/07/24,17:48:21,公告本公司102年上半年度自結損益， 合併稅前EPS新台幣2.35元
25,6213,聯茂,102/08/07,15:32:41,本公司民國102年7月份集團營收新台幣16.1億元 ， 全年集團累計營收新台幣114.8億元
26,6213,聯茂,102/08/12,12:26:31,第二季所得稅費用差異說明
27,6213,聯茂,102/08/19,12:20:40,更正102年第二季財務報告公告之資產負債表之中， 預收股款(權益項下)之約當發行股數誤植，正確應為0
28,6213,聯茂,102/09/05,16:06:53,本公司民國102年8月份集團營收新台幣17.3億元 ， 全年集團累計營收新台幣132.1億元
29,6213,聯茂,102/10/07,13:56:33,本公司民國102年9月份集團營收新台幣16.9億元， 全年集團累計營收新台幣149.1億元
30,6213,聯茂,102/10/09,17:13:51,對子公司(廣州聯茂)資金貸與餘額達公司最近期財務報表淨值 10%以上
31,6213,聯茂,102/10/09,17:14:46,代子公司(IIL)新增資金貸與金額達新台幣一千萬元以上 且達公司最近期財務報表淨值2%以上
32,6213,聯茂,102/10/18,08:52:57,公告本公司102年前三季自結損益， 合併稅前EPS新台幣3.60元
33,6213,聯茂,102/10/30,14:40:22,代子公司更正102年8月及9月資金貸與他人及背書保證限額
34,6213,聯茂,102/11/07,14:48:21,本公司民國102年10月份集團營收新台幣15.9億元， 全年集團累計營收新台幣164.9億元
35,6213,聯茂,102/12/04,13:45:31,本公司民國102年11月份集團營收新台幣15.9億元， 全年集團累計營收新台幣180.8億元
