,公司代號,公司名稱,發言日期,發言時間,主旨
0,6215,和椿,109/01/14,17:15:51,公告本公司召開109年股東常會相關事宜
1,6215,和椿,109/01/14,17:28:11,公告本公司重要營運主管異動
2,6215,和椿,109/01/30,16:48:04,公告武漢肺炎對本公司及大陸子公司財務及業務無重大影響
3,6215,和椿,109/01/31,17:09:24,公告本公司對子公司資金貸與金額達公開發行公司資金貸與 及背書保證處理準則第二十二條第一項第二款規定標準
4,6215,和椿,109/02/10,17:11:38,公告大陸子公司春節復工日期延後
5,6215,和椿,109/02/17,15:38:48,公告大陸子公司春節復工
6,6215,和椿,109/02/19,15:39:36,公告本公司代理發言人異動
7,6215,和椿,109/03/20,17:16:49,董事會決議股利分派
8,6215,和椿,109/03/20,17:21:02,公告本公司董事會通過108年度員工及董監事酬勞分派
9,6215,和椿,109/03/20,17:46:17,本公司對子公司背書保證金額達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第三、四款規定公告
10,6215,和椿,109/03/20,17:54:07,公告本公司對子公司資金貸與金額達公開發行公司資金貸與及背書 保證處理準則第二十二條第一項第二款規定標準
11,6215,和椿,109/05/05,17:45:57,公告本公司對子公司「和椿自動化(上海)有限公司」資金貸與 金額達公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第二、三款規定標準
12,6215,和椿,109/06/11,15:28:24,本公司一○九年股東常會重要決議事項
13,6215,和椿,109/06/11,18:21:48,本公司109年股東常會改選董事(含獨立董事)當選名單
14,6215,和椿,109/06/11,18:36:07,本公司一○九年股東常會通過解除董事競業禁止之限制案
15,6215,和椿,109/06/11,18:40:00,本公司成立審計委員會
16,6215,和椿,109/06/11,18:50:58,公告本公司董事會選任董事長
17,6215,和椿,109/06/11,18:54:21,公告本公司決議配息基準日相關事宜
18,6215,和椿,109/08/07,17:23:11,公告本公司對子公司「和椿自動化(上海)有限公司」資金貸與 金額達公開發行公司資金貸與及背書保證處理準則第二十二條 第一項第二、三款規定標準
19,6215,和椿,109/08/07,18:16:11,公告本公司董事會委任第四屆薪資報酬委員會委員
20,6215,和椿,109/08/19,14:22:58,公告更正本公司109年第二季合併財務報告部分內容及 IXBRL財務報表之資金貸與他人事項部分內容
