,公司代號,公司名稱,發言日期,發言時間,主旨
0,6224,聚鼎,103/01/17,13:41:16,公告本公司102年第四季自結損益
1,6224,聚鼎,103/03/20,18:46:33,本公司董事會決議召開民國103年股東常會相關事宜
2,6224,聚鼎,103/03/20,18:58:12,董事會決議股利分派
3,6224,聚鼎,103/06/20,17:17:25,公告本公司103年股東常會重要決議事項
4,6224,聚鼎,103/06/20,17:19:40,103年股東常會解除董事及法人董事代表人競業之限制
5,6224,聚鼎,103/06/20,17:28:28,公告本公司股東常會改選董事當選名單
6,6224,聚鼎,103/06/20,17:34:56,公告本公司董事會選任董事長案
7,6224,聚鼎,103/06/20,17:46:19,公告本公司第二屆審計委員會委員
8,6224,聚鼎,103/06/20,17:47:35,董事會委任第二屆薪資報酬委員會委員
9,6224,聚鼎,103/07/01,17:59:48,公告本公司103年配息基準日
10,6224,聚鼎,103/08/11,14:31:46,本公司參加台灣證券交易所舉辦之上市公司業績說明會
