,公司代號,公司名稱,發言日期,發言時間,主旨
0,6224,聚鼎,105/03/19,14:10:28,公告本公司新增資金貸與金額達處理準則第二十二條第一項 第三款規定標準
1,6224,聚鼎,105/03/19,14:14:58,本公司董事會決議召開民國105年股東常會相關事宜
2,6224,聚鼎,105/03/19,14:19:04,本公司董事會通過民國104年度董事及員工酬勞
3,6224,聚鼎,105/03/19,14:23:36,本公司董事會通過解除經理人競業禁止案
4,6224,聚鼎,105/03/19,15:07:03,董事會決議股利分派
5,6224,聚鼎,105/04/27,15:29:27,更正公告本公司105年3月19日新增資金貸與金額達處理準則 第二十二條第一項第三款規定之公告
6,6224,聚鼎,105/06/23,17:31:55,公告本公司105年股東常會重要決議事項
7,6224,聚鼎,105/06/23,17:37:15,公告本公司除息基準日
8,6224,聚鼎,105/07/01,14:58:53,"公告本公司與美商Littelfuse, Inc.雙方代表已於今日完成簽署 產品供應合約"
9,6224,聚鼎,105/07/25,15:16:29,公告修正104年度年報部份內容
10,6224,聚鼎,105/08/11,16:52:48,代子公司Polytronics (B.V.I.) Corporation公告新增資金貸與 金額達處理準則第二十二條第一項第二款及第三款規定標準
11,6224,聚鼎,105/08/11,16:53:58,依公開發行公司資金貸與及背書保證處理準則 第二十五條第一項第四款公告
12,6224,聚鼎,105/08/24,10:47:17,澄清經濟日報105年08月24日C3版報導
13,6224,聚鼎,105/09/21,10:23:02,澄清工商時報105年09月21日B3版報導
14,6224,聚鼎,105/09/26,09:28:34,澄清工商時報105年09月26日B3版報導
15,6224,聚鼎,105/10/06,16:43:24,更正105年8月份財務資料及背書保證明細表
